condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Tough,Open,-10-0,18.0,4,25.0,1.8518518518518516,WEAK,-0.8408557135599999
Tough,Open,-20--10,21.0,4,25.0,1.8518518518518516,WEAK,-0.16930562115000003
Tough,Open,<-20,30.0,4,25.0,1.8518518518518516,WEAK,-0.9959109910399999
Tough,Open,-20--10,30.0,4,25.0,1.8518518518518516,WEAK,-1.37854061323
Calm,Open,-10-0,5.0,169,2.366863905325442,1.826484018264839,HIGH,0.19960106225680468
Moderate,Open,10-20,18.0,5,20.0,1.8181818181818183,WEAK,-0.21498523916
Tough,Open,<-20,2.0,5,20.0,1.8181818181818183,WEAK,-0.17173405238
Tough,Open,-10-0,2.0,6,16.666666666666664,1.7857142857142854,WEAK,-0.5472028610233334
Tough,Open,-20--10,13.0,6,16.666666666666664,1.7857142857142854,WEAK,0.1196746474433333
Moderate,Open,20+,17.0,7,14.285714285714285,1.7543859649122804,WEAK,-0.038544242614285795
Moderate,Open,20+,28.0,7,14.285714285714285,1.7543859649122804,WEAK,0.40126894213142844
Calm,Open,<-20,11.0,239,2.092050209205021,1.7301038062283736,HIGH,0.052327582514686194
Tough,Open,-20--10,27.0,9,11.11111111111111,1.6949152542372883,WEAK,0.3373571340266667
Moderate,Open,20+,15.0,9,11.11111111111111,1.6949152542372883,WEAK,-0.958291028977778
Moderate,Open,20+,11.0,10,10.0,1.6666666666666665,WEAK,-0.5600755669199999
Tough,Open,<-20,20.0,10,10.0,1.6666666666666665,WEAK,-0.607245124114
Tough,Open,-10-0,5.0,11,9.090909090909092,1.6393442622950822,WEAK,-0.18540683507090908
Tough,Open,-10-0,6.0,11,9.090909090909088,1.6393442622950816,WEAK,-0.045154591768181825
Tough,Open,-10-0,10.0,14,7.142857142857145,1.5625000000000004,WEAK,-0.27813008152628566
Moderate,Open,-10-0,8.0,159,1.8867924528301883,1.435406698564593,HIGH,0.0667046327005054
Calm,Open,10-20,24.0,24,4.166666666666669,1.3513513513513522,EXPLORATORY,-0.5238393593249999
Moderate,Open,10-20,20.0,26,3.8461538461538494,1.3157894736842117,EXPLORATORY,0.6260897665247425
Moderate,Open,0-10,24.0,27,3.7037037037037033,1.2987012987012985,EXPLORATORY,0.20056639779629626
Calm,Open,10-20,25.0,41,2.439024390243902,1.0989010989010988,HIGH,-0.1855210741473172
Moderate,Open,<-20,30.0,48,2.0833333333333313,1.020408163265305,HIGH,0.10186075682916655
Calm,Open,0-10,24.0,49,2.040816326530612,1.01010101010101,HIGH,-0.2303735921
Moderate,Open,0-10,6.0,49,2.040816326530609,1.0101010101010086,HIGH,0.14273079387959176
Calm,Open,0-10,9.0,57,1.7543859649122806,0.9345794392523363,HIGH,-0.14528708818596495
Calm,Open,-20--10,25.0,170,1.1764705882352955,0.9090909090909102,HIGH,0.1189363696338824
Calm,Open,-20--10,2.0,100,1.0000000000000009,0.6666666666666672,HIGH,-0.012379137107000067
Calm,Open,-10-0,7.0,108,0.9259259259259273,0.6329113924050642,HIGH,-0.8659562477055553
Moderate,Open,<-20,5.0,129,0.7751937984496138,0.5586592178770959,HIGH,-0.10588408579178292
Calm,Open,<-20,29.0,141,0.7092198581560294,0.5235602094240844,HIGH,0.06925264448085101
Calm,Open,-10-0,19.0,148,0.6756756756756743,0.5050505050505041,HIGH,-0.2370011397977702
Calm,Open,-10-0,8.0,228,0.43859649122806876,0.35971223021582616,HIGH,0.14920329344078945
