ev_bucket,total_matchups,p_a_win,p_tie,p_a_loss,fair_decimal,fair_american
4.5,4963,0.4071032186459489,0.0922828934112432,0.5928967813540511,2.456,146.0
4.75,3750,0.4365196803788103,0.0989333333333333,0.5634803196211897,2.291,129.0
5.0,2408,0.4451467268623025,0.0801495016611295,0.5548532731376975,2.246,125.0
5.25,2102,0.4360980699008868,0.088011417697431,0.5639019300991132,2.293,129.0
5.5,1944,0.4126712328767123,0.0987654320987654,0.5873287671232876,2.423,142.0
5.75,1810,0.4249536751080914,0.105524861878453,0.5750463248919085,2.353,135.0
6.0,1380,0.4540367705835332,0.0934782608695652,0.5459632294164668,2.202,120.0
6.25,1245,0.4474153297682709,0.0987951807228915,0.5525846702317291,2.235,124.0
6.5,806,0.4171195652173913,0.086848635235732,0.5828804347826086,2.397,140.0
6.75,812,0.4364864864864864,0.0886699507389162,0.5635135135135135,2.291,129.0
7.0,759,0.3808139534883721,0.0935441370223978,0.6191860465116279,2.626,163.0
7.25,748,0.4,0.1042780748663101,0.6,2.5,150.0
7.5,647,0.3687821612349914,0.0989180834621329,0.6312178387650086,2.712,171.0
7.75,506,0.4508928571428571,0.1146245059288537,0.5491071428571429,2.218,122.0
8.0,465,0.419811320754717,0.0881720430107526,0.5801886792452831,2.382,138.0
8.25,391,0.4204545454545454,0.0997442455242966,0.5795454545454546,2.378,138.0
8.5,329,0.3411371237458194,0.0911854103343465,0.6588628762541806,2.931,193.0
8.75,344,0.3333333333333333,0.0494186046511627,0.6666666666666666,3.0,200.0
9.0,311,0.3531598513011152,0.135048231511254,0.6468401486988847,2.832,183.0
9.25,251,0.2699115044247787,0.099601593625498,0.7300884955752213,3.705,270.0
9.5,215,0.3469387755102041,0.0883720930232558,0.6530612244897959,2.882,188.0
9.75,137,0.2519685039370078,0.072992700729927,0.7480314960629921,3.969,297.0
10.0,74,0.4,0.054054054054054,0.6,2.5,150.0
10.25,61,0.3571428571428571,0.081967213114754,0.6428571428571429,2.8,180.0
10.5,37,0.1081081081081081,0.0,0.8918918918918919,9.25,825.0
10.75,28,0.2692307692307692,0.0714285714285714,0.7307692307692307,3.714,271.0
11.0,18,0.0555555555555555,0.0,0.9444444444444444,18.0,1700.0
11.25,8,0.25,0.0,0.75,4.0,300.0
11.5,4,0.25,0.0,0.75,4.0,300.0
12.0,8,0.5,0.0,0.5,2.0,100.0
