player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Angel Ayora,Calum Hill,Blue,Yellow,Calm,Survival,-1.81,-1.26,-1.5350000000000001,-0.53,0.3,-0.11500000000000002,-0.11500000000000002,-1.5350000000000001,Calum Hill,Angel Ayora,False
Antoine Rozner,Wenyi Ding,Orange,Yellow,Calm,Survival,0.5,-0.54,-0.020000000000000018,-0.53,0.3,-0.11500000000000002,-0.020000000000000018,-0.11500000000000002,Antoine Rozner,Antoine Rozner,True
Angel Ayora,Antoine Rozner,Yellow,Yellow,Moderate,Survival,-9.08,-0.29,-4.685,-9.08,-0.29,-4.685,-4.685,-4.685,TIE,Antoine Rozner,
Jayden Schaper,Thriston Lawrence,Blue,Yellow,Moderate,Survival,-1.1,1.44,0.16999999999999993,-9.08,-0.29,-4.685,0.16999999999999993,-4.685,Jayden Schaper,Thriston Lawrence,False
Freddy Schott,Jason Scrivener,Yellow,Green,Moderate,Survival,-0.23,-0.29,-0.26,1.73,3.02,2.375,2.375,-0.26,Jason Scrivener,Freddy Schott,False
Johannes Veerman,Dylan Frittelli,Blue,Yellow,Moderate,Survival,6.4,1.44,3.92,-0.23,-0.29,-0.26,3.92,-0.26,Johannes Veerman,Johannes Veerman,True
Dan Bradbury,Casey Jarvis,Purple,Purple,Moderate,Survival,8.22,7.36,7.790000000000001,8.22,5.15,6.6850000000000005,7.790000000000001,6.6850000000000005,Dan Bradbury,Casey Jarvis,False
Eddie Pepperell,Adrian Otaegui,Yellow,Orange,Moderate,Survival,-0.37,-1.43,-0.8999999999999999,-6.84,-4.32,-5.58,-0.8999999999999999,-5.58,Eddie Pepperell,Eddie Pepperell,True
Kiradech Aphibarnrat,Michael Hollick,Purple,Green,Moderate,Survival,1.15,7.36,4.255,2.04,3.02,2.5300000000000002,4.255,2.5300000000000002,Kiradech Aphibarnrat,Kiradech Aphibarnrat,True
Marcus Armitage,Alejandro Del Rey,Green,Green,Moderate,Survival,2.04,3.02,2.5300000000000002,1.73,2.22,1.975,2.5300000000000002,1.975,Marcus Armitage,Alejandro Del Rey,False
Alex Smalley,Eric Cole,Orange,Purple,Calm,Survival,0.5,3.04,1.77,4.09,-2.65,0.72,1.77,0.72,Alex Smalley,Push,
Gary Woodland,David Lipsky,Green,Purple,Calm,Survival,-2.15,6.68,2.2649999999999997,-1.02,-2.65,-1.835,2.2649999999999997,-1.835,Gary Woodland,Gary Woodland,True
Daniel Berger,Thorbjorn Olesen,Blue,Yellow,Calm,Survival,-2.15,-1.86,-2.005,0.3,0.3,0.3,0.3,-2.005,Thorbjorn Olesen,Thorbjorn Olesen,True
Rasmus Hojgaard,Michael Thorbjornsen,Green,Yellow,Calm,Survival,-2.15,6.68,2.2649999999999997,0.79,-1.01,-0.10999999999999999,2.2649999999999997,-0.10999999999999999,Rasmus Hojgaard,Michael Thorbjornsen,False
Christiaan Bezuidenhout,Seamus Power,Green,Yellow,Calm,Survival,-2.15,6.68,2.2649999999999997,0.79,-1.01,-0.10999999999999999,2.2649999999999997,-0.10999999999999999,Christiaan Bezuidenhout,Seamus Power,False
Jesper Svensson,Luke Clanton,Yellow,Yellow,Calm,Survival,-0.53,0.3,-0.11500000000000002,0.79,-1.01,-0.10999999999999999,-0.10999999999999999,-0.11500000000000002,Luke Clanton,Luke Clanton,True
