condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Survival,7.0,1.0,95,16.842105263157897,11.03448275862069,HIGH,-0.20961615019263147
Calm,Open,14.0,3.0,214,-13.551401869158877,-10.984848484848483,HIGH,0.6565630232336448
Calm,Survival,14.0,3.0,160,-14.375000000000002,-10.952380952380953,HIGH,0.30710691897750014
Tough,Closing,23.0,3.0,14,-50.0,-10.9375,WEAK,1.6093567442199999
Calm,Open,13.0,5.0,198,-13.636363636363638,-10.88709677419355,HIGH,0.5084161476631314
Moderate,Closing,24.0,3.0,97,16.49484536082474,10.884353741496597,HIGH,-0.2793371122835053
Calm,Closing,24.0,4.0,42,23.80952380952381,10.869565217391305,HIGH,-0.9855062811404762
Moderate,Positioning,11.0,7.0,33,-27.27272727272727,-10.843373493975902,HIGH,1.5398212514636365
Moderate,Closing,29.0,7.0,62,19.35483870967742,10.714285714285715,HIGH,-0.5182657396567741
Calm,Positioning,4.0,9.0,6,100.0,10.714285714285714,WEAK,-7.363668015666666
Moderate,Positioning,29.0,8.0,53,20.754716981132077,10.679611650485437,HIGH,-0.16761303180000003
Moderate,Positioning,5.0,4.0,44,-22.72727272727273,-10.638297872340427,HIGH,1.024520974409091
Moderate,Positioning,18.0,9.0,16,43.75,10.606060606060606,EXPLORATORY,-1.343054762775
Moderate,Open,15.0,4.0,148,-14.189189189189186,-10.606060606060604,HIGH,0.8333329445905406
Moderate,Open,25.0,3.0,187,-13.368983957219255,-10.548523206751058,HIGH,0.7099652335957218
Calm,Survival,16.0,9.0,209,-12.918660287081337,-10.424710424710424,HIGH,0.16783975421961725
Moderate,Open,5.0,2.0,171,-13.450292397660817,-10.407239819004523,HIGH,0.42707852070292396
Moderate,Open,27.0,2.0,75,-17.333333333333332,-10.399999999999999,HIGH,0.752943280248
Moderate,Closing,13.0,5.0,75,-17.333333333333332,-10.399999999999999,HIGH,0.8281574782413333
Moderate,Positioning,19.0,9.0,27,29.629629629629626,10.389610389610388,EXPLORATORY,-1.1362673177333333
Calm,Open,24.0,4.0,85,-16.470588235294116,-10.37037037037037,HIGH,0.83738549686
Moderate,Open,5.0,9.0,37,-24.324324324324326,-10.344827586206897,HIGH,0.7083703297027031
Moderate,Survival,24.0,5.0,8,-75.0,-10.344827586206897,WEAK,3.801557797
Tough,Closing,11.0,5.0,8,-75.0,-10.344827586206897,WEAK,4.2918736292895
Tough,Survival,5.0,2.0,18,-38.88888888888889,-10.294117647058824,EXPLORATORY,2.041970591202222
Moderate,Positioning,1.0,6.0,18,-38.88888888888889,-10.294117647058824,EXPLORATORY,0.7962051839250002
Moderate,Open,16.0,7.0,48,-20.833333333333336,-10.204081632653063,HIGH,-2.089919834
Calm,Closing,24.0,9.0,19,-36.84210526315789,-10.144927536231883,EXPLORATORY,1.634395611736842
Moderate,Survival,18.0,2.0,29,-27.586206896551722,-10.126582278481012,EXPLORATORY,1.5254151334137929
Moderate,Positioning,26.0,1.0,39,23.076923076923077,10.112359550561798,HIGH,-1.2910047774615385
Calm,Closing,10.0,7.0,148,13.513513513513512,10.1010101010101,HIGH,-0.19397249995878388
Calm,Survival,23.0,3.0,426,-11.267605633802818,-10.08403361344538,HIGH,0.3478863196115024
Calm,Open,5.0,4.0,89,-15.730337078651688,-10.071942446043167,HIGH,0.4936609018988763
Moderate,Closing,25.0,2.0,99,-15.151515151515149,-10.06711409395973,HIGH,0.7690206432141414
Calm,Positioning,13.0,2.0,90,-15.555555555555559,-10.000000000000004,HIGH,0.8200194172222223
Calm,Closing,21.0,4.0,40,-22.500000000000004,-10.000000000000002,HIGH,0.8893495667000003
Moderate,Closing,16.0,7.0,20,-35.0,-10.0,EXPLORATORY,1.0475801660000001
Moderate,Open,11.0,4.0,50,-20.0,-10.0,HIGH,0.9461727813856001
Calm,Survival,29.0,9.0,40,-22.5,-10.0,HIGH,1.044788938825
Calm,Positioning,28.0,8.0,201,-12.43781094527363,-9.960159362549799,HIGH,0.3796122089711443
Calm,Positioning,26.0,3.0,91,-15.384615384615385,-9.929078014184398,HIGH,0.07617939062197786
Calm,Survival,4.0,2.0,283,-11.66077738515901,-9.90990990990991,HIGH,0.8094144011696113
Moderate,Positioning,9.0,7.0,51,19.607843137254903,9.900990099009901,HIGH,-0.4146375729392156
Moderate,Closing,29.0,6.0,31,25.806451612903224,9.876543209876543,HIGH,-1.1788158687096775
Moderate,Open,7.0,7.0,31,-25.806451612903224,-9.876543209876543,HIGH,1.2578913077951615
Moderate,Survival,21.0,7.0,92,15.217391304347828,9.859154929577466,HIGH,-0.48552737976521737
Calm,Open,18.0,7.0,72,-16.666666666666664,-9.83606557377049,HIGH,0.9643488019583333
Moderate,Positioning,2.0,5.0,52,19.23076923076923,9.80392156862745,HIGH,-1.1101461826961538
Moderate,Survival,23.0,1.0,52,19.23076923076923,9.80392156862745,HIGH,-0.6149557378230772
Calm,Survival,23.0,2.0,52,-19.23076923076923,-9.80392156862745,HIGH,0.7439069769230767
Calm,Open,28.0,9.0,42,-21.42857142857143,-9.782608695652174,HIGH,1.1728722622619046
Calm,Closing,28.0,2.0,63,-17.46031746031746,-9.734513274336281,HIGH,0.8504636307936508
Moderate,Closing,9.0,7.0,53,18.867924528301888,9.708737864077671,HIGH,-0.8953067426390562
Moderate,Survival,28.0,2.0,53,18.867924528301888,9.708737864077671,HIGH,-0.012586368101886689
Calm,Open,8.0,9.0,115,-13.913043478260867,-9.696969696969695,HIGH,1.0322082869408695
Calm,Open,19.0,9.0,115,-13.913043478260867,-9.696969696969695,HIGH,0.4881629333121739
Moderate,Open,13.0,5.0,157,-12.738853503184714,-9.66183574879227,HIGH,0.5841541570719745
Moderate,Survival,2.0,7.0,95,-14.73684210526316,-9.655172413793103,HIGH,0.7000491501094734
Moderate,Positioning,27.0,9.0,127,-13.385826771653544,-9.604519774011301,HIGH,0.35932467846220467
Moderate,Closing,23.0,1.0,34,23.52941176470588,9.523809523809524,HIGH,-0.9939150138411764
Calm,Positioning,30.0,7.0,13,46.15384615384615,9.523809523809524,WEAK,-1.698179680384615
Moderate,Closing,22.0,6.0,24,29.166666666666664,9.45945945945946,EXPLORATORY,-1.7687948829625
Calm,Survival,27.0,1.0,163,-12.269938650306747,-9.389671361502346,HIGH,0.4666837041190185
Calm,Open,24.0,1.0,14,-42.85714285714286,-9.375,WEAK,2.224443063057142
Calm,Positioning,11.0,4.0,57,-17.543859649122805,-9.345794392523363,HIGH,0.1479717463999999
Moderate,Closing,3.0,4.0,57,-17.543859649122805,-9.345794392523363,HIGH,0.7986110247684209
Moderate,Positioning,17.0,8.0,111,13.513513513513514,9.316770186335404,HIGH,-0.3535282779153154
Moderate,Survival,30.0,6.0,90,-14.444444444444443,-9.285714285714285,HIGH,0.08078858463111097
Moderate,Open,3.0,5.0,90,-14.444444444444443,-9.285714285714285,HIGH,0.5927782275588889
Calm,Survival,5.0,3.0,199,-11.557788944723615,-9.236947791164656,HIGH,0.49584393322713544
Moderate,Closing,22.0,5.0,15,-40.0,-9.230769230769232,EXPLORATORY,-0.14667631144666687
Tough,Positioning,3.0,5.0,15,40.0,9.230769230769232,EXPLORATORY,-1.3259258675706669
Moderate,Closing,12.0,7.0,15,-40.0,-9.230769230769232,EXPLORATORY,0.9131419493000003
Calm,Survival,2.0,5.0,91,-14.285714285714288,-9.219858156028371,HIGH,0.6752517061780219
Moderate,Open,20.0,7.0,81,14.814814814814813,9.16030534351145,HIGH,-0.39796831728765414
Calm,Closing,14.0,3.0,103,13.592233009708735,9.15032679738562,HIGH,-0.3579775927961163
Calm,Open,15.0,3.0,202,-11.386138613861386,-9.126984126984127,HIGH,0.7682552300693071
Moderate,Open,5.0,4.0,71,-15.492957746478876,-9.090909090909093,HIGH,0.6077007491014085
Tough,Closing,27.0,1.0,5,-100.0,-9.090909090909092,WEAK,4.2191734840664
