player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Calum Hill,Frederic Lacroix,Calm,Open,Frederic Lacroix,Frederic Lacroix,-13.049630761395466,-17.862464985994396,-4.81283422459893,WIN,True
Oliver Lindell,Charl Schwartzel,Calm,Open,Charl Schwartzel,Oliver Lindell,-13.81318461318461,-15.840211640211638,-2.0270270270270285,LOSS,False
Patrick Reed,Branden Grace,Calm,Open,Branden Grace,Branden Grace,-9.920334226304373,-7.783582089552239,2.136752136752133,WIN,True
Francesco Laporta,Nathan Kimsey,Calm,Open,Nathan Kimsey,Push,-14.229637622084748,-15.740211640211639,-1.5105740181268903,PUSH,
JC Ritchie,Brandon Stone,Calm,Open,Brandon Stone,nan,-7.502260206472039,-9.01283422459893,-1.5105740181268903,LOSS,False
Jacob Olesen,Martin Couvra,Moderate,Open,SKIP,Jacob Olesen,-3.7788403614457864,-2.997590361445786,0.7812500000000006,SKIP,
JC Ritchie,Rafa Cabrera Bello,Moderate,Open,Rafa Cabrera Bello,Rafa Cabrera Bello,-12.321834098985867,-11.719424460431654,0.6024096385542143,WIN,True
Alejandro Del Rey,Julien Guerrier,Moderate,Open,SKIP,Push,1.0296296296296301,9.362962962962964,8.333333333333334,PUSH,
Patrick Reed,Alex Fitzpatrick,Moderate,Open,SKIP,Alex Fitzpatrick,-1.8573694029850754,-1.076119402985075,0.7812500000000006,SKIP,
Andy Sullivan,Jacques Kruyswijk,Moderate,Open,SKIP,Jacques Kruyswijk,1.5096385542168678,-0.9000000000000004,-2.409638554216868,SKIP,
Jayden Schaper,Hennie du Plessis,Moderate,Open,SKIP,Jayden Schaper,-3.4097859062147844,-5.8194244604316525,-2.409638554216868,SKIP,
Richard Sterne,Deon Germishuys,Moderate,Open,Richard Sterne,Richard Sterne,9.024392652577522,6.614754098360654,-2.409638554216868,WIN,True
Brandon Stone,Romain Langasque,Moderate,Open,Romain Langasque,Romain Langasque,-7.677777777777779,-9.677777777777779,-2.0000000000000004,WIN,True
Antoine Rozner,Marcus Armitage,Moderate,Open,SKIP,Marcus Armitage,-2.7703703703703706,5.562962962962963,8.333333333333334,SKIP,
Dan Bradbury,Johannes Veerman,Moderate,Open,Johannes Veerman,Dan Bradbury,-5.876119402985074,-7.876119402985075,-2.0000000000000004,LOSS,False
Jason Scrivener,Joe Dean,Moderate,Open,Joe Dean,Joe Dean,-14.711111111111112,-6.377777777777778,8.333333333333334,WIN,True
Sam Bairstow,Ugo Coussaud,Moderate,Open,SKIP,Push,4.033519151231793,1.6238805970149248,-2.409638554216868,PUSH,
Calum Hill,Ewen Ferguson,Moderate,Open,Ewen Ferguson,Push,-10.616091954022991,-2.2827586206896564,8.333333333333334,PUSH,
Angel Ayora,Casey Jarvis,Moderate,Open,Casey Jarvis,Angel Ayora,-15.433519151231792,-10.209638554216868,5.223880597014925,LOSS,False
Francesco Laporta,Thriston Lawrence,Moderate,Open,SKIP,Francesco Laporta,-1.5510178645616954,-4.309638554216868,-2.758620689655172,SKIP,
Kieran Vincent,Jorge Campillo,Moderate,Open,Jorge Campillo,Kieran Vincent,-14.261030328209387,-13.658620689655173,0.6024096385542143,LOSS,False
Daniel Bennett,Joel Dahmen,Calm,Open,Joel Dahmen,Daniel Bennett,-9.038735316091495,-15.683253588516745,-6.64451827242525,LOSS,False
Jhonattan Vegas,Tom Hoge,Calm,Open,SKIP,Jhonattan Vegas,-0.8705577172503247,-11.20389105058366,-10.333333333333336,SKIP,
Ryan Fox,Billy Horschel,Calm,Open,SKIP,Ryan Fox,-3.7942480942480916,-15.956410256410255,-12.162162162162163,SKIP,
Brian Campbell,Patrick Rodgers,Calm,Open,Patrick Rodgers,Brian Campbell,-5.438628200671998,-17.117460317460317,-11.67883211678832,LOSS,False
Matt McCarty,Max Greyserman,Calm,Open,Max Greyserman,Max Greyserman,-7.5288288288288285,-17.862162162162164,-10.333333333333336,WIN,True
Taylor Moore,Andrew Putnam,Calm,Open,Andrew Putnam,Taylor Moore,-5.047480794173406,-15.303891050583662,-10.256410256410255,LOSS,False
Daniel Berger,Alex Noren,Calm,Open,SKIP,Daniel Berger,-4.66473634794197,-16.34356846473029,-11.67883211678832,SKIP,
Min Woo Lee,Michael Thorbjornsen,Calm,Open,Michael Thorbjornsen,Min Woo Lee,-6.520637462066915,-18.00389105058366,-11.483253588516746,LOSS,False
Harry Hall,Corey Conners,Calm,Open,SKIP,Corey Conners,-2.786535678682837,-12.70389105058366,-9.917355371900824,SKIP,
Cameron Young,Sepp Straka,Calm,Open,Sepp Straka,Cameron Young,-5.699999999999999,-19.617525773195876,-13.917525773195877,LOSS,False
Harris English,Patrick Cantlay,Calm,Open,Patrick Cantlay,Harris English,-6.386430733123342,-16.70389105058366,-10.317460317460318,LOSS,False
Andrew Novak,Robert MacIntyre,Calm,Open,Robert MacIntyre,Robert MacIntyre,-6.739677414146631,-13.743568464730291,-7.00389105058366,WIN,True
Brian Harman,Akshay Bhatia,Calm,Open,Akshay Bhatia,Akshay Bhatia,-5.360945115490569,-15.617355371900825,-10.256410256410255,WIN,True
Collin Morikawa,Justin Rose,Calm,Open,Justin Rose,Collin Morikawa,-13.552519205826595,-20.556410256410256,-7.00389105058366,LOSS,False
Xander Schauffele,Shane Lowry,Calm,Open,SKIP,Xander Schauffele,4.09905019230504,-5.44451827242525,-9.54356846473029,SKIP,
Scottie Scheffler,Russell Henley,Calm,Open,Russell Henley,Push,-7.83526365205803,-17.37883211678832,-9.54356846473029,PUSH,
