condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Positioning,19.0,7.0,32,12.5,4.878048780487805,HIGH,-0.9538990354124999
Moderate,Positioning,13.0,6.0,53,9.433962264150948,4.854368932038837,HIGH,-0.6340644503132074
Moderate,Open,7.0,9.0,53,9.433962264150942,4.854368932038835,HIGH,-0.18203295626037735
Tough,Open,15.0,4.0,12,25.0,4.838709677419355,WEAK,-0.8509935758856667
Tough,Survival,15.0,4.0,12,25.0,4.838709677419355,WEAK,-0.6827303505713335
Tough,Survival,15.0,1.0,12,25.0,4.838709677419355,WEAK,-0.1424181854766667
Tough,Survival,21.0,7.0,12,25.0,4.838709677419355,WEAK,-0.36030368299999993
Calm,Positioning,28.0,7.0,54,9.25925925925926,4.807692307692308,HIGH,-0.5522745715555555
Calm,Positioning,23.0,5.0,76,7.8947368421052655,4.761904761904763,HIGH,-0.08682898416315786
Moderate,Closing,6.0,9.0,13,23.076923076923077,4.761904761904762,WEAK,-1.0492717860384617
Calm,Closing,23.0,5.0,76,7.894736842105263,4.761904761904762,HIGH,-0.6252731085973684
Calm,Positioning,28.0,1.0,118,6.779661016949151,4.761904761904761,HIGH,-0.1914490086440679
Moderate,Open,16.0,9.0,119,6.72268907563025,4.733727810650887,HIGH,0.0045952121235294605
Moderate,Positioning,15.0,1.0,56,8.928571428571427,4.716981132075471,HIGH,-0.3912740674339287
Calm,Closing,5.0,9.0,35,11.428571428571432,4.7058823529411775,HIGH,0.277576798285714
Tough,Survival,11.0,6.0,14,21.42857142857143,4.6875,WEAK,-0.8613336588571429
Calm,Survival,30.0,7.0,14,21.42857142857143,4.6875,WEAK,-0.8526835257857144
Moderate,Open,3.0,6.0,59,8.474576271186438,4.5871559633027505,HIGH,-0.21991773263050846
Calm,Positioning,16.0,1.0,81,7.4074074074074066,4.580152671755725,HIGH,-0.3064394275679012
Calm,Positioning,4.0,2.0,213,5.633802816901409,4.562737642585552,HIGH,-0.15976041937183097
Moderate,Survival,6.0,7.0,16,18.75,4.545454545454546,EXPLORATORY,-0.5472771962
Moderate,Survival,8.0,5.0,38,10.526315789473683,4.545454545454545,HIGH,-0.8062747910105262
Calm,Positioning,15.0,1.0,104,6.730769230769229,4.545454545454544,HIGH,-0.4619447326211538
Calm,Closing,1.0,5.0,106,6.6037735849056585,4.487179487179486,HIGH,-0.13832231190754726
Tough,Survival,27.0,1.0,17,17.647058823529413,4.477611940298508,EXPLORATORY,-1.4083894257275293
