ev_bucket,avg_projected_vs_par,total_players,beats_par_count,matches_par_count,over_par_count,p_beats_par,p_matches_par,p_over_par,p_a_win,fair_american,odds_advantage_vs_market
3.5,-6.231999294600791,253,132,30,91,0.5217391304347826,0.11857707509881422,0.35968379446640314,0.4996476943552806,100.0,-0.023809523809523836
3.75,-6.6404018333783785,185,100,24,61,0.5405405405405406,0.12972972972972974,0.32972972972972975,0.4934012924365158,103.0,-0.03119868637110018
4.0,-6.677354355458647,133,72,18,43,0.5413533834586466,0.13533834586466165,0.3233082706766917,0.5152391975308642,-106.0,-0.009246417013407338
4.25,-6.866268250096154,104,44,14,46,0.4230769230769231,0.1346153846153846,0.4423076923076923,0.5154799858306766,-106.0,-0.009246417013407338
4.5,-7.562713882871795,78,42,11,25,0.5384615384615384,0.14102564102564102,0.32051282051282054,0.521210407239819,-109.0,-0.0022784233310549906
4.75,-7.868194299455697,79,41,7,31,0.5189873417721519,0.08860759493670886,0.3924050632911392,0.5239090064995358,-110.0,0.0
5.0,-8.296907343650794,63,29,8,26,0.4603174603174603,0.12698412698412698,0.4126984126984127,0.5246708146433222,-110.0,0.0
5.25,-8.386565071897436,39,19,4,16,0.48717948717948717,0.10256410256410256,0.41025641025641024,0.5093782563390066,-104.0,-0.01400560224089642
5.5,-8.635865725653845,26,16,2,8,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.490104772991851,104.0,-0.03361344537815131
5.75,-9.101562363521738,23,13,4,6,0.5652173913043478,0.17391304347826086,0.2608695652173913,0.4979746151768836,101.0,-0.02629708599857855
6.0,-9.1035054518,20,9,2,9,0.45,0.1,0.45,0.4680067001675042,114.0,-0.056519804183355615
6.25,-10.03603781835,20,8,2,10,0.4,0.1,0.5,0.4782772950510011,109.0,-0.04534062428799274
6.5,-9.859676543166666,12,6,0,6,0.5,0.0,0.5,0.4643962848297213,115.0,-0.0586932447397564
6.75,-10.244626009214286,14,6,2,6,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.475074775672981,110.0,-0.04761904761904767
7.0,-11.42193848,2,2,0,0,1.0,0.0,0.0,0.4582010582010582,118.0,-0.06509392747924858
7.25,-10.79440715925,8,5,0,3,0.625,0.0,0.375,0.440499671268902,127.0,-0.08328088944829037
7.5,-12.05624442375,16,13,0,3,0.8125,0.0,0.1875,0.4289876183539694,133.0,-0.09462497445330065
7.75,-12.15182242923077,13,6,2,5,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.475020475020475,111.0,-0.0498758745204243
8.0,-12.973631966428572,14,10,1,3,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.4443485763589301,125.0,-0.07936507936507942
8.25,-11.331606519230768,26,13,5,8,0.5,0.19230769230769232,0.3076923076923077,0.4537987679671458,120.0,-0.0692640692640693
8.5,-11.855445747857143,14,7,1,6,0.5,0.07142857142857142,0.42857142857142855,0.4744351961950059,111.0,-0.0498758745204243
8.75,-12.728282164,10,6,2,2,0.6,0.2,0.2,0.4413938753959873,127.0,-0.08328088944829037
9.0,-13.88862132117647,17,14,1,2,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.4534501642935378,121.0,-0.0713208360267184
9.25,-13.567761496428572,14,7,1,6,0.5,0.07142857142857142,0.42857142857142855,0.4546632124352331,120.0,-0.0692640692640693
9.5,-13.625519607692308,13,4,3,6,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.4556650246305418,119.0,-0.06718851924331382
9.75,-13.610572643333334,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4891146589259796,104.0,-0.03361344537815131
10.0,-14.433856576,10,8,1,1,0.8,0.1,0.1,0.4471968709256845,124.0,-0.07738095238095238
10.25,-14.785123975555555,9,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0.4931318681318681,103.0,-0.03119868637110018
10.5,-15.00721621125,8,5,0,3,0.625,0.0,0.375,0.4401709401709401,127.0,-0.08328088944829037
10.75,-15.284011765714286,14,11,2,1,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.4645441389290883,115.0,-0.0586932447397564
11.0,-15.899444791428573,7,5,0,2,0.7142857142857143,0.0,0.2857142857142857,0.4639769452449567,116.0,-0.06084656084656087
11.25,-14.592449807,10,4,1,5,0.4,0.1,0.5,0.4347826086956521,130.0,-0.08902691511387167
11.5,-15.167835010833334,12,5,0,7,0.4166666666666667,0.0,0.5833333333333334,0.4514480408858603,122.0,-0.07335907335907338
11.75,-15.391286685714286,14,5,2,7,0.35714285714285715,0.14285714285714285,0.5,0.4750830564784053,110.0,-0.04761904761904767
12.0,-16.38361268,6,1,1,4,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4486754966887417,123.0,-0.07537903053598122
12.25,-15.813063110000002,4,2,0,2,0.5,0.0,0.5,0.4502529510961214,122.0,-0.07335907335907338
12.5,-15.598937785,10,3,0,7,0.3,0.0,0.7,0.4311774461028192,132.0,-0.09277504105090317
12.75,-16.820860628,5,4,0,1,0.8,0.0,0.2,0.4321533923303834,131.0,-0.09090909090909094
13.0,-17.45653824,4,4,0,0,1.0,0.0,0.0,0.419047619047619,139.0,-0.10539948196851967
13.25,-18.905644225,4,1,1,2,0.25,0.25,0.5,0.4249146757679181,135.0,-0.09827760891590681
13.5,-18.483604564,5,5,0,0,1.0,0.0,0.0,0.4550359712230216,120.0,-0.0692640692640693
13.75,-18.33150353,6,4,0,2,0.6666666666666666,0.0,0.3333333333333333,0.440453686200378,127.0,-0.08328088944829037
14.0,-19.32288034,8,4,2,2,0.5,0.25,0.25,0.4658536585365854,115.0,-0.0586932447397564
14.25,-18.99568364875,8,5,0,3,0.625,0.0,0.375,0.4571428571428571,119.0,-0.06718851924331382
14.5,-18.5995348025,8,5,0,3,0.625,0.0,0.375,0.4379746835443038,128.0,-0.08521303258145368
14.75,-19.025801055555558,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.4804177545691906,108.0,-0.043040293040293054
15.0,-19.552389246666667,6,3,0,3,0.5,0.0,0.5,0.5100864553314121,-104.0,-0.01400560224089642
15.25,-19.655777735,2,1,0,1,0.5,0.0,0.5,0.4364161849710982,129.0,-0.08712830110210024
15.5,-18.66354889,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0.4843205574912892,106.0,-0.038372630605640334
15.75,-20.85127953,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.5017667844522968,-101.0,-0.021321961620469065
16.0,-21.043754432857146,7,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.3526970954356846,184.0,-0.17169684775318583
16.25,-20.977650773333334,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.4151785714285714,141.0,-0.10887176447342423
16.75,-21.19404123625,8,5,0,3,0.625,0.0,0.375,0.4130434782608695,142.0,-0.11058638331365606
17.0,-20.616277152857144,7,3,0,4,0.42857142857142855,0.0,0.5714285714285714,0.4084084084084084,145.0,-0.11564625850340138
17.5,-21.144404065,4,1,2,1,0.25,0.5,0.25,0.4401913875598086,127.0,-0.08328088944829037
17.75,-22.349336152,5,4,1,0,0.8,0.2,0.0,0.326271186440678,206.0,-0.1970121381886088
18.0,-22.735444206666667,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.445414847161572,125.0,-0.07936507936507942
18.25,-23.99442832,2,2,0,0,1.0,0.0,0.0,0.4966442953020134,101.0,-0.02629708599857855
18.5,-21.0430354,2,0,2,0,0.0,1.0,0.0,0.3390804597701149,195.0,-0.18482647296206622
19.0,-21.06645386,1,0,0,1,0.0,0.0,1.0,0.4573170731707317,119.0,-0.06718851924331382
19.25,-21.92359672,1,1,0,0,1.0,0.0,0.0,0.3888888888888889,157.0,-0.13470446544376508
20.0,-24.801721885,4,1,0,3,0.25,0.0,0.75,0.3883495145631068,158.0,-0.1362126245847176
20.25,-25.57156569,2,0,1,1,0.0,0.5,0.5,0.4214876033057851,137.0,-0.10186859553948163
20.5,-24.03187808,2,0,2,0,0.0,1.0,0.0,0.3181818181818182,214.0,-0.20533818622990602
22.25,-24.03187808,1,1,0,0,1.0,0.0,0.0,0.2,400.0,-0.3238095238095238
