player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Thriston Lawrence,Casey Jarvis,Calm,Open,SKIP,Casey Jarvis,-5.7,-5.7,0.0,SKIP,
Doug Ghim,Garrick Higgo,Calm,Open,Garrick Higgo,Garrick Higgo,-8.4,-8.4,0.0,WIN,True
Johnny Keefer,Mac Meissner,Calm,Open,Mac Meissner,Johnny Keefer,-6.1,-6.1,0.0,LOSS,False
Keith Mitchell,Max McGreevy,Calm,Open,Max McGreevy,Push,-6.1,-6.1,0.0,PUSH,
Jordan Smith,Rico Hoey,Calm,Open,Rico Hoey,Jordan Smith,-8.3,-8.3,0.0,LOSS,False
Kevin Yu,Matt Wallace,Calm,Open,Matt Wallace,Kevin Yu,-9.7,-9.7,0.0,LOSS,False
Shane Lowry,Nicolai Hojgaard,Calm,Open,SKIP,Push,-5.7,-5.7,0.0,PUSH,
Aaron Rai,Davis Thompson,Calm,Open,Davis Thompson,Aaron Rai,-11.7,-11.7,0.0,LOSS,False
Nico Echavarria,Chris Kirk,Calm,Open,SKIP,Nico Echavarria,-4.2,-4.2,0.0,SKIP,
Ricky Castillo,Stephan Jaeger,Calm,Open,SKIP,Ricky Castillo,-4.5,-4.5,0.0,SKIP,
Rasmus Neergaard-Petersen,Alex Smalley,Calm,Open,SKIP,Rasmus Neergaard-Petersen,-4.2,-4.2,0.0,SKIP,
Ryan Gerard,Rasmus Hojgaard,Calm,Open,Rasmus Hojgaard,Rasmus Hojgaard,-9.7,-9.7,0.0,WIN,True
Kristoffer Reitan,Michael Brennan,Calm,Open,Michael Brennan,Kristoffer Reitan,-9.3,-9.3,0.0,LOSS,False
Sami Valimaki,Max Homa,Calm,Open,SKIP,Max Homa,-4.2,-4.2,0.0,SKIP,
Daniel Berger,Michael Thorbjornsen,Calm,Open,Michael Thorbjornsen,Daniel Berger,-8.3,-8.3,0.0,LOSS,False
Thorbjorn Olesen,Will Zalatoris,Calm,Open,Will Zalatoris,nan,-9.3,-9.3,0.0,LOSS,False
John Parry,Tom Kim,Calm,Open,SKIP,John Parry,-5.7,-5.7,0.0,SKIP,
Seamus Power,Mackenzie Hughes,Calm,Open,Mackenzie Hughes,Seamus Power,-10.7,-10.7,0.0,LOSS,False
Christiaan Bezuidenhout,Haotong Li,Calm,Open,SKIP,Push,-4.2,-4.2,0.0,PUSH,
Ewen Ferguson,Matthew Jordan,Calm,Open,SKIP,Push,-5.7,-5.7,0.0,PUSH,
Justin Walters,Louis Albertse,Calm,Open,SKIP,Louis Albertse,-4.1,-4.1,0.0,SKIP,
Angel Ayora,Antoine Rozner,Calm,Open,SKIP,Angel Ayora,-1.4,-1.4,0.0,SKIP,
Jayden Schaper,Thriston Lawrence,Calm,Open,SKIP,Push,-4.5,-4.5,0.0,PUSH,
Casey Jarvis,Dan Bradbury,Calm,Open,Dan Bradbury,Casey Jarvis,-8.3,-8.3,0.0,LOSS,False
Joost Luiten,Jacques Kruyswijk,Calm,Open,Jacques Kruyswijk,Joost Luiten,-11.7,-11.7,0.0,LOSS,False
Marcus Armitage,Alejandro Del Rey,Calm,Open,SKIP,Alejandro Del Rey,-5.7,-5.7,0.0,SKIP,
Dean Burmester,Hennie du Plessis,Calm,Open,SKIP,Dean Burmester,-4.2,-4.2,0.0,SKIP,
Jorge Campillo,Martin Couvra,Calm,Open,SKIP,Jorge Campillo,-5.7,-5.7,0.0,SKIP,
Jacob Olesen,Julien Guerrier,Calm,Open,SKIP,Julien Guerrier,-4.2,-4.2,0.0,SKIP,
Wenyi Ding,Alex Fitzpatrick,Calm,Open,SKIP,Alex Fitzpatrick,-1.4,-1.4,0.0,SKIP,
Calum Hill,Frederic Lacroix,Calm,Open,Frederic Lacroix,Frederic Lacroix,-11.7,-11.7,0.0,WIN,True
Oliver Lindell,Charl Schwartzel,Calm,Open,SKIP,Oliver Lindell,-4.2,-4.2,0.0,SKIP,
Patrick Reed,Branden Grace,Calm,Open,SKIP,Branden Grace,-4.5,-4.5,0.0,SKIP,
