player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Dean Burmester,Thomas Pieters,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,50,50,50,50-75,50-75,50-75,50-75,-10.011686793922866,0.0,-6.2424486508256125,0.0
Nick Taylor,Max McGreevy,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,25,50,25,50-75,25-50,50-75,25-50,-10.011686793922866,0.0,-6.2424486508256125,0.0
Richard Bland,Charl Schwartzel,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,50,50,50,50-75,50-75,50-75,50-75,-10.011686793922866,0.0,-6.2424486508256125,0.0
Lucas Herbert,Cameron Smith,Moderate,Open,-8.127067722374239,0.0,-8.127067722374239,BET B,Yellow,nan,50,50,50,50,50-75,50-75,50-75,50-75,-10.011686793922866,0.0,-6.2424486508256125,0.0
Aaron Rai,Davis Thompson,Calm,Open,-7.936829431588663,0.0,-7.936829431588663,SKIP,Green,nan,75,50,50,50,75-100,50-75,50-75,50-75,-6.167400881057271,0.0,-9.706257982120055,0.0
Doug Ghim,Garrick Higgo,Calm,Open,-7.936829431588663,0.0,-7.936829431588663,SKIP,Green,nan,75,50,50,50,75-100,50-75,50-75,50-75,-6.167400881057271,0.0,-9.706257982120055,0.0
Calum Hill,Frederic Lacroix,Calm,Open,-7.936829431588663,0.0,-7.936829431588663,SKIP,Green,nan,75,50,50,50,75-100,50-75,50-75,50-75,-6.167400881057271,0.0,-9.706257982120055,0.0
Angel Ayora,Casey Jarvis,Moderate,Open,-7.868072983664332,0.0,-7.868072983664332,SKIP,Yellow,nan,25,50,75,50,25-50,50-75,75-100,50-75,-8.117752007136486,0.0,-7.618393960192178,0.0
Hideki Matsuyama,Min Woo Lee,Moderate,Open,-7.868072983664332,0.0,-7.868072983664332,SKIP,Yellow,nan,25,25,75,25,25-50,25-50,75-100,25-50,-8.117752007136486,0.0,-7.618393960192178,0.0
Nico Echavarria,Wyndham Clark,Moderate,Open,-7.67494000252621,0.0,-7.67494000252621,SKIP,Green,nan,25,25,75,25,25-50,25-50,75-100,25-50,-9.890109890109889,0.0,-5.459770114942531,0.0
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,-7.67494000252621,0.0,-7.67494000252621,SKIP,Green,nan,25,25,75,25,25-50,25-50,75-100,25-50,-9.890109890109889,0.0,-5.459770114942531,0.0
Sam Burns,Jason Day,Moderate,Open,-7.67494000252621,0.0,-7.67494000252621,SKIP,Green,nan,25,25,75,25,25-50,25-50,75-100,25-50,-9.890109890109889,0.0,-5.459770114942531,0.0
