color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Orange,50-75,Tough,Closing,0.285,3.4617,33,20,0.5758,0.3258311203869158
Orange,50-75,Tough,Open,-0.7708,2.4993,63,33,0.381,0.07930354940895001
Orange,50-75,Tough,Positioning,0.6672,3.4198,84,44,0.5476,0.5276377721269115
Orange,50-75,Tough,Survival,1.0197,2.2307,40,27,0.8,0.3837853704182319
Orange,75-100,Calm,Closing,-0.3408,2.8374,607,171,0.458,0.3304253163132197
Orange,75-100,Calm,Elimination,-0.598,2.7922,49,27,0.4286,0.06634757438822775
Orange,75-100,Calm,Mixed,0.1478,4.0789,130,64,0.4615,0.4951297700461696
Orange,75-100,Calm,Open,-0.4114,2.8981,956,217,0.4048,0.6770614756304725
Orange,75-100,Calm,Positioning,-0.1572,2.7313,583,172,0.4528,0.8084129986868983
Orange,75-100,Calm,REMOVE,0.1014,2.8916,239,84,0.4854,0.09491015325045209
Orange,75-100,Calm,Survival,-0.4089,2.8631,702,190,0.4217,0.2134459473660759
Orange,75-100,Moderate,Closing,0.2132,2.803,322,126,0.5248,0.911866865625333
Orange,75-100,Moderate,Mixed,1.828,2.3779,11,11,0.7273,0.28550402337026387
Orange,75-100,Moderate,Open,-0.2817,3.0225,627,184,0.4657,0.04431064178010208
Orange,75-100,Moderate,Positioning,-0.2284,3.3179,332,136,0.497,0.007713391747996432
Orange,75-100,Moderate,REMOVE,0.4197,2.5921,101,50,0.5149,0.7149481572855704
Orange,75-100,Moderate,Survival,0.2541,3.1088,624,184,0.5192,0.056255755350890904
Orange,75-100,Tough,Closing,-1.261,3.7662,10,7,0.5,0.0382274507109168
Orange,75-100,Tough,Open,-0.3635,2.9051,66,42,0.3636,0.5217340722004631
Orange,75-100,Tough,Positioning,-0.511,2.3619,48,22,0.5417,0.017717398210807717
Orange,75-100,Tough,Survival,0.9753,3.2271,49,36,0.5714,0.40096564210435043
Pink,25-50,Calm,Closing,0.8378,1.3747,13,13,0.5385,0.17895792685021775
Pink,25-50,Calm,Open,-1.1686,4.9468,6,5,0.3333,0.512691147004752
Pink,25-50,Calm,Positioning,-2.1655,2.0894,9,7,0.1111,0.032893525426465696
Pink,25-50,Calm,Survival,-0.826,,1,1,0.0,
Pink,25-50,Moderate,Closing,1.4313,1.5657,12,7,0.75,0.1421471692064245
Pink,25-50,Moderate,Open,-1.7935,3.1637,5,3,0.4,0.19003096525316696
Pink,25-50,Moderate,Positioning,-1.087,,1,1,0.0,
Pink,25-50,Moderate,REMOVE,2.9172,,1,1,1.0,
Pink,25-50,Moderate,Survival,-2.0351,5.8046,3,2,0.3333,
Pink,50-75,Calm,Closing,-0.0913,3.2586,50,23,0.46,0.7406008521626085
Pink,50-75,Calm,Elimination,-0.0647,2.0,4,2,0.75,
Pink,50-75,Calm,Mixed,0.6985,2.2751,13,6,0.5385,0.4242105500471659
Pink,50-75,Calm,Open,-0.1801,3.1985,67,27,0.4328,0.6028922901081207
Pink,50-75,Calm,Positioning,0.3894,3.31,41,23,0.4634,0.1867080539804034
Pink,50-75,Calm,REMOVE,-0.746,2.4901,34,20,0.3235,0.28539541458243584
Pink,50-75,Calm,Survival,-1.0835,2.9257,37,17,0.2973,0.09615594560368675
Pink,50-75,Moderate,Closing,0.9478,3.8074,10,10,0.5,0.4149509440868775
Pink,50-75,Moderate,Mixed,-0.5356,1.8257,4,4,0.5,
Pink,50-75,Moderate,Open,0.1723,2.9608,40,17,0.5,0.6637266301587018
Pink,50-75,Moderate,Positioning,-1.0552,2.9194,20,14,0.3,0.05122836520686117
Pink,50-75,Moderate,REMOVE,0.9172,1.8708,5,4,0.6,0.7584243663140168
Pink,50-75,Moderate,Survival,-0.243,2.9122,50,24,0.52,0.5559523335773764
Pink,50-75,Tough,Positioning,1.7526,3.2514,8,4,0.5,0.19530044933413035
Pink,50-75,Tough,Survival,4.2814,0.0,2,1,1.0,
Pink,75-100,Calm,Closing,0.7359,2.9493,7,6,0.5714,0.37263326705234234
