condition,round_type,moon,life_path,n,edge,roi,conf,mean_error
Tough,Survival,Krishna Rikta,5.0,20,24.999999999999996,7.1428571428571415,EXPLORATORY,-1.41830349447245
Moderate,Closing,Krishna Jaya,5.0,49,14.285714285714288,7.070707070707073,HIGH,-0.45335404246244904
Moderate,Positioning,Krishna Jaya,2.0,49,14.285714285714285,7.070707070707071,HIGH,-0.16890355409999977
Calm,Positioning,Shukla Purna,4.0,79,11.392405063291136,6.97674418604651,HIGH,-0.4327656518437974
Calm,Positioning,Krishna Nanda,1.0,109,10.091743119266056,6.918238993710692,HIGH,-0.3487146428954128
Moderate,Open,Shukla Purna,8.0,66,12.12121212121212,6.896551724137931,HIGH,-0.3501877347713636
Calm,Positioning,Shukla Jaya,6.0,81,11.11111111111111,6.870229007633588,HIGH,-0.4016646888671605
Moderate,Positioning,Shukla Rikta,5.0,52,13.461538461538463,6.862745098039216,HIGH,-1.0702624864301922
Tough,Open,Krishna Bhadra,1.0,23,21.73913043478261,6.8493150684931505,EXPLORATORY,-0.8984043335669566
Calm,Positioning,Shukla Purna,8.0,126,9.523809523809526,6.81818181818182,HIGH,-0.30454661542793665
Moderate,Survival,Krishna Jaya,7.0,127,9.448818897637794,6.779661016949152,HIGH,-0.04074459958922214
Tough,Positioning,Krishna Purna,9.0,24,20.833333333333336,6.756756756756758,EXPLORATORY,-1.2624734928499997
Calm,Open,Shukla Nanda,6.0,277,7.942238267148016,6.727828746177371,HIGH,0.017761506757184173
Moderate,Open,Shukla Nanda,7.0,159,8.805031446540879,6.698564593301434,HIGH,-0.465286799889203
Moderate,Open,Shukla Bhadra,4.0,40,15.0,6.666666666666666,HIGH,-0.26147853653249997
Tough,Survival,Krishna Rikta,6.0,26,19.230769230769234,6.578947368421054,EXPLORATORY,-0.8807824223246923
Calm,Closing,Krishna Rikta,1.0,58,12.06896551724138,6.481481481481483,HIGH,-0.9849056742275862
Moderate,Closing,Shukla Jaya,8.0,74,10.81081081081081,6.451612903225807,HIGH,-0.263578147564865
Moderate,Survival,Shukla Purna,7.0,76,10.526315789473687,6.349206349206351,HIGH,-0.33370959214707796
Calm,Closing,Shukla Bhadra,1.0,128,8.59375,6.179775280898876,HIGH,-0.43749628882734376
Tough,Positioning,Krishna Jaya,6.0,15,26.66666666666667,6.153846153846155,EXPLORATORY,-0.8781353944406
Tough,Positioning,Krishna Purna,8.0,15,26.666666666666668,6.153846153846154,EXPLORATORY,-0.8037052446048
Moderate,Survival,Shukla Purna,5.0,64,10.9375,6.140350877192982,HIGH,-0.4104681263089063
Calm,Closing,Shukla Jaya,1.0,180,7.777777777777778,6.086956521739131,HIGH,-0.2801558749448889
Calm,Positioning,Krishna Nanda,8.0,115,8.695652173913043,6.0606060606060606,HIGH,-0.09480998150347827
Moderate,Positioning,Krishna Rikta,2.0,100,9.000000000000002,6.000000000000001,HIGH,0.16070121098499995
Calm,Positioning,Shukla Nanda,5.0,68,10.294117647058826,5.93220338983051,HIGH,-0.44051754061764703
Calm,Closing,Shukla Bhadra,9.0,136,8.088235294117649,5.913978494623657,HIGH,-0.14555903651911759
Moderate,Positioning,Shukla Bhadra,9.0,18,22.22222222222222,5.88235294117647,EXPLORATORY,-0.27761828455555565
Moderate,Closing,Krishna Nanda,7.0,107,8.411214953271026,5.732484076433119,HIGH,-0.5559906915492329
Moderate,Open,Krishna Nanda,8.0,91,8.79120879120879,5.673758865248226,HIGH,-0.05388936069395609
Moderate,Open,Shukla Purna,2.0,93,8.602150537634406,5.594405594405592,HIGH,-0.07750920928258064
Calm,Positioning,Shukla Rikta,9.0,165,7.272727272727275,5.581395348837211,HIGH,-0.6218745655078788
Tough,Closing,Krishna Jaya,7.0,22,18.18181818181818,5.555555555555555,EXPLORATORY,-0.04013367907709089
Tough,Survival,Krishna Bhadra,4.0,22,18.18181818181818,5.555555555555555,EXPLORATORY,-0.908729662226727
Calm,Survival,Shukla Nanda,1.0,221,6.787330316742082,5.535055350553506,HIGH,-0.3019400483692307
Tough,Positioning,Krishna Jaya,3.0,23,17.391304347826086,5.47945205479452,EXPLORATORY,-1.3178126443373914
Calm,Survival,Shukla Nanda,8.0,224,6.696428571428573,5.474452554744527,HIGH,-0.37815862702553565
Moderate,Closing,Shukla Rikta,4.0,5,60.0,5.454545454545455,WEAK,-1.9736663974800002
Moderate,Closing,Shukla Nanda,3.0,60,9.999999999999998,5.454545454545453,HIGH,-0.21837004921757508
Calm,Positioning,Shukla Jaya,4.0,97,8.247422680412372,5.442176870748299,HIGH,-0.3538369851672167
Calm,Closing,Shukla Jaya,4.0,137,7.299270072992697,5.347593582887698,HIGH,-0.17313334802379557
Calm,Closing,Shukla Jaya,3.0,231,6.493506493506493,5.338078291814946,HIGH,-0.3178726948782684
Moderate,Survival,Shukla Nanda,2.0,83,8.433734939759038,5.263157894736843,HIGH,-0.23053425680481932
Tough,Survival,Krishna Bhadra,1.0,26,15.384615384615385,5.2631578947368425,EXPLORATORY,-0.8661774381365384
Calm,Positioning,Krishna Purna,1.0,179,6.703910614525138,5.240174672489082,HIGH,0.09976419335027926
Calm,Closing,Krishna Purna,3.0,123,7.317073170731706,5.202312138728323,HIGH,-0.14864431881707316
Moderate,Positioning,Shukla Nanda,5.0,48,10.416666666666668,5.102040816326531,HIGH,-0.19535262340124993
Tough,Survival,Krishna Rikta,3.0,29,13.793103448275861,5.063291139240506,EXPLORATORY,-0.6954261145131034
Tough,Survival,Krishna Rikta,9.0,29,13.79310344827586,5.063291139240506,EXPLORATORY,-0.4905304111251723
Tough,Positioning,Krishna Bhadra,9.0,30,13.333333333333336,5.000000000000001,HIGH,-0.6587680221700001
Moderate,Survival,Shukla Rikta,1.0,90,7.777777777777778,5.0,HIGH,-0.19587828219544437
Moderate,Closing,Shukla Jaya,3.0,70,8.57142857142857,4.999999999999999,HIGH,-0.3726400228270001
Tough,Positioning,Shukla Nanda,7.0,30,13.33333333333333,4.999999999999999,HIGH,-0.7014747591642662
Moderate,Survival,Shukla Jaya,3.0,151,6.622516556291391,4.975124378109453,HIGH,-0.24236357440301004
Calm,Closing,Shukla Jaya,9.0,214,6.074766355140188,4.924242424242425,HIGH,-0.039369435695794396
Tough,Positioning,Krishna Jaya,5.0,11,27.27272727272727,4.918032786885245,WEAK,-0.3940065862163637
Moderate,Survival,Shukla Jaya,1.0,113,7.079646017699112,4.907975460122697,HIGH,-0.2164861439566371
Tough,Positioning,Shukla Nanda,5.0,32,12.5,4.878048780487805,HIGH,-0.16132230698243755
Calm,Open,Shukla Nanda,1.0,347,5.47550432276657,4.785894206549118,HIGH,-0.24155645890317004
Calm,Closing,Krishna Purna,9.0,97,7.216494845360821,4.761904761904759,HIGH,-0.5745429377216494
Moderate,Survival,Krishna Nanda,4.0,121,6.611570247933882,4.678362573099413,HIGH,-0.35557334638173554
Tough,Open,Krishna Bhadra,6.0,15,20.0,4.615384615384616,EXPLORATORY,-0.8812122179866666
Moderate,Survival,Shukla Purna,6.0,60,8.333333333333332,4.545454545454544,HIGH,-0.0012974074775933264
Moderate,Open,Krishna Nanda,9.0,104,6.730769230769229,4.545454545454544,HIGH,-0.04298462904134614
Calm,Survival,Shukla Nanda,2.0,286,5.244755244755245,4.464285714285714,HIGH,-0.05744098986818179
Moderate,Open,Shukla Jaya,8.0,152,5.921052631578943,4.455445544554452,HIGH,0.03823779980901308
Calm,Positioning,Shukla Nanda,3.0,108,6.481481481481483,4.4303797468354436,HIGH,-0.177140502005926
Moderate,Positioning,Shukla Nanda,4.0,63,7.936507936507936,4.424778761061947,HIGH,-0.23421732978190468
Tough,Positioning,Krishna Jaya,1.0,18,16.666666666666664,4.411764705882352,EXPLORATORY,-0.4708131987444444
Tough,Open,Krishna Bhadra,8.0,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-1.2671777255868422
Moderate,Closing,Krishna Nanda,6.0,88,6.8181818181818175,4.347826086956521,HIGH,-0.34478815636142723
Calm,Positioning,Krishna Bhadra,7.0,112,6.25,4.320987654320987,HIGH,0.16385010111142867
Moderate,Survival,Shukla Rikta,2.0,68,7.35294117647059,4.2372881355932215,HIGH,0.29959023920294126
Calm,Positioning,Shukla Purna,9.0,139,5.755395683453235,4.232804232804232,HIGH,-0.09507544876978415
Moderate,Survival,Shukla Bhadra,5.0,163,5.521472392638035,4.225352112676055,HIGH,-0.08315373583355837
Calm,Closing,Shukla Jaya,7.0,163,5.521472392638035,4.225352112676055,HIGH,-0.1704170232631902
Moderate,Survival,Shukla Nanda,8.0,69,7.246376811594201,4.201680672268907,HIGH,0.454751595657826
Moderate,Positioning,Shukla Nanda,6.0,46,8.695652173913043,4.166666666666667,HIGH,-0.3764947436016914
Calm,Open,Krishna Nanda,7.0,289,4.844290657439449,4.129793510324486,HIGH,-0.1267504962823529
Calm,Positioning,Shukla Jaya,8.0,124,5.645161290322581,4.022988505747127,HIGH,-0.02722171477016135
Tough,Positioning,Krishna Purna,7.0,25,12.000000000000002,4.0,EXPLORATORY,-0.48226508920632016
Tough,Open,Shukla Bhadra,1.0,50,7.999999999999999,3.9999999999999996,HIGH,-0.10531632453380003
Moderate,Positioning,Krishna Bhadra,6.0,52,7.6923076923076925,3.9215686274509802,HIGH,-0.2380896649943384
Moderate,Closing,Shukla Rikta,5.0,2,100.0,3.8461538461538463,WEAK,-3.48416798655
Moderate,Survival,Shukla Purna,4.0,54,7.4074074074074066,3.846153846153846,HIGH,-0.6085786336629627
Calm,Closing,Shukla Rikta,8.0,133,5.263157894736842,3.8251366120218577,HIGH,-0.10481024907533847
Calm,Positioning,Krishna Purna,4.0,133,5.263157894736842,3.8251366120218577,HIGH,-0.14100761275473683
Calm,Positioning,Shukla Jaya,5.0,81,6.172839506172839,3.816793893129771,HIGH,-0.42461548557037043
Moderate,Closing,Shukla Rikta,6.0,3,66.66666666666666,3.773584905660377,WEAK,-4.1759217422
Moderate,Survival,Shukla Jaya,4.0,113,5.309734513274339,3.6809815950920264,HIGH,-0.3495504531998231
Calm,Closing,Shukla Bhadra,5.0,86,5.813953488372093,3.676470588235294,HIGH,-0.3059841412790698
Moderate,Closing,Shukla Nanda,7.0,33,9.090909090909092,3.6144578313253017,HIGH,-0.22425419870272725
Calm,Positioning,Krishna Nanda,3.0,116,5.1724137931034475,3.614457831325301,HIGH,-0.36868859287586214
Calm,Closing,Shukla Nanda,4.0,116,5.1724137931034475,3.614457831325301,HIGH,-0.7609324486261205
Moderate,Positioning,Krishna Purna,2.0,89,5.61797752808989,3.597122302158275,HIGH,-0.14149172740224716
Calm,Closing,Shukla Bhadra,3.0,146,4.794520547945208,3.5714285714285734,HIGH,-0.12444177090630133
Moderate,Positioning,Krishna Bhadra,1.0,62,6.451612903225809,3.571428571428573,HIGH,-0.41024111272032254
Calm,Positioning,Krishna Jaya,7.0,90,5.555555555555555,3.5714285714285716,HIGH,-0.08331873579555557
Moderate,Open,Shukla Nanda,5.0,118,5.0847457627118615,3.571428571428569,HIGH,-0.45737163626440674
Calm,Open,Shukla Purna,8.0,234,4.273504273504275,3.521126760563382,HIGH,-0.15824931759316235
Moderate,Survival,Krishna Bhadra,5.0,93,5.376344086021506,3.4965034965034967,HIGH,-0.28220863828623655
Moderate,Open,Shukla Purna,3.0,93,5.376344086021503,3.496503496503495,HIGH,-0.3137885833310753
Calm,Positioning,Krishna Purna,6.0,122,4.918032786885243,3.488372093023254,HIGH,-0.0346863521210656
Tough,Positioning,Krishna Jaya,9.0,8,25.0,3.4482758620689653,WEAK,-1.9187959848770002
Calm,Survival,Shukla Nanda,5.0,183,4.371584699453554,3.4334763948497873,HIGH,-0.11879160290655737
Moderate,Survival,Krishna Jaya,5.0,126,4.761904761904762,3.409090909090909,HIGH,-0.1457603583096826
Moderate,Open,Shukla Jaya,4.0,159,4.402515723270439,3.349282296650717,HIGH,0.21191428678779872
Calm,Open,Krishna Purna,8.0,161,4.3478260869565215,3.3175355450236963,HIGH,-0.18644560661801246
Calm,Closing,Krishna Jaya,9.0,101,4.95049504950495,3.3112582781456945,HIGH,0.1449535991920792
Moderate,Survival,Shukla Purna,2.0,102,4.901960784313725,3.2894736842105257,HIGH,-0.009501585060588237
Moderate,Positioning,Krishna Jaya,8.0,42,7.142857142857145,3.260869565217392,HIGH,-0.45971820896952387
Moderate,Closing,Krishna Nanda,2.0,134,4.4776119402985035,3.2608695652173885,HIGH,-0.0032099195425373222
Tough,Positioning,Krishna Jaya,4.0,12,16.666666666666668,3.2258064516129035,WEAK,-0.7262504995128332
Calm,Closing,Shukla Nanda,3.0,168,4.166666666666666,3.2110091743119265,HIGH,-0.1543899324119048
Moderate,Survival,Krishna Jaya,4.0,106,4.716981132075471,3.205128205128205,HIGH,-0.22967199021679255
Calm,Closing,Shukla Bhadra,4.0,106,4.716981132075471,3.205128205128205,HIGH,-0.27186965206367925
Calm,Closing,Shukla Purna,9.0,138,4.3478260869565215,3.1914893617021276,HIGH,0.01814720191811601
Tough,Positioning,Shukla Bhadra,8.0,13,15.384615384615385,3.1746031746031744,WEAK,-0.649060627457077
Calm,Closing,Shukla Jaya,6.0,140,4.285714285714287,3.157894736842106,HIGH,0.12446700535624282
Moderate,Open,Shukla Purna,7.0,77,5.194805194805194,3.149606299212598,HIGH,-0.13548057552805198
Tough,Open,Shukla Jaya,6.0,14,14.285714285714285,3.125,WEAK,-0.3932817790414285
Calm,Open,Shukla Nanda,9.0,335,3.582089552238804,3.116883116883115,HIGH,0.03574774748238811
Calm,Survival,Shukla Nanda,4.0,176,3.9772727272727293,3.0973451327433645,HIGH,-0.11350254579511367
Tough,Closing,Krishna Jaya,4.0,16,12.5,3.0303030303030303,EXPLORATORY,-0.9272655763425001
Tough,Open,Krishna Bhadra,4.0,16,12.5,3.0303030303030303,EXPLORATORY,-0.6362962930012499
Moderate,Positioning,Krishna Purna,9.0,52,5.769230769230771,2.941176470588236,HIGH,-0.383013545525
Calm,Survival,Shukla Rikta,4.0,197,3.5532994923857864,2.8340080971659916,HIGH,-0.4571989874264467
Calm,Closing,Shukla Bhadra,6.0,94,4.255319148936171,2.7777777777777786,HIGH,-0.22162503306638293
