color,exec_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Green,25-50,Calm,Mixed,-0.6131,3.3568,91,47,0.3846,0.13571937318540608
Green,25-50,Calm,Open,-0.4469,2.9949,735,231,0.4054,0.4945356001598891
Green,25-50,Calm,Positioning,-0.0916,2.7845,401,154,0.4713,0.5048079969769799
Green,25-50,Calm,REMOVE,-0.2722,3.1198,133,63,0.4286,0.831463286441876
Green,25-50,Calm,Survival,-0.4081,2.6117,617,198,0.389,0.24354438255437208
Green,25-50,Moderate,Closing,0.2377,2.6829,179,88,0.5642,0.8456698696228658
Green,25-50,Moderate,Mixed,1.0894,3.7773,8,8,0.625,0.8215697635837559
Green,25-50,Moderate,Open,0.3013,3.1927,365,153,0.4904,0.03559846589314199
Green,25-50,Moderate,Positioning,0.4874,2.7946,180,86,0.6111,0.21002779635143867
Green,25-50,Moderate,REMOVE,0.7341,2.5153,57,28,0.5789,0.5859725360338804
Green,25-50,Moderate,Survival,0.0808,3.3658,299,144,0.4816,0.7064793161548177
Green,25-50,Tough,Closing,-0.01,3.3348,10,7,0.6,0.39789323035475677
Green,25-50,Tough,Open,-0.7308,2.069,22,14,0.2273,0.32065327798542353
Green,25-50,Tough,Positioning,-0.2911,2.5107,29,18,0.5517,0.15116864875901925
Green,25-50,Tough,Survival,-0.2189,3.0111,71,44,0.5352,0.016820267386246795
Green,50-75,Calm,Closing,-0.2836,2.732,848,237,0.4399,0.5638095114933717
Green,50-75,Calm,Elimination,-0.0184,2.7199,57,31,0.4386,0.6327800831274574
Green,50-75,Calm,Mixed,-0.3934,3.0781,225,105,0.4,0.16751907151181802
Green,50-75,Calm,Open,-0.3579,3.0388,1519,310,0.4266,0.8762579512372851
Green,50-75,Calm,Positioning,-0.3269,2.7878,826,219,0.4201,0.1594525396614237
Green,50-75,Calm,REMOVE,-0.1462,2.8221,266,112,0.4474,0.6918283537768771
Green,50-75,Calm,Survival,-0.3469,2.9979,1160,280,0.4224,0.3725870460500941
Green,50-75,Moderate,Closing,0.0028,2.8278,410,167,0.4829,0.1959304982513823
Green,50-75,Moderate,Mixed,1.8644,2.0736,5,5,0.8,0.44660820100372106
Green,50-75,Moderate,Open,-0.1544,3.1317,894,253,0.4418,0.24974159902727702
Green,50-75,Moderate,Positioning,-0.1026,2.9805,386,164,0.4896,0.03960673243082719
Green,50-75,Moderate,REMOVE,0.0593,3.1806,79,46,0.481,0.15793468520736165
Green,50-75,Moderate,Survival,-0.0131,2.9852,753,243,0.4688,0.8216009677410145
Green,50-75,Tough,Closing,1.4235,3.153,90,54,0.7,0.10886971031795667
Green,50-75,Tough,Open,-0.2791,2.5795,90,49,0.3778,0.637333442582426
Green,50-75,Tough,Positioning,0.3449,3.0506,83,51,0.5663,0.7112312152861056
Green,50-75,Tough,Survival,0.5888,2.7115,97,53,0.5773,0.9106979114647551
Green,75-100,Calm,Closing,-0.5578,2.7324,135,73,0.4,0.17769093844865097
Green,75-100,Calm,Elimination,-0.5519,2.8284,2,2,0.5,
Green,75-100,Calm,Mixed,2.161,3.5147,32,19,0.6562,0.0002831206290273159
Green,75-100,Calm,Open,-0.2823,2.7952,181,88,0.4365,0.6928791413176779
Green,75-100,Calm,Positioning,0.0913,3.0146,138,64,0.4275,0.24525728697357424
Green,75-100,Calm,REMOVE,-0.4163,2.4495,38,18,0.4737,0.6717205925837535
Green,75-100,Calm,Survival,-0.0535,2.906,244,108,0.4549,0.2704906352861739
Green,75-100,Moderate,Closing,0.4106,3.0024,82,44,0.622,0.5059087289534846
Green,75-100,Moderate,Open,0.2707,3.3677,123,70,0.5447,0.2626007376848246
Green,75-100,Moderate,Positioning,0.3041,2.8526,87,52,0.5747,0.7695170261027825
Green,75-100,Moderate,REMOVE,1.3876,2.736,48,29,0.6667,0.03865103463632737
Green,75-100,Moderate,Survival,-0.4386,2.9238,104,71,0.5,0.1349705001294271
Green,75-100,Tough,Positioning,0.5786,2.1934,25,13,0.56,0.8384916193214039
Green,75-100,Tough,Survival,2.269,3.0332,5,5,1.0,0.19725294885889466
Orange,0-25,Calm,Closing,2.2721,2.8574,6,6,0.6667,0.03197528154257655
Orange,0-25,Calm,Open,-0.2426,2.4671,15,10,0.4,0.8684720905459256
Orange,0-25,Calm,Positioning,0.2895,0.0,2,1,1.0,
Orange,0-25,Calm,REMOVE,0.1925,2.3809,16,9,0.625,0.5677400019330523
Orange,0-25,Calm,Survival,-1.2326,3.2037,14,14,0.2857,0.22598096566345238
Orange,0-25,Moderate,Closing,-1.885,3.391,15,12,0.2667,0.005849866847979131
Orange,0-25,Moderate,Open,-1.206,3.8264,23,16,0.3043,0.06155453021862777
Orange,0-25,Moderate,Positioning,2.7196,2.2088,12,6,0.8333,0.002787946342267921
Orange,0-25,Moderate,Survival,-0.4556,2.9754,18,14,0.4444,0.5172483344805248
Orange,25-50,Calm,Closing,-0.2982,2.8051,827,207,0.4655,0.47693358656040197
Orange,25-50,Calm,Elimination,-0.9262,2.4127,67,37,0.2985,0.002202088418411822
Orange,25-50,Calm,Mixed,-0.1539,3.6427,155,74,0.4194,0.7571485175419591
Orange,25-50,Calm,Open,-0.3041,2.9223,1368,256,0.4167,0.4278274606756301
Orange,25-50,Calm,Positioning,-0.1052,2.6961,833,184,0.4538,0.4182872886519958
Orange,25-50,Calm,REMOVE,-0.4898,3.1363,304,101,0.3914,0.11455837248724195
Orange,25-50,Calm,Survival,-0.4526,2.915,1119,228,0.437,0.04309121627868986
Orange,25-50,Moderate,Closing,-0.1533,2.7668,406,144,0.4458,0.019476570882135353
Orange,25-50,Moderate,Mixed,0.5696,3.6651,19,19,0.5263,0.7215386717122746
Orange,25-50,Moderate,Open,-0.3061,2.8453,819,193,0.4249,0.011879434367201729
Orange,25-50,Moderate,Positioning,0.0173,2.7791,420,139,0.4952,0.18288842667004432
Orange,25-50,Moderate,REMOVE,0.1384,2.7803,89,43,0.5393,0.2112542943209312
Orange,25-50,Moderate,Survival,0.024,3.1297,789,207,0.4867,0.9221485371955264
