player_name,condition,round_type,color,element,exec_bucket,upside_bucket,chinese_zodiac,combo_events,combo_wr,baseline_wr,delta,delta_pct
Si Woo Kim,Calm,Open,Yellow,Wood,50,50,Pig,12,0.5,0.307,0.193,19.3
Charley Hoffman,Calm,Closing,Orange,Fire,25,50,Dragon,5,0.4,0.208,0.19200000000000003,19.2
Vince Whaley,Calm,Closing,Yellow,Wood,50,75,Pig,7,0.429,0.237,0.192,19.2
Gary Woodland,Calm,Open,Orange,Wood,25,50,Rat,7,0.429,0.237,0.192,19.2
Chris Gotterup,Calm,Open,Yellow,Earth,50,50,Rabbit,6,0.5,0.308,0.192,19.2
Patton Kizzire,Calm,Survival,Blue,Fire,50,75,Tiger,5,0.4,0.209,0.19100000000000003,19.1
Will Gordon,Calm,Positioning,Red,Fire,50,50,Rat,5,0.4,0.21,0.19000000000000003,19.0
Chris Kirk,Calm,Positioning,Yellow,Wood,50,75,Ox,8,0.5,0.31,0.19,19.0
Nick Taylor,Calm,Open,Yellow,Earth,50,50,Dragon,9,0.444,0.255,0.189,18.9
C.T. Pan,Calm,Open,Yellow,Metal,50,50,Goat,5,0.4,0.212,0.18800000000000003,18.8
Matti Schmid,Calm,Open,Blue,Fire,25,50,Ox,6,0.5,0.312,0.188,18.8
Matti Schmid,Calm,Open,Yellow,Fire,50,75,Ox,6,0.5,0.312,0.188,18.8
Takumi Kanaya,Calm,Open,Yellow,Earth,50,50,Tiger,5,0.4,0.213,0.18700000000000003,18.7
Brandon Wu,Calm,Survival,Yellow,Fire,50,75,Ox,5,0.4,0.213,0.18700000000000003,18.7
Brice Garnett,Calm,Positioning,Yellow,Water,50,50,Pig,5,0.4,0.214,0.18600000000000003,18.6
Brice Garnett,Calm,Open,Yellow,Water,25,50,Pig,5,0.4,0.214,0.18600000000000003,18.6
Nate Lashley,Calm,Survival,Yellow,Water,25,75,Dog,5,0.4,0.217,0.18300000000000002,18.3
Nate Lashley,Calm,Positioning,Yellow,Water,25,75,Dog,5,0.4,0.217,0.18300000000000002,18.3
Chez Reavie,Calm,Open,Purple,Metal,50,50,Rooster,5,0.4,0.219,0.18100000000000002,18.1
Chez Reavie,Calm,Open,Blue,Metal,50,75,Rooster,5,0.4,0.219,0.18100000000000002,18.1
Nicolai Højgaard,Calm,Closing,Yellow,Metal,50,50,Snake,7,0.429,0.248,0.181,18.1
Tom Kim,Calm,Positioning,Yellow,Water,50,50,Horse,8,0.5,0.319,0.181,18.1
Patrick Fishburn,Calm,Survival,Yellow,Water,50,50,Monkey,7,0.429,0.248,0.181,18.1
Keith Mitchell,Calm,Survival,Yellow,Metal,50,75,Goat,6,0.5,0.32,0.18,18.0
Garrick Higgo,Calm,Open,Yellow,Earth,50,50,Rabbit,8,0.5,0.32,0.18,18.0
Garrick Higgo,Calm,Closing,Yellow,Earth,50,75,Rabbit,8,0.5,0.32,0.18,18.0
Lanto Griffin,Calm,Open,Yellow,Earth,50,50,Dragon,7,0.429,0.249,0.18,18.0
Patrick Cantlay,Calm,Open,Orange,Water,25,50,Monkey,5,0.6,0.422,0.178,17.8
Patrick Cantlay,Calm,Positioning,Orange,Water,50,50,Monkey,5,0.6,0.422,0.178,17.8
K.H. Lee,Calm,Open,Purple,Metal,25,50,Goat,7,0.429,0.251,0.178,17.8
Jhonattan Vegas,Calm,Survival,Yellow,Wood,50,50,Rat,5,0.4,0.223,0.17700000000000002,17.7
Jhonattan Vegas,Calm,Open,Yellow,Wood,25,75,Rat,5,0.4,0.223,0.17700000000000002,17.7
Collin Morikawa,Calm,Open,Orange,Fire,25,50,Rat,5,0.6,0.424,0.176,17.6
Tony Finau,Calm,Positioning,Yellow,Earth,25,50,Snake,6,0.5,0.325,0.175,17.5
Tony Finau,Calm,Closing,Yellow,Earth,50,50,Snake,6,0.5,0.325,0.175,17.5
Adam Schenk,Calm,Survival,Orange,Metal,50,75,Goat,5,0.4,0.226,0.17400000000000002,17.4
Adam Schenk,Calm,Open,Orange,Metal,25,75,Goat,5,0.4,0.226,0.17400000000000002,17.4
Michael Kim,Calm,Positioning,Yellow,Water,50,75,Rooster,6,0.5,0.326,0.174,17.4
Ludvig Åberg,Calm,Open,Purple,Earth,50,50,Rabbit,7,0.571,0.397,0.17399999999999993,17.4
Brendon Todd,Calm,Survival,Purple,Wood,25,50,Ox,5,0.4,0.227,0.17300000000000001,17.3
Max McGreevy,Calm,Survival,Yellow,Wood,50,50,Pig,5,0.4,0.228,0.17200000000000001,17.2
David Lipsky,Calm,Survival,Yellow,Earth,50,75,Dragon,5,0.4,0.23,0.17,17.0
David Lipsky,Calm,Open,Purple,Earth,50,75,Dragon,5,0.4,0.23,0.17,17.0
David Lipsky,Calm,Survival,Blue,Earth,50,50,Dragon,5,0.4,0.23,0.17,17.0
Justin Suh,Calm,Open,Green,Fire,25,50,Ox,5,0.4,0.23,0.17,17.0
Joel Dahmen,Calm,Closing,Yellow,Fire,50,50,Rabbit,5,0.4,0.231,0.169,16.9
Andrew Putnam,Calm,Open,Yellow,Earth,50,75,Dragon,12,0.417,0.248,0.16899999999999998,16.9
Jason Day,Calm,Closing,Yellow,Fire,50,75,Rabbit,6,0.5,0.333,0.16699999999999998,16.7
Mark Hubbard,Calm,Survival,Blue,Earth,25,75,Snake,7,0.429,0.262,0.16699999999999998,16.7
Mark Hubbard,Calm,Open,Yellow,Earth,25,50,Snake,7,0.429,0.262,0.16699999999999998,16.7
Jason Day,Calm,Closing,Yellow,Fire,50,50,Rabbit,6,0.5,0.333,0.16699999999999998,16.7
Troy Merritt,Calm,Open,Yellow,Wood,50,75,Ox,5,0.4,0.234,0.166,16.6
Zac Blair,Calm,Survival,Green,Metal,50,75,Horse,5,0.4,0.234,0.166,16.6
Jordan Spieth,Calm,Open,Blue,Water,50,50,Rooster,6,0.5,0.335,0.16499999999999998,16.5
