player_a,player_b,condition,round_type,gap,prediction,actual_winner,result,correct
Rory McIlroy,Viktor Hovland,Calm,Survival,7.5178584660768255,SKIP,Viktor Hovland,SKIP,
Rory McIlroy,Viktor Hovland,Calm,Survival,7.5178584660768255,SKIP,Rory McIlroy,SKIP,
Rory McIlroy,Viktor Hovland,Calm,Survival,7.5178584660768255,SKIP,,SKIP,
Rory McIlroy,Viktor Hovland,Calm,Survival,7.5178584660768255,SKIP,Viktor Hovland,SKIP,
Jacques Kruyswijk,Jacob Olesen,Calm,Survival,7.497488260122613,SKIP,Jacob Olesen,SKIP,
Thriston Lawrence,Hennie du Plessis,Calm,Survival,-7.497488260122613,SKIP,Thriston Lawrence,SKIP,
Thriston Lawrence,Hennie du Plessis,Calm,Survival,-7.497488260122613,SKIP,Hennie du Plessis,SKIP,
Harry Hall,Andrew Novak,Calm,Open,-7.463525529406512,SKIP,Harry Hall,SKIP,
Jacob Bridgeman,Tom Kim,Calm,Positioning,-7.436224106593063,SKIP,Jacob Bridgeman,SKIP,
Matthew Wolff,Graeme McDowell,Calm,Positioning,7.436224106593063,SKIP,Matthew Wolff,SKIP,
Shane Lowry,Adam Scott,Tough,Open,-7.396259655151453,SKIP,Adam Scott,SKIP,
Harry Hall,Min Woo Lee,Calm,Open,-7.373178764048808,SKIP,Min Woo Lee,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Ryo Hisatsune,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Push,PUSH,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Lucas Glover,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Ryo Hisatsune,SKIP,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Push,PUSH,
Lucas Glover,Ryo Hisatsune,Calm,Survival,-7.362253554365134,SKIP,Lucas Glover,SKIP,
Sam Burns,Matt Fitzpatrick,Calm,Open,-7.356473246522076,SKIP,Matt Fitzpatrick,SKIP,
Olihan Guillamoundeguy,Renato Paratore,Calm,Positioning,-7.351115566344597,SKIP,Oihan Guillamoundeguy,SKIP,
Jacob Olesen,Julien Guerrier,Calm,Open,7.288407289977307,SKIP,Julien Guerrier,SKIP,
Rickie Fowler,Jason Day,Tough,Open,-7.264843172576208,SKIP,Rickie Fowler,SKIP,
Joe Highsmith,Rory McIlroy,Calm,Positioning,7.226955133296867,SKIP,Joe Highsmith,SKIP,
Taylor Moore,Ryo Hisatsune,Moderate,Survival,-7.194700115340669,SKIP,Ryo Hisatsune,SKIP,
Niklas Norgaard,Daniel van Tonder,Calm,Open,-7.125328361034758,SKIP,Daniel van Tonder,SKIP,
Niklas Norgaard,Daniel van Tonder,Calm,Open,-7.125328361034758,SKIP,Daniel van Tonder,SKIP,
Joel Girrbach,Tapio Pulkkanen,Calm,Open,7.125328361034758,SKIP,Tapio Pulkkanen,SKIP,
Hennie du Plessis,Nathan Kimsey,Moderate,Closing,7.119281953205178,SKIP,Hennie du Plessis,SKIP,
Hennie du Plessis,Nathan Kimsey,Moderate,Closing,7.119281953205178,SKIP,Hennie du Plessis,SKIP,
Jason Scrivener,Joe Dean,Moderate,Open,-7.059427939048896,SKIP,Joe Dean,SKIP,
Brandon Stone,Romain Langasque,Moderate,Open,7.059427939048896,SKIP,Romain Langasque,SKIP,
Brandon Stone,Romain Langasque,Moderate,Open,7.059427939048896,SKIP,Romain Langasque,SKIP,
Brandon Stone,Romain Langasque,Moderate,Open,7.059427939048896,SKIP,Romain Langasque,SKIP,
Matt Fitzpatrick,Harris English,Tough,Open,-7.048564530335091,SKIP,Matt Fitzpatrick,SKIP,
Antoine Rozner,Marcus Armitage,Moderate,Open,-7.047539951607837,SKIP,Marcus Armitage,SKIP,
Robert MacIntyre,Justin Rose,Tough,Open,-7.026711986102194,SKIP,Justin Rose,SKIP,
Ryan Fox,Tony Finau,Moderate,Positioning,-7.020053708444161,SKIP,Ryan Fox,SKIP,
Wyndham Clark,Jordan Spieth,Calm,Open,-6.988093048860594,SKIP,Jordan Spieth,SKIP,
Marcus Armitage,Julien Guerrier,Calm,Positioning,-6.985744028947171,SKIP,Marcus Armitage,SKIP,
Kurt Kitayama,Pierceson Coody,Moderate,Open,6.980222077863241,SKIP,Pierceson Coody,SKIP,
Kurt Kitayama,Pierceson Coody,Moderate,Open,6.980222077863241,SKIP,Kurt Kitayama,SKIP,
Kurt Kitayama,Pierceson Coody,Moderate,Open,6.980222077863241,SKIP,Kurt Kitayama,SKIP,
Kurt Kitayama,Pierceson Coody,Moderate,Open,6.980222077863241,SKIP,Pierceson Coody,SKIP,
Ricky Castillo,Stephan Jaeger,Calm,Open,-6.968965557276605,SKIP,Ricky Castillo,SKIP,
Jordan Smith,Christiaan Bezuidenhout,Moderate,Closing,-6.940070487693469,SKIP,Jordan Smith,SKIP,
Nicolai Hojgaard,Mackenzie Hughes,Moderate,Closing,6.940070487693469,SKIP,Nicolai Hojgaard,SKIP,
Eddie Pepperell,Adrian Otaegui,Moderate,Survival,6.922807966612724,SKIP,Eddie Pepperell,SKIP,
Emiliano Grillo,Adam Schenk,Moderate,Closing,-6.921530000820816,SKIP,Emiliano Grillo,SKIP,
Collin Morikawa,Viktor Hovland,Tough,Open,6.914893617021279,SKIP,Collin Morikawa,SKIP,
Alex Fitzpatrick,Jacob Olesen,Calm,Open,-6.912231844411249,SKIP,Push,PUSH,
Wade Ormsby,Miguel Tabuena,Calm,Positioning,-6.900635488698705,SKIP,push,PUSH,
Antoine Rozner,Dan Bradbury,Calm,Closing,-6.900580112585082,SKIP,Dan Bradbury,SKIP,
Angel Ayora,Calum Hill,Calm,Open,-6.821885079053544,SKIP,Angel Ayora,SKIP,
Angel Ayora,Calum Hill,Calm,Open,-6.821885079053544,SKIP,Angel Ayora,SKIP,
Daniel Berger,Sahith Theegala,Calm,Open,6.821885079053544,SKIP,Daniel Berger,SKIP,
Thomas Detry,Richard Bland,Moderate,Positioning,-6.792879840996603,SKIP,Thomas Detry,SKIP,
Carlos Ortiz,Jon Rahm,Moderate,Positioning,-6.792879840996603,SKIP,Jon Rahm,SKIP,
