color,exec_bucket,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Purple,25-50,Survival,-0.2762,3.1254,1018,256,0.4106,0.10938808671060998
Purple,50-75,Closing,-0.1575,2.8327,1468,284,0.4646,0.14821474304428914
Purple,50-75,Elimination,0.4568,2.5253,53,27,0.5283,0.4663593014540707
Purple,50-75,Mixed,0.3913,3.6998,221,103,0.5023,0.08449591004123484
Purple,50-75,Open,-0.1957,3.0268,2908,368,0.4498,0.44804919968801465
Purple,50-75,Positioning,0.0352,2.81,1576,285,0.5057,0.43737801578766894
Purple,50-75,REMOVE,0.1475,2.7429,420,139,0.4762,0.2637207979118489
Purple,50-75,Survival,-0.1261,3.0321,2081,333,0.4829,0.9482899569285397
Purple,75-100,Closing,-0.3924,2.7766,255,104,0.4353,0.05626500923017103
Purple,75-100,Elimination,-7.5519,,1,1,0.0,
Purple,75-100,Mixed,-1.3304,3.8451,55,30,0.2545,0.005336431831872866
Purple,75-100,Open,-0.2233,2.9857,481,169,0.4366,0.9051552343866048
Purple,75-100,Positioning,-0.0041,2.6607,257,102,0.4708,0.917623841001483
Purple,75-100,REMOVE,0.5947,2.5608,77,38,0.6104,0.06487938497206326
Purple,75-100,Survival,-0.2051,3.1714,400,157,0.475,0.583326941648606
Red,0-25,Closing,-1.156,1.2752,2,2,0.0,
Red,0-25,Open,-1.6692,0.6959,2,2,0.0,
Red,0-25,Survival,-1.7131,5.7854,2,2,0.5,
Red,25-50,Closing,0.4696,3.1057,152,63,0.5526,0.029510026535337342
Red,25-50,Mixed,1.9469,1.9712,12,6,0.75,0.04646597418749632
Red,25-50,Open,-0.4803,2.9174,251,83,0.3546,0.20393218065338364
Red,25-50,Positioning,0.4993,3.1381,162,52,0.5309,0.019635809751257116
Red,25-50,REMOVE,-0.6681,2.3283,47,27,0.383,0.12142750772532457
Red,25-50,Survival,-0.2839,3.211,225,74,0.4222,0.4224560066956249
Red,50-75,Closing,0.6997,2.8687,268,84,0.5634,2.9901144050764634e-05
Red,50-75,Elimination,1.4966,2.2152,28,18,0.8571,0.013972424468522595
Red,50-75,Mixed,-0.3348,3.6839,54,30,0.3519,0.5119959054614143
Red,50-75,Open,0.1275,3.2547,535,117,0.4561,0.004922634314743099
Red,50-75,Positioning,-0.1723,2.7901,321,89,0.486,0.34729847388817675
Red,50-75,REMOVE,-0.1382,2.7211,130,62,0.4538,0.6299679840590512
Red,50-75,Survival,-0.0941,3.0788,495,138,0.4727,0.8408731686991849
Red,75-100,Closing,-1.1887,2.2976,64,29,0.2188,0.0015842243473410337
Red,75-100,Mixed,1.6312,3.4433,29,15,0.6552,0.009676208059786268
Red,75-100,Open,0.0177,3.5752,78,39,0.359,0.4481494526036103
Red,75-100,Positioning,0.1061,2.4215,38,21,0.5,0.7795150925233572
Red,75-100,REMOVE,1.7762,3.1979,22,13,0.7727,0.0036504971655903036
Red,75-100,Survival,-0.1371,3.2099,68,34,0.4706,0.9663569464621768
Yellow,0-25,Closing,-0.6624,3.5497,23,13,0.5217,0.3061473268186647
Yellow,0-25,Open,0.9645,2.9071,20,14,0.6,0.07186313956451061
Yellow,0-25,Positioning,-1.0129,3.8279,8,4,0.5,0.32255647656733993
Yellow,0-25,REMOVE,-0.803,1.1547,4,2,0.5,
Yellow,0-25,Survival,-0.3884,2.693,14,10,0.5714,0.7410065630648056
Yellow,25-50,Closing,0.0729,2.9524,1857,306,0.5132,0.09798114025987274
Yellow,25-50,Elimination,0.4673,3.0852,76,39,0.4474,0.3793548091408419
Yellow,25-50,Mixed,0.1048,3.2667,249,112,0.4418,0.5651186226164067
Yellow,25-50,Open,-0.1646,3.0623,3265,373,0.4466,0.17272975458844816
Yellow,25-50,Positioning,-0.1053,2.7022,1778,297,0.4696,0.23720830352383354
