color,upside_bucket,condition,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Purple,Upside_50-75,Tough,213,0.5260729443681691,2.9476385804870198,55.86854460093896,0.43511516095698344,0.09095778341118566,0.7207462187216543,0.030947917461143833
Purple,Upside_75-100,Calm,1533,-0.30542137479476317,2.873486152707835,43.83561643835616,-0.3135975031618568,0.008176128367093638,0.9233309641210043,0.002771602997374349
Purple,Upside_75-100,Moderate,808,0.2200776303751609,3.073330778601504,50.61881188118812,0.031064041621908935,0.18901358875325197,0.1072883763175585,0.06356533432614325
Purple,Upside_75-100,Tough,120,0.29056300349233327,2.9502633865490147,55.00000000000001,0.43511516095698344,-0.14455215746465017,0.6411221713064368,-0.04920020719386706
Red,Upside_25-50,Calm,30,0.20775997191533335,2.8361436902625736,60.0,-0.10179916580952066,0.309559137724854,0.5765563998440539,0.1032131000785833
Red,Upside_25-50,Moderate,12,1.0014766427416668,3.6971838532277097,58.333333333333336,0.21085348352592986,0.7906231592157369,0.39665032152003493,0.247240316486595
Red,Upside_50-75,Calm,873,-0.015755376806745675,3.0530861924311723,46.506300114547535,-0.10179916580952066,0.08604378900277498,0.5200921933868505,0.028455206586727278
Red,Upside_50-75,Moderate,422,0.1194790712052962,3.1580178704878827,46.44549763033176,0.21085348352592986,-0.09137441232063366,0.6493057118834954,-0.028771415207932086
Red,Upside_50-75,Tough,34,0.30400639172882343,2.868907250191243,55.88235294117647,0.7205518426887271,-0.41654545095990364,0.5128297792497989,-0.14335993857838206
Red,Upside_75-100,Calm,330,-0.3575658383282121,2.8739788937699613,39.696969696969695,-0.10179916580952066,-0.25576667251869145,0.16577706450284635,-0.0859362619088243
Red,Upside_75-100,Moderate,179,0.3732698192170949,3.22872188923748,51.955307262569825,0.21085348352592986,0.16241633569116504,0.5500668529047122,0.05079799223143995
Red,Upside_75-100,Tough,20,1.4416137749650002,3.0340864402093124,65.0,0.7205518426887271,0.7210619322762731,0.3532580709047449,0.24394652745951162
Yellow,Upside_25-50,Calm,865,-0.5369856204264971,2.9413269558879924,39.653179190751445,-0.3011813755378834,-0.23580424488861373,0.02263343514754578,-0.07983143456980717
Yellow,Upside_25-50,Moderate,658,0.17645941546667476,2.861517035317156,51.82370820668692,0.11622981070818242,0.060229604758492344,0.6124062086224005,0.020466042287482944
Yellow,Upside_25-50,Tough,46,0.5270937155347825,2.974063403349109,47.82608695652174,0.27422265724803785,0.2528710582867446,0.5462767930219106,0.0913804052585456
Yellow,Upside_50-75,Calm,8699,-0.30120858944152773,2.9475445281057997,43.85561558799862,-0.3011813755378834,-2.7213903644351944e-05,0.9994592930879511,-9.219160412111413e-06
Yellow,Upside_50-75,Moderate,5482,0.12476045146181866,2.9379907590094554,49.452754469171836,0.11622981070818242,0.008530640753636243,0.8659138409852631,0.002896951902698134
Yellow,Upside_50-75,Tough,433,0.12580083245616633,2.672786752759653,48.72979214780601,0.27422265724803785,-0.14842182479187152,0.3573469957875913,-0.0544070255479308
Yellow,Upside_75-100,Calm,4699,-0.2577237450683252,2.9684127592560903,44.52011066184294,-0.3011813755378834,0.043457630469558195,0.3824294535410022,0.014691680014880533
Yellow,Upside_75-100,Moderate,2794,0.08530781624056546,2.9906335570121225,49.033643521832495,0.11622981070818242,-0.030921994467616953,0.629715400322151,-0.01045078919427315
Yellow,Upside_75-100,Tough,367,0.41764113532348784,2.821199233969717,55.04087193460491,0.27422265724803785,0.14341847807545,0.4086026884130372,0.051668969385022134
