player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Johnny Keefer,Mac Meissner,-3.7299999999999995,-0.44499999999999984,Mac Meissner,Johnny Keefer,False
Keith Mitchell,Max McGreevy,-0.9349999999999999,-2.86,Keith Mitchell,Push,
Jordan Smith,Rico Hoey,1.105,-0.9349999999999999,Jordan Smith,Jordan Smith,True
Kevin Yu,Matt Wallace,-0.6749999999999999,1.105,Matt Wallace,Kevin Yu,False
Shane Lowry,Nicolai Hojgaard,5.7,1.105,Shane Lowry,Push,
Aaron Rai,Davis Thompson,0.135,1.105,Davis Thompson,Aaron Rai,False
Nico Echavarria,Chris Kirk,5.7,1.105,Nico Echavarria,Nico Echavarria,True
Ricky Castillo,Stephan Jaeger,0.855,5.7,Stephan Jaeger,Ricky Castillo,False
Rasmus Neergaard-Petersen,Alex Smalley,1.105,5.7,Alex Smalley,Rasmus Neergaard-Petersen,False
Ryan Gerard,Rasmus Hojgaard,-0.6749999999999999,1.105,Rasmus Hojgaard,Rasmus Hojgaard,True
Kristoffer Reitan,Michael Brennan,-2.86,1.105,Michael Brennan,Kristoffer Reitan,False
Sami Valimaki,Max Homa,5.7,1.105,Sami Valimaki,Max Homa,False
Daniel Berger,Michael Thorbjornsen,1.105,0.855,Daniel Berger,Daniel Berger,True
Thorbjorn Olesen,Will Zalatoris,-2.86,1.105,Will Zalatoris,,
John Parry,Tom Kim,1.105,-0.6749999999999999,John Parry,John Parry,True
Seamus Power,Mackenzie Hughes,-0.9349999999999999,0.855,Mackenzie Hughes,Seamus Power,False
Christiaan Bezuidenhout,Haotong Li,1.105,1.105,Haotong Li,Push,
Ewen Ferguson,Matthew Jordan,1.105,-3.7299999999999995,Ewen Ferguson,Push,
Justin Walters,Louis Albertse,-0.6749999999999999,5.7,Louis Albertse,Louis Albertse,True
Angel Ayora,Antoine Rozner,-3.7299999999999995,-3.7299999999999995,Antoine Rozner,Angel Ayora,False
Jayden Schaper,Thriston Lawrence,1.105,1.105,Thriston Lawrence,Push,
Casey Jarvis,Dan Bradbury,0.855,1.105,Dan Bradbury,Casey Jarvis,False
Joost Luiten,Jacques Kruyswijk,-0.44499999999999984,1.105,Jacques Kruyswijk,Joost Luiten,False
Marcus Armitage,Alejandro Del Rey,1.105,0.135,Marcus Armitage,Alejandro Del Rey,False
Dean Burmester,Hennie du Plessis,0.855,1.105,Hennie du Plessis,Dean Burmester,False
Jorge Campillo,Martin Couvra,1.105,-0.44499999999999984,Jorge Campillo,Jorge Campillo,True
Jacob Olesen,Julien Guerrier,5.7,-3.3,Jacob Olesen,Julien Guerrier,False
Wenyi Ding,Alex Fitzpatrick,-0.9349999999999999,-2.86,Wenyi Ding,Alex Fitzpatrick,False
Calum Hill,Frederic Lacroix,0.135,-3.7299999999999995,Calum Hill,Frederic Lacroix,False
Oliver Lindell,Charl Schwartzel,1.105,1.105,Charl Schwartzel,Oliver Lindell,False
Patrick Reed,Branden Grace,0.855,-2.86,Patrick Reed,Branden Grace,False
Francesco Laporta,Nathan Kimsey,-0.6749999999999999,5.7,Nathan Kimsey,Push,
JC Ritchie,Brandon Stone,5.7,5.7,Brandon Stone,,
Jacob Olesen,Martin Couvra,3.55,3.55,Martin Couvra,Jacob Olesen,False
JC Ritchie,Rafa Cabrera Bello,-0.42500000000000004,-0.93,JC Ritchie,Rafa Cabrera Bello,False
