player_a,player_b,player_c,condition,round_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c,score_a,score_b,score_c,best_player,best_vs_second,filter_0pct,filter_0.5pct,filter_1pct,filter_2pct,filter_5pct,filter_8pct,actual_winner,result_type,win_indicator,pl
J.J. Spaun,Sepp Straka,Shane Lowry,Moderate,Open,Purple,Yellow,Green,50,56,25,50.0,86.0,75.0,0.7769622730033564,-8.815040377057523,-7.67494000252621,A,8.451902275529566,True,True,True,True,True,True,Sepp Straka,LOSS,0,-100.0
Sahith Theegala,Rickie Fowler,Jordan Spieth,Moderate,Open,Green,Yellow,Purple,25,56,50,75.0,86.0,50.0,-7.67494000252621,-8.815040377057523,0.7769622730033564,C,8.451902275529566,True,True,True,True,True,True,Sahith Theegala,LOSS,0,-100.0
Richard Bland,Ben Campbell,Danny Lee,Calm,Open,Blue,Blue,Purple,50,59,25,75.0,85.0,50.0,-10.621714015079949,-10.621714015079949,-2.2271999497468435,C,8.394514065333103,True,True,True,True,True,True,Richard Bland,LOSS,0,-100.0
Thorbjorn Olesen,Chandler Phillips,Hank Lebioda,Calm,Open,Blue,Yellow,Blue,50,34,50,50.0,40.0,75.0,-6.2880345882637325,2.041197236107569,-10.621714015079949,B,8.329231824371302,True,True,True,True,True,True,,2WAY_PUSH_WIN,1,105.0
Austin Eckroat,Doug Ghim,David Lipsky,Calm,Open,Blue,Yellow,Green,50,34,50,50.0,40.0,75.0,-6.2880345882637325,2.041197236107569,-7.629423036380654,B,8.329231824371302,True,True,True,True,True,True,Doug Ghim,WIN,1,150.0
Franklin Manchest,Justin Walters,Thanda Mavundla,Calm,Open,Purple,Blue,Yellow,75,70,50,50.0,70.0,25.0,-8.363221328763021,-6.2880345882637325,1.9508504707498648,C,8.238885059013597,True,True,True,True,True,True,Justin Walters,LOSS,0,-100.0
Camilo Villegas,Joel Dahmen,Sam Ryder,Calm,Open,Yellow,Green,Blue,50,57,50,25.0,57.0,50.0,1.9508504707498648,-9.789553822772817,-6.2880345882637325,A,8.238885059013597,True,True,True,True,True,True,Joel Dahmen,LOSS,0,-100.0
Francesco Laporta,Connor Syme,Daniel van Tonder,Calm,Open,Blue,Green,Yellow,50,75,50,50.0,69.0,25.0,-6.2880345882637325,-7.936829431588663,1.9508504707498648,C,8.238885059013597,True,True,True,True,True,True,Francesco Laporta,LOSS,0,-100.0
Jesper Svensson,Zach Bauchou,Jeffrey Kang,Calm,Open,Yellow,Yellow,Yellow,50,34,50,75.0,40.0,50.0,-6.654587793268107,2.041197236107569,-6.103294108272843,B,8.144491344380413,True,True,True,True,True,True,,2WAY_PUSH_LOSS,0,-100.0
Rafael Campos,Seamus Power,Rasmus Hojgaard,Calm,Open,Yellow,Yellow,Yellow,50,34,50,75.0,40.0,50.0,-6.654587793268107,2.041197236107569,-6.103294108272843,B,8.144491344380413,True,True,True,True,True,True,Rasmus Hojgaard,LOSS,0,-100.0
Zecheng Dou,Jackson Suber,Neal Shipley,Calm,Open,Yellow,Yellow,Blue,50,34,50,50.0,40.0,50.0,-6.103294108272843,2.041197236107569,-6.2880345882637325,B,8.144491344380413,True,True,True,True,True,True,Zecheng Dou,LOSS,0,-100.0
Lee Hodges,Mark Hubbard,Henrik Norlander,Calm,Open,Purple,Yellow,Yellow,75,71,25,50.0,65.0,25.0,-8.363221328763021,-6.103294108272843,2.041197236107569,C,8.144491344380413,True,True,True,True,True,True,Lee Hodges,LOSS,0,-100.0
Ricky Castillo,J.J. Spaun,Billy Horschel,Calm,Open,Yellow,Green,Yellow,25,49,50,25.0,57.0,50.0,2.041197236107569,-6.759287348831288,-6.103294108272843,A,8.144491344380413,True,True,True,True,True,True,Billy Horschel,LOSS,0,-100.0
Aaron Rai,Shane Lowry,Billy Horschel,Calm,Open,Green,Yellow,Yellow,75,52,50,50.0,45.0,50.0,-7.936829431588663,1.9508504707498648,-6.103294108272843,B,8.054144579022708,True,True,True,True,True,True,Aaron Rai,LOSS,0,-100.0
Steven Fisk,Nico Echavarria,Kevin Yu,Calm,Open,Yellow,Yellow,Blue,50,52,50,50.0,45.0,50.0,-6.103294108272843,1.9508504707498648,-6.2880345882637325,B,8.054144579022708,True,True,True,True,True,True,Nico Echavarria,WIN,1,145.0
Austin Smotherman,Jordan Smith,Chandler Blanchet,Calm,Open,Yellow,Yellow,Yellow,50,70,50,50.0,70.0,25.0,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,Austin Smotherman,LOSS,0,-100.0
Steven Fisk,Nick Taylor,Aaron Rai,Calm,Open,Green,Yellow,Yellow,25,49,25,50.0,57.0,25.0,-6.759287348831288,-6.0129473429151385,2.041197236107569,C,8.054144579022708,True,True,True,True,True,True,Aaron Rai,WIN,1,160.0
Viktor Hovland,Brooks Koepka,Corey Conners,Calm,Open,Yellow,Yellow,Blue,25,49,50,25.0,57.0,75.0,2.041197236107569,-6.0129473429151385,-10.621714015079949,A,8.054144579022708,True,True,True,True,True,True,Corey Conners,LOSS,0,-100.0
Brandon Stone,Marcel Schneider,Pieter Moolman,Calm,Open,Yellow,Purple,Yellow,50,75,50,25.0,69.0,50.0,1.9508504707498648,-8.363221328763021,-6.103294108272843,A,8.054144579022708,True,True,True,True,True,True,Brandon Stone,WIN,1,130.0
Jeong Weon Ko,Ryggs Johnston,JC Ritchie,Calm,Open,Purple,Yellow,Yellow,75,70,50,50.0,70.0,25.0,-8.363221328763021,-6.103294108272843,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,JC Ritchie,WIN,1,100.0
Bjorn Hellgren,Michael La Sasso,Luis Masaveu,Calm,Open,Blue,Yellow,Yellow,50,34,25,75.0,40.0,50.0,-10.621714015079949,2.041197236107569,-6.0129473429151385,B,8.054144579022708,True,True,True,True,True,True,Luis Masaveu,LOSS,0,-100.0
Jean Hugo,Adrian Otaegui,Jovan Rebula,Calm,Open,Purple,Yellow,Yellow,75,52,50,50.0,45.0,50.0,-8.363221328763021,1.9508504707498648,-6.103294108272843,B,8.054144579022708,True,True,True,True,True,True,Adrian Otaegui,WIN,1,137.0
Jacob Olesen,Rikuya Hoshino,Calum Hill,Calm,Open,Yellow,Yellow,Green,50,70,75,25.0,70.0,50.0,1.9508504707498648,-6.103294108272843,-7.936829431588663,A,8.054144579022708,True,True,True,True,True,True,Rikuya Hoshino,LOSS,0,-100.0
Ugo Coussaud,Wenyi Ding,Nathan Kimsey,Calm,Open,Yellow,Purple,Yellow,50,75,50,50.0,69.0,25.0,-6.103294108272843,-8.363221328763021,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,Nathan Kimsey,WIN,1,160.0
Davis Thompson,Stephan Jaeger,Webb Simpson,Calm,Open,Yellow,Yellow,Yellow,50,52,50,50.0,45.0,50.0,-6.103294108272843,1.9508504707498648,-6.103294108272843,B,8.054144579022708,True,True,True,True,True,True,Davis Thompson,LOSS,0,-100.0
Mark Hubbard,Eric Cole,Alex Smalley,Calm,Open,Yellow,Blue,Yellow,50,70,50,50.0,70.0,25.0,-6.103294108272843,-6.2880345882637325,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,Mark Hubbard,LOSS,0,-100.0
Kris Ventura,Dan Brown,Pontus Nyholm,Calm,Open,Yellow,Yellow,Yellow,50,52,50,50.0,45.0,50.0,-6.103294108272843,1.9508504707498648,-6.103294108272843,B,8.054144579022708,True,True,True,True,True,True,Pontus Nyholm,LOSS,0,-100.0
Sami Valimaki,Cameron Davis,Matt Kuchar,Calm,Open,Yellow,Green,Yellow,50,75,50,25.0,69.0,50.0,1.9508504707498648,-7.936829431588663,-6.103294108272843,A,8.054144579022708,True,True,True,True,True,True,,2WAY_PUSH_LOSS,0,-100.0
Adam Schenk,William Mouw,Aaron Wise,Calm,Open,Yellow,Yellow,Blue,50,57,50,25.0,66.0,50.0,1.9508504707498648,-6.103294108272843,-6.2880345882637325,A,8.054144579022708,True,True,True,True,True,True,William Mouw,LOSS,0,-100.0
Jesper Svensson,Kensei Hirata,Luke Clanton,Calm,Open,Yellow,Yellow,Green,50,57,75,25.0,66.0,50.0,1.9508504707498648,-6.103294108272843,-7.936829431588663,A,8.054144579022708,True,True,True,True,True,True,Jesper Svensson,WIN,1,137.0
Altin van der Merwe,Louis Albertse,Ruan Korb,Calm,Open,Yellow,Yellow,Purple,50,52,75,50.0,45.0,50.0,-6.103294108272843,1.9508504707498648,-8.363221328763021,B,8.054144579022708,True,True,True,True,True,True,Altin van der Merwe,LOSS,0,-100.0
Chan Kim,John Parry,Gordon Sargent,Calm,Open,Yellow,Yellow,Yellow,50,57,50,50.0,57.0,25.0,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,Chan Kim,LOSS,0,-100.0
Kota Kaneko,Jeff Winther,Scott Jamieson,Calm,Open,Yellow,Yellow,Yellow,50,57,50,50.0,57.0,25.0,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,8.054144579022708,True,True,True,True,True,True,Jeff Winther,LOSS,0,-100.0
