pd_num,color,condition,n,mean_pd_color_cond,std,baseline_mean,difference,p_value,cohens_d
1,Yellow,Tough,113,0.6054168988902656,2.576599171967669,0.24540832643959998,0.36000857245066564,0.19789792162108832,0.13134526609720082
6,Blue,Calm,641,-0.2881078441476755,2.8356055100098856,-0.21620466649494746,-0.07190317765272802,0.5529073550853705,-0.024609299417974725
6,Blue,Moderate,455,0.3589256974669231,3.003293226072506,0.027703322789506473,0.3312223746774166,0.027501988176109687,0.10951928158815025
6,Blue,Tough,51,0.6982935475517648,3.440331793795817,0.3993340218201759,0.29895952573158885,0.5377088649724883,0.09260704157680277
6,Brown,Moderate,5,-1.0841547670599998,1.361060100536744,-0.2507315960416668,-0.8334231710183331,0.5872130354758168,-0.2701073621450485
6,Green,Calm,465,-0.3048558703331398,2.896294353367394,-0.30674534252646285,0.0018894721933230274,0.9894554978275605,0.0006477510481065721
6,Green,Moderate,284,0.11979746281241192,3.10193643744995,0.05224249220137764,0.06755497061103428,0.7254675881077858,0.02217672618353296
6,Green,Tough,22,0.5592034031927274,2.9685318131247334,0.16247757393182485,0.3967258292609026,0.5460259207207557,0.13393778591724032
6,Orange,Calm,477,-0.22286958450428723,2.911862141629768,-0.30903879287142144,0.08616920836713421,0.5393952333127735,0.02941238591506222
6,Orange,Moderate,349,0.17533210676753577,2.973978253737645,-0.02542361984928594,0.20075572661682173,0.22528194131749427,0.06853929651055152
6,Orange,Tough,22,-0.1888332292409091,3.114912520273477,0.17929752087452172,-0.36813075011543084,0.5711567146333318,-0.1265560212497725
6,Pink,Calm,17,0.3857035728952942,3.0685530471360942,-0.4612772421681304,0.8469808150634246,0.25255743169997463,0.28825129557460044
6,Pink,Moderate,10,-0.60036000196,2.4295014350090964,-0.0949572679551587,-0.5054027340048413,0.5882804264211001,-0.17827662796506613
6,Purple,Calm,472,-0.23303210540883476,3.2463137105957265,-0.32819174143275137,0.09515963602391661,0.5078882256953269,0.032024046846504395
6,Purple,Moderate,253,-0.004663033854584982,2.857364159486101,0.05049593810914425,-0.055158971963729236,0.7774158487588766,-0.018641718757090146
6,Purple,Tough,37,0.33328388418702704,2.986461144460422,0.4670140307360417,-0.13373014654901466,0.7955061510980677,-0.045298471357566275
6,Red,Calm,98,0.39715696228247976,2.8494773171054377,-0.10721910996252199,0.5043760722450017,0.11434292358909506,0.16726620849691917
6,Red,Moderate,50,-0.2111797125316,3.099419612634953,0.17597174234347784,-0.38715145487507785,0.40962182141391024,-0.12244125925900816
6,Red,Tough,6,1.9086340903666663,2.407884304137795,0.27459507560714286,1.6340390147595234,0.20607361082310888,0.5597527260133532
6,Yellow,Calm,1223,-0.5041165383010794,2.945924218028766,-0.28992012006395546,-0.21419641823712393,0.01580857365481624,-0.07261151433866393
6,Yellow,Moderate,819,0.39246267177301836,3.0073383553470197,0.10206333025679191,0.29039934151622643,0.007379122006060927,0.09889489075638447
6,Yellow,Tough,83,0.04897405146385545,2.8858498319296584,0.24540832643959998,-0.19643427497574453,0.5448213420631225,-0.07061564791605922
