player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Daniel Rodrigues,Darren Fichardt,Tough,Positioning,2.7,0.8385,2.7,0.8385,1.8615000000000002,Daniel Rodrigues,push,False
JC Ritchie,Alex Fitzpatrick,Tough,Positioning,0.6285000000000001,-4.57,0.6285000000000001,-4.57,5.1985,JC Ritchie,JC Ritchie,True
Altin van der Merwe,Matthew Jordan,Tough,Positioning,-2.6095,-0.6,-0.6,-2.6095,2.0095,Matthew Jordan,Altin van der Merwe,False
Todd Clements,Hennie Otto,Tough,Positioning,2.743,2.743,2.743,2.743,0.0,Hennie Otto,Todd Clements,False
Brandon Stone,Romain Langasque,Tough,Positioning,0.6285000000000001,0.122,0.6285000000000001,0.122,0.5065000000000001,Brandon Stone,Romain Langasque,False
Robin Williams,Julien Guerrier,Tough,Positioning,-0.69,-2.3085,-0.69,-2.3085,1.6185,Robin Williams,Julien Guerrier,False
Rafa Cabrera Bello,Ockie Strydom,Tough,Positioning,0.8385,-0.69,0.8385,-0.69,1.5285,Rafa Cabrera Bello,Rafa Cabrera Bello,True
Eddie Pepperell,Angel Ayora,Tough,Positioning,-3.4920000000000004,-4.57,-3.4920000000000004,-4.57,1.0779999999999998,Eddie Pepperell,Angel Ayora,False
MJ Viljoen,Calum Hill,Tough,Positioning,0.8385,-3.4920000000000004,0.8385,-3.4920000000000004,4.330500000000001,MJ Viljoen,Calum Hill,False
Oliver Lindell,Bernd Wiesberger,Tough,Positioning,0.8385,4.6695,4.6695,0.8385,3.8310000000000004,Bernd Wiesberger,Oliver Lindell,False
Jeff Winther,Kota Kaneko,Tough,Positioning,-4.57,-4.57,-4.57,-4.57,0.0,Kota Kaneko,Jeff Winther,False
Haydn Porteous,Johannes Veerman,Tough,Positioning,-0.6,-0.9909999999999999,-0.6,-0.9909999999999999,0.3909999999999999,Haydn Porteous,Haydn Porteous,True
Justin Walters,Antoine Rozner,Tough,Positioning,3.7245000000000004,-4.57,3.7245000000000004,-4.57,8.294500000000001,Justin Walters,Antoine Rozner,False
Adrian Otaegui,Casey Jarvis,Tough,Positioning,4.6695,-0.312,4.6695,-0.312,4.9815000000000005,Adrian Otaegui,Casey Jarvis,False
Branden Grace,Alejandro Del Rey,Tough,Positioning,-0.6,-0.39,-0.39,-0.6,0.20999999999999996,Alejandro Del Rey,Branden Grace,False
Kiradech Aphibarnrat,Rikuya Hoshino,Tough,Positioning,-0.6,0.122,0.122,-0.6,0.722,Rikuya Hoshino,push,False
Herman Loubser,Joe Dean,Tough,Positioning,-3.4920000000000004,-0.956,-0.956,-3.4920000000000004,2.5360000000000005,Joe Dean,Joe Dean,True
Hennie du Plessis,Dean Burmester,Tough,Positioning,-0.69,-0.9909999999999999,-0.69,-0.9909999999999999,0.30099999999999993,Hennie du Plessis,Hennie du Plessis,True
Nathan Kimsey,Francesco Laporta,Tough,Positioning,-2.3085,3.7245000000000004,3.7245000000000004,-2.3085,6.033,Francesco Laporta,Francesco Laporta,True
Joel Dahmen,Zecheng Dou,Moderate,Positioning,6.6515,6.6515,6.6515,6.6515,0.0,Zecheng Dou,Zecheng Dou,True
Max Homa,Alex Smalley,Moderate,Positioning,5.789,6.125,6.125,5.789,0.3360000000000003,Alex Smalley,Max Homa,False
Rasmus Hojgaard,Daniel Berger,Moderate,Positioning,-2.159,-6.211,-2.159,-6.211,4.0520000000000005,Rasmus Hojgaard,Rasmus Hojgaard,True
Keith Mitchell,Rasmus Neergaard-Petersen,Moderate,Positioning,-2.427,-0.677,-0.677,-2.427,1.75,Rasmus Neergaard-Petersen,Keith Mitchell,False
Davis Thompson,Christiaan Bezuidenhout,Moderate,Positioning,-3.4855000000000005,-2.159,-2.159,-3.4855000000000005,1.3265000000000007,Christiaan Bezuidenhout,Christiaan Bezuidenhout,True
Ryan Gerard,Nicolai Hojgaard,Moderate,Positioning,3.0765,-2.159,3.0765,-2.159,5.2355,Ryan Gerard,Nicolai Hojgaard,False
Garrick Higgo,John Parry,Moderate,Positioning,-2.159,6.6515,6.6515,-2.159,8.810500000000001,John Parry,Garrick Higgo,False
Brooks Koepka,Thorbjorn Olesen,Moderate,Positioning,1.309,-0.11000000000000004,1.309,-0.11000000000000004,1.419,Brooks Koepka,Thorbjorn Olesen,False
Eric Cole,Seamus Power,Moderate,Positioning,-3.4855000000000005,3.5995,3.5995,-3.4855000000000005,7.085000000000001,Seamus Power,Eric Cole,False
Jordan Smith,Ricky Castillo,Moderate,Positioning,5.789,-2.427,5.789,-2.427,8.216,Jordan Smith,Ricky Castillo,False
Kevin Roy,Billy Horschel,Moderate,Positioning,1.309,-0.11000000000000004,1.309,-0.11000000000000004,1.419,Kevin Roy,Push,
Nico Echavarria,Michael Brennan,Moderate,Positioning,-3.4915000000000003,-3.4855000000000005,-3.4855000000000005,-3.4915000000000003,0.005999999999999783,Michael Brennan,Nico Echavarria,False
Taylor Moore,William Mouw,Moderate,Positioning,-0.14249999999999996,6.6515,6.6515,-0.14249999999999996,6.7940000000000005,William Mouw,Taylor Moore,False
David Ford,Kristoffer Reitan,Moderate,Positioning,3.005,-2.159,3.005,-2.159,5.164,David Ford,Push,
Aaron Rai,Shane Lowry,Moderate,Positioning,3.5995,-1.0605,3.5995,-1.0605,4.66,Aaron Rai,Shane Lowry,False
Mark Hubbard,Austin Smotherman,Moderate,Positioning,6.6515,6.6515,6.6515,6.6515,0.0,Austin Smotherman,Push,
Lee Hodges,Sudarshan Yellamaraju,Moderate,Positioning,-0.677,0.2104999999999998,0.2104999999999998,-0.677,0.8874999999999998,Sudarshan Yellamaraju,Lee Hodges,False
Alex Smalley,Rasmus Hojgaard,Moderate,Positioning,6.125,-2.159,6.125,-2.159,8.283999999999999,Alex Smalley,Rasmus Hojgaard,False
Brooks Koepka,Max McGreevy,Moderate,Positioning,1.309,6.6515,6.6515,1.309,5.3425,Max McGreevy,Brooks Koepka,False
Chan Kim,Matthieu Pavon,Moderate,Positioning,-0.677,-3.3964999999999996,-0.677,-3.3964999999999996,2.7194999999999996,Chan Kim,Matthieu Pavon,False
Zecheng Dou,Ricky Castillo,Moderate,Positioning,6.6515,-2.427,6.6515,-2.427,9.0785,Zecheng Dou,Ricky Castillo,False
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Positioning,-0.677,3.0765,3.0765,-0.677,3.7535,Ryan Gerard,Push,
Christiaan Bezuidenhout,Daniel Brown,Moderate,Positioning,-2.159,6.125,6.125,-2.159,8.283999999999999,Daniel Brown,Push,
Eric Cole,Mackenzie Hughes,Moderate,Positioning,-3.4855000000000005,2.669,2.669,-3.4855000000000005,6.1545000000000005,Mackenzie Hughes,Push,
Austin Eckroat,Beau Hossler,Moderate,Positioning,-0.11000000000000004,3.0765,3.0765,-0.11000000000000004,3.1864999999999997,Beau Hossler,Beau Hossler,True
John Parry,Matt Wallace,Moderate,Positioning,6.6515,3.0765,6.6515,3.0765,3.5750000000000006,John Parry,Matt Wallace,False
Haotong Li,Keith Mitchell,Moderate,Positioning,-2.159,-2.427,-2.159,-2.427,0.26800000000000024,Haotong Li,Keith Mitchell,False
Steven Fisk,Takumi Kanaya,Moderate,Positioning,1.309,-3.4855000000000005,1.309,-3.4855000000000005,4.7945,Steven Fisk,Takumi Kanaya,False
Kevin Roy,Max Homa,Moderate,Positioning,1.309,5.789,5.789,1.309,4.4799999999999995,Max Homa,Push,
Adrien Saddier,Jackson Suber,Moderate,Positioning,-0.14249999999999996,-2.427,-0.14249999999999996,-2.427,2.2845,Adrien Saddier,Adrien Saddier,True
Thorbjorn Olesen,Daniel Berger,Moderate,Positioning,-0.11000000000000004,-6.211,-0.11000000000000004,-6.211,6.101,Thorbjorn Olesen,Thorbjorn Olesen,True
Patrick Fishburn,Zach Bauchou,Moderate,Positioning,1.309,0.2104999999999998,1.309,0.2104999999999998,1.0985,Patrick Fishburn,Zach Bauchou,False
Carson Young,Matti Schmid,Moderate,Positioning,-2.427,6.6515,6.6515,-2.427,9.0785,Matti Schmid,Matti Schmid,True
