color,master_num,condition,n,mean_vs_avg,std,baseline_mean,difference,p_value,cohens_d
Orange,33,Moderate,62,0.08258190368983873,2.683072917759053,-0.007846931058288929,0.09042883474812766,0.8103526903073821,0.030745321598161453
Orange,33,Tough,5,1.5781390087599998,1.4302806558479346,0.10673112611775996,1.4714078826422399,0.2883030645704029,0.48061010711100516
Pink,11,Calm,13,-0.5709252892446153,3.0835518888547004,-0.3112153062904065,-0.2597099829542088,0.7629692267547405,-0.08591715023290732
Pink,22,Calm,5,-1.70390032426,1.0770968094521347,-0.3112153062904065,-1.3926850179695935,0.3048751113107718,-0.4644537408820511
Pink,22,Moderate,7,2.065394887128572,4.167385800370627,-0.332522406114041,2.397917293242613,0.028845688720605417,0.8538095736629429
Pink,33,Calm,9,-0.7258909663344443,2.3570737081301005,-0.3112153062904065,-0.4146756600440378,0.6842447870356027,-0.13817573520268048
Purple,11,Calm,184,-0.4894532214436413,2.915738856555897,-0.30746775878212196,-0.18198546266151933,0.41435274141204265,-0.061257308718178326
Purple,11,Moderate,103,-0.31331782150718435,2.851927363382616,0.05805878635371829,-0.37137660786090265,0.20991992789507,-0.12575677355766812
Purple,11,Tough,6,-1.0484759107333335,3.6522870590379735,0.4852812539961653,-1.5337571647294987,0.20719744990917455,-0.5204470930304408
Purple,22,Calm,206,-0.46697313675,2.965032325909066,-0.30746775878212196,-0.15950537796787806,0.45024912220756835,-0.053660392841998514
Purple,22,Moderate,95,-0.13339930949515785,2.8887769455472276,0.05805878635371829,-0.19145809584887613,0.5343600334675845,-0.06480144660756149
Purple,22,Tough,10,0.34280209227,2.374698455064244,0.4852812539961653,-0.14247916172616526,0.879303439409002,-0.04875894762712588
Purple,33,Calm,164,-0.08978762448823162,2.962459773930467,-0.30746775878212196,0.21768013429389033,0.35600568057092963,0.07323188808287272
Purple,33,Moderate,53,-0.47124765317924533,2.689091798511913,0.05805878635371829,-0.5293064395329636,0.19595713011625063,-0.17929705235512844
Red,11,Calm,47,-0.35756199777765957,2.8269871791917307,-0.11444767292820068,-0.24311432484945888,0.5824194382711504,-0.08192175200404181
Red,11,Moderate,14,0.700659886045,2.208671066643154,0.18245251643089863,0.5182073696141013,0.549107989421627,0.16219353441127324
Red,22,Calm,54,0.20420926801037023,3.401902208987737,-0.11444767292820068,0.3186569409385709,0.445320320928892,0.1064168936720592
Red,22,Moderate,24,0.1163606094791667,2.83994429727582,0.18245251643089863,-0.06609190695173194,0.9211106060445762,-0.020651460995847314
Red,33,Calm,30,0.22585483767999992,3.677048613877531,-0.11444767292820068,0.3403025106082006,0.5391174879472478,0.11367960586937043
Red,33,Moderate,12,1.3473180704249998,3.702764212153871,0.18245251643089863,1.1648655539941013,0.2161025134051413,0.36127074180003343
Yellow,11,Calm,469,-0.2964557706832409,3.0139332568776864,-0.28864123955859944,-0.007814531124641477,0.9551463819683443,-0.0026441374518317846
Yellow,11,Moderate,302,0.14129540691827813,2.8611817447763954,0.12448189076382027,0.016813516154457864,0.9227762494779788,0.0056808137735886825
Yellow,11,Tough,20,0.06132212960999992,2.020980005814263,0.3079241677427806,-0.24660203813278067,0.6928161979451826,-0.08948461382760034
Yellow,22,Calm,553,-0.49188064010471433,2.93610905125297,-0.28864123955859944,-0.2032394005461149,0.1129879659318102,-0.06883490756890259
Yellow,22,Moderate,303,-0.06831095921090756,2.8355581363251816,0.12448189076382027,-0.19279284997472784,0.26544950576477605,-0.06515895565879659
Yellow,22,Tough,32,-0.10219790554062502,2.9431154239096426,0.3079241677427806,-0.4101220732834056,0.4132499363708875,-0.1476344824376192
Yellow,33,Calm,377,-0.4552289209195225,2.9477677585442508,-0.28864123955859944,-0.16658768136092306,0.280341631552512,-0.056410910920382015
Yellow,33,Moderate,188,-0.0017037911117552735,2.626675782199022,0.12448189076382027,-0.12618568187557555,0.5628505538512062,-0.042685913168140494
Yellow,33,Tough,10,-0.73762890934,2.144386251163054,0.3079241677427806,-1.0455530770827806,0.23508226049935346,-0.37815362679816344
