color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Orange,Tough,-40,71,18.3,14.1,-3.8,-10.0,1.41
Orange,Tough,-30,49,32.7,26.5,10.5,2.5,1.34
Orange,Tough,-20,71,23.9,16.9,1.8,-7.2,1.54
Orange,Tough,-10,40,27.5,27.5,5.4,3.4,1.09
Pink,Calm,-40,60,40.0,21.7,13.5,-1.1,1.59
Pink,Calm,-30,57,24.6,19.3,-1.9,-3.5,1.09
Pink,Calm,-20,72,22.2,25.0,-4.3,2.2,0.76
Pink,Calm,-10,45,31.1,22.2,4.6,-0.6,1.2
Pink,Moderate,-40,40,40.0,17.5,13.8,-4.9,1.96
Pink,Moderate,-30,31,22.6,25.8,-3.6,3.4,0.75
Pink,Moderate,-20,41,26.8,22.0,0.7,-0.5,1.05
Purple,Calm,-50,72,30.6,25.0,4.1,2.2,1.05
Purple,Calm,-40,345,29.3,22.3,2.8,-0.5,1.13
Purple,Calm,-30,553,28.2,20.6,1.7,-2.2,1.18
Purple,Calm,-20,1258,26.7,23.1,0.2,0.3,0.99
Purple,Calm,-10,1401,26.7,23.0,0.2,0.2,1.0
Purple,Calm,0,1412,28.0,21.4,1.5,-1.4,1.12
Purple,Calm,10,542,24.4,23.2,-2.1,0.5,0.9
Purple,Calm,20,111,36.9,18.9,10.4,-3.9,1.68
Purple,Moderate,-40,156,26.3,22.4,0.1,0.0,1.0
Purple,Moderate,-30,373,27.6,21.2,1.5,-1.2,1.12
Purple,Moderate,-20,626,25.2,21.4,-0.9,-1.0,1.01
Purple,Moderate,-10,669,25.9,24.8,-0.3,2.4,0.89
Purple,Moderate,0,856,27.2,21.5,1.1,-0.9,1.08
Purple,Moderate,10,329,29.2,21.6,3.0,-0.8,1.16
Purple,Moderate,20,95,27.4,18.9,1.2,-3.5,1.24
Purple,Tough,-30,38,18.4,21.1,-3.7,-3.0,0.95
Purple,Tough,-20,98,20.4,28.6,-1.7,4.5,0.78
Purple,Tough,-10,99,27.3,26.3,5.1,2.2,1.13
Purple,Tough,0,96,20.8,25.0,-1.3,0.9,0.91
Red,Calm,-40,111,28.8,27.0,2.3,4.2,0.92
Red,Calm,-30,135,33.3,20.0,6.8,-2.8,1.43
Red,Calm,-20,194,25.8,21.1,-0.7,-1.7,1.05
Red,Calm,-10,311,23.8,22.8,-2.7,0.0,0.9
Red,Calm,0,386,19.7,26.9,-6.8,4.2,0.63
Red,Calm,10,78,28.2,28.2,1.7,5.4,0.86
Red,Moderate,-40,58,31.0,27.6,4.9,5.2,0.96
Red,Moderate,-30,43,23.3,34.9,-2.9,12.5,0.57
Red,Moderate,-20,161,26.7,24.8,0.6,2.4,0.92
Red,Moderate,-10,116,28.4,25.0,2.3,2.6,0.97
Red,Moderate,0,186,26.9,27.4,0.7,5.0,0.84
Red,Moderate,10,46,32.6,15.2,6.5,-7.2,1.84
Yellow,Calm,-50,176,27.3,23.9,0.8,1.1,0.98
Yellow,Calm,-40,887,26.8,20.7,0.3,-2.0,1.11
Yellow,Calm,-30,1511,27.3,24.4,0.8,1.6,0.96
Yellow,Calm,-20,3545,27.2,23.4,0.7,0.6,1.0
Yellow,Calm,-10,3717,26.1,22.9,-0.4,0.2,0.98
Yellow,Calm,0,2901,26.4,22.8,-0.1,-0.0,1.0
Yellow,Calm,10,1369,28.8,20.1,2.3,-2.7,1.23
Yellow,Calm,20,455,23.5,22.6,-3.0,-0.1,0.89
Yellow,Moderate,-50,66,24.2,25.8,-1.9,3.4,0.81
Yellow,Moderate,-40,514,23.5,21.8,-2.6,-0.6,0.93
Yellow,Moderate,-30,898,26.8,20.8,0.7,-1.6,1.1
Yellow,Moderate,-20,2084,25.9,22.8,-0.2,0.4,0.97
Yellow,Moderate,-10,2191,24.2,23.4,-2.0,1.0,0.89
Yellow,Moderate,0,2180,24.0,22.3,-2.2,-0.1,0.92
Yellow,Moderate,10,700,27.7,19.4,1.6,-3.0,1.22
Yellow,Moderate,20,277,26.7,21.3,0.6,-1.1,1.07
Yellow,Tough,-40,42,21.4,31.0,-0.7,6.9,0.75
Yellow,Tough,-30,93,29.0,18.3,6.9,-5.8,1.72
Yellow,Tough,-20,272,22.8,20.6,0.6,-3.5,1.2
Yellow,Tough,-10,251,19.1,24.7,-3.0,0.6,0.84
Yellow,Tough,0,126,23.0,23.8,0.9,-0.2,1.05
Yellow,Tough,20,32,3.1,21.9,-19.0,-2.2,0.16
