player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Renato Paratore,Trevor Fisher Jr,Ross Fisher,MODERATE: Lean C,Ross Fisher,Ross Fisher,False,6.220053393138668,WIN,True
Daniel van Tonder,Justin Harding,Angel Hidalgo,MODERATE: Lean A,Daniel van Tonder,Justin Harding,False,6.168979354918548,LOSS,False
Quim Vidal,Quentin Debove,Robin Williams,MODERATE: Lean B,Quentin Debove,Quim Vidal,False,6.168979354918548,LOSS,False
Veer Ahlawat,Joshua Berry,Adri Arnaus,MODERATE: Lean A,Veer Ahlawat,,True,6.152273837391816,PUSH,
Matteo Manassero,Njoroge Njunge Kibugu,Dan Bradbury,MODERATE: Lean A,Matteo Manassero,Njoroge Njunge Kibugu,False,6.152273837391816,LOSS,False
Marcel Siem,Brandon Stone,Antoine Rozner,MODERATE: Lean B,Brandon Stone,Brandon Stone,False,6.1285935595181895,WIN,True
Haydn Porteous,Joost Luiten,Neil Schietekat,MODERATE: Lean B,Joost Luiten,Joost Luiten,False,6.1285935595181895,WIN,True
Euan Walker,Andrew Johnston,Justin Harding,MODERATE: Lean A,Euan Walker,Justin Harding,False,6.1285935595181895,LOSS,False
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,MODERATE: Lean C,Mac Meissner,Mac Meissner,False,6.067346229780453,WIN,True
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,MODERATE: Lean C,Mac Meissner,Mac Meissner,False,6.067346229780453,WIN,True
Ryan Van Velzen,Andres Gallegos,Sadom Kaewkanjana,MODERATE: Lean A,Ryan Van Velzen,,True,6.061927072034112,PUSH,
Makhetha Mazibuko,Graham van der Merwe,Hugo Townsend,MODERATE: Lean B,Graham van der Merwe,Hugo Townsend,False,6.015713678151821,LOSS,False
Adrian Otaegui,Oliver Bekker,David Ravetto,MODERATE: Lean A,Adrian Otaegui,David Ravetto,False,5.827791147439937,LOSS,False
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,MODERATE: Lean B,Danny Walker,Danny Walker,False,5.808351491070546,WIN,True
Matti Schmid,Max McGreevy,Takumi Kanaya,MODERATE: Lean C,Takumi Kanaya,Matti Schmid,False,5.808351491070546,LOSS,False
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,MODERATE: Lean B,Danny Walker,Danny Walker,False,5.808351491070546,WIN,True
