ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
2.75,30355,11979,3030,15346,0.4383897529734675,0.09981881073958161,0.5616102470265325
3.0,24395,9610,2357,12428,0.4360649786732008,0.09661815945890552,0.5639350213267992
3.25,17085,6761,1694,8630,0.43928269768046263,0.09915130231196956,0.5607173023195374
3.5,12460,4967,1175,6318,0.4401417811253877,0.09430176565008026,0.5598582188746123
3.75,8528,3455,809,4264,0.44759683896877833,0.0948639774859287,0.5524031610312217
4.0,6495,2510,637,3348,0.4284738818709457,0.09807544264819092,0.5715261181290543
4.25,5706,2084,523,3099,0.402083735288443,0.09165790396074308,0.597916264711557
4.5,4963,1834,458,2671,0.40710321864594895,0.0922828934112432,0.5928967813540511
4.75,3750,1475,371,1904,0.4365196803788103,0.09893333333333333,0.5634803196211897
5.0,2408,986,193,1229,0.4451467268623025,0.08014950166112957,0.5548532731376975
5.25,2102,836,185,1081,0.4360980699008868,0.08801141769743102,0.5639019300991132
5.5,1944,723,192,1029,0.4126712328767123,0.09876543209876543,0.5873287671232876
5.75,1810,688,191,931,0.4249536751080914,0.10552486187845304,0.5750463248919085
6.0,1380,568,129,683,0.4540367705835332,0.09347826086956522,0.5459632294164668
6.25,1245,502,123,620,0.4474153297682709,0.09879518072289156,0.5525846702317291
6.5,806,307,70,429,0.4171195652173913,0.08684863523573201,0.5828804347826086
6.75,812,323,72,417,0.43648648648648647,0.08866995073891626,0.5635135135135135
7.0,759,262,71,426,0.3808139534883721,0.09354413702239789,0.6191860465116279
7.25,748,268,78,402,0.4,0.10427807486631016,0.6
7.5,647,215,64,368,0.3687821612349914,0.09891808346213292,0.6312178387650086
7.75,506,202,58,246,0.45089285714285715,0.11462450592885376,0.5491071428571429
8.0,465,178,41,246,0.419811320754717,0.08817204301075268,0.5801886792452831
8.25,391,148,39,204,0.42045454545454547,0.09974424552429667,0.5795454545454546
8.5,329,102,30,197,0.3411371237458194,0.0911854103343465,0.6588628762541806
8.75,344,109,17,218,0.3333333333333333,0.04941860465116279,0.6666666666666666
9.0,311,95,42,174,0.35315985130111527,0.13504823151125403,0.6468401486988847
9.25,251,61,25,165,0.26991150442477874,0.099601593625498,0.7300884955752213
9.5,215,68,19,128,0.3469387755102041,0.08837209302325581,0.6530612244897959
9.75,137,32,10,95,0.25196850393700787,0.072992700729927,0.7480314960629921
10.0,74,28,4,42,0.4,0.05405405405405406,0.6
10.25,61,20,5,36,0.35714285714285715,0.08196721311475409,0.6428571428571429
10.5,37,4,0,33,0.10810810810810811,0.0,0.8918918918918919
10.75,28,7,2,19,0.2692307692307692,0.07142857142857142,0.7307692307692307
11.0,18,1,0,17,0.05555555555555555,0.0,0.9444444444444444
11.25,8,2,0,6,0.25,0.0,0.75
11.5,4,1,0,3,0.25,0.0,0.75
12.0,8,4,0,4,0.5,0.0,0.5
