condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Tough,Open,-10-0,11.0,7,-57.14285714285714,-7.0175438596491215,WEAK,2.105329045788
Calm,Open,-20--10,22.0,107,-10.2803738317757,-7.006369426751591,HIGH,0.16390285646074768
Moderate,Open,-10-0,4.0,50,-14.000000000000002,-7.000000000000001,HIGH,0.996550297662
Moderate,Open,-10-0,26.0,94,-10.638297872340427,-6.9444444444444455,HIGH,0.0856209440695744
Tough,Open,<-20,21.0,8,-50.0,-6.896551724137931,WEAK,1.0542250066
Calm,Open,20+,1.0,8,-50.0,-6.896551724137931,WEAK,2.40067208655
Calm,Open,10-20,22.0,24,-20.833333333333336,-6.756756756756758,EXPLORATORY,1.4093325840166668
Moderate,Open,<-20,6.0,99,-10.101010101010102,-6.711409395973155,HIGH,0.41272023222929294
Tough,Open,-10-0,16.0,10,40.0,6.666666666666666,WEAK,-1.6536767600200002
Calm,Open,20+,9.0,10,-40.0,-6.666666666666666,WEAK,2.0025241720599998
Calm,Open,20+,20.0,10,-40.0,-6.666666666666666,WEAK,3.2606516816599997
Moderate,Open,10-20,28.0,25,-20.0,-6.666666666666666,EXPLORATORY,0.6945529065423999
Tough,Open,-20--10,8.0,10,40.0,6.666666666666666,WEAK,-1.868656255578
Tough,Open,<-20,4.0,11,-36.36363636363636,-6.557377049180327,WEAK,0.6940400421818183
Calm,Open,-20--10,14.0,74,-10.810810810810809,-6.451612903225805,HIGH,0.5891710430135136
Moderate,Open,-20--10,1.0,43,-13.95348837209302,-6.451612903225804,HIGH,0.5209026297627907
Moderate,Open,0-10,29.0,44,-13.636363636363635,-6.382978723404255,HIGH,0.5760232559872726
Moderate,Open,<-20,26.0,156,-8.333333333333332,-6.310679611650484,HIGH,0.6416265660916668
Calm,Open,-10-0,30.0,61,-11.475409836065573,-6.306306306306307,HIGH,0.6310173488655737
Moderate,Open,<-20,10.0,109,-9.174311926605505,-6.289308176100628,HIGH,0.5581770850560549
Calm,Open,0-10,23.0,141,-8.510638297872342,-6.282722513089006,HIGH,0.3688985902666667
Moderate,Open,0-10,2.0,46,13.043478260869565,6.25,HIGH,-0.6003330208039132
Calm,Open,20+,15.0,14,-28.57142857142857,-6.25,WEAK,0.09103817671428585
Moderate,Open,-20--10,21.0,63,-11.11111111111111,-6.1946902654867255,HIGH,0.15739493126126974
Moderate,Open,10-20,23.0,31,-16.129032258064516,-6.172839506172839,HIGH,0.1408557826703226
Calm,Open,0-10,26.0,81,-9.876543209876543,-6.106870229007634,HIGH,0.06207416020765424
Calm,Open,-10-0,6.0,131,-8.396946564885493,-6.077348066298341,HIGH,0.45387544438854965
Calm,Open,<-20,17.0,231,-7.35930735930736,-6.04982206405694,HIGH,0.6182568645294373
Calm,Open,<-20,6.0,198,-7.575757575757574,-6.048387096774192,HIGH,0.34505772821565656
Moderate,Open,-20--10,26.0,84,9.523809523809526,5.9701492537313445,HIGH,-0.17500341523571428
Moderate,Open,10-20,12.0,17,-23.52941176470588,-5.970149253731343,EXPLORATORY,1.835893390017647
Calm,Open,-10-0,16.0,170,-7.6470588235294095,-5.909090909090907,HIGH,0.5332688249494119
Moderate,Open,-20--10,6.0,69,-10.144927536231885,-5.882352941176472,HIGH,0.7017419184579711
Moderate,Open,-20--10,27.0,86,-9.30232558139535,-5.882352941176471,HIGH,0.6142994576430231
Moderate,Open,10-20,22.0,18,-22.22222222222222,-5.88235294117647,EXPLORATORY,1.1065923934111113
