condition,round_type,color,element,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence,adjusted_roi
Tough,Closing,Red,Metal,3,0,3,0.0,100.0,-100.0,5.631419328274667,WEAK,-5.7
Tough,Survival,Red,Water,6,0,6,0.0,100.0,-100.0,2.5577802757616666,WEAK,-10.7
Moderate,Open,Brown,Wood,2,2,0,100.0,0.0,100.0,-7.6016261563,WEAK,3.8
Tough,Positioning,Pink,Earth,2,0,2,0.0,100.0,-100.0,2.94271589337,WEAK,-3.8
Moderate,Survival,Brown,Wood,4,4,0,100.0,0.0,100.0,-2.8548913886,WEAK,7.4
Moderate,Survival,Brown,Water,4,0,4,0.0,100.0,-100.0,5.55446682315,WEAK,-7.4
Moderate,Closing,Brown,Wood,2,2,0,100.0,0.0,100.0,-2.3548913886,WEAK,3.8
Moderate,Positioning,Brown,Wood,2,2,0,100.0,0.0,100.0,-2.3548913886,WEAK,3.8
Moderate,Positioning,Pink,Wood,5,4,0,80.0,0.0,80.0,-2.1575161454,WEAK,7.3
Tough,Closing,Blue,Water,13,0,9,0.0,69.23076923076923,-69.23076923076923,3.643130346502309,WEAK,-14.3
Tough,Survival,Pink,Wood,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.484257118466666,WEAK,-3.8
Moderate,Open,Pink,Fire,9,0,6,0.0,66.66666666666666,-66.66666666666666,3.1665637939666667,WEAK,-10.2
Tough,Closing,Orange,Metal,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.0364664147539995,WEAK,-3.8
Tough,Closing,Purple,Metal,17,0,11,0.0,64.70588235294117,-64.70588235294117,1.8374357914317647,EXPLORATORY,-16.4
Tough,Open,Purple,Metal,19,0,12,0.0,63.1578947368421,-63.1578947368421,2.4783465660073687,EXPLORATORY,-17.4
Moderate,Survival,Brown,Earth,5,4,1,80.0,20.0,60.00000000000001,-0.6794665452200002,WEAK,5.5
Tough,Closing,Purple,Water,10,0,6,0.0,60.0,-60.0,2.339696009157,WEAK,-10.0
Calm,Positioning,Brown,Earth,7,4,0,57.14285714285714,0.0,57.14285714285714,-2.268298487942857,WEAK,7.0
Tough,Closing,Green,Metal,13,0,7,0.0,53.84615384615385,-53.84615384615385,2.336618043932308,WEAK,-11.1
Tough,Closing,Green,Earth,21,0,11,0.0,52.38095238095239,-52.38095238095239,2.076893189406667,EXPLORATORY,-15.5
Tough,Positioning,Red,Metal,8,4,0,50.0,0.0,50.0,-1.0180113314619998,WEAK,6.9
Tough,Positioning,Pink,Water,4,2,0,50.0,0.0,50.0,-2.246106219615,WEAK,3.7
Tough,Open,Red,Water,2,0,1,0.0,50.0,-50.0,0.5356603560569999,WEAK,-1.9
Calm,Positioning,Brown,Water,2,1,0,50.0,0.0,50.0,-0.9652453953,WEAK,1.9
Tough,Survival,Red,Fire,8,1,5,12.5,62.5,-50.0,1.83548435895375,WEAK,-6.9
Tough,Closing,Purple,Fire,16,2,10,12.5,62.5,-50.0,1.0690316309962502,EXPLORATORY,-12.1
Moderate,Positioning,Pink,Metal,4,2,0,50.0,0.0,50.0,-1.4952139992500002,WEAK,3.7
Calm,Survival,Pink,Metal,2,0,1,0.0,50.0,-50.0,2.2433272347,WEAK,-1.9
Moderate,Open,Brown,Earth,2,1,0,50.0,0.0,50.0,-1.3602991629,WEAK,1.9
Tough,Survival,Blue,Metal,22,1,12,4.545454545454546,54.54545454545454,-49.99999999999999,2.304485218403636,EXPLORATORY,-15.3
Tough,Survival,Orange,Fire,23,0,11,0.0,47.82608695652174,-47.82608695652174,1.5423360965252173,EXPLORATORY,-15.1
