condition,round_type,color,element,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence,adjusted_roi
Moderate,Survival,Purple,Wood,162,46,35,28.39506172839506,21.604938271604937,6.790123456790123,-0.2867369163636781,HIGH,5.2
Tough,Open,Yellow,Fire,59,13,17,22.033898305084744,28.8135593220339,-6.779661016949154,0.4972655202624068,HIGH,-3.7
Moderate,Survival,Red,Fire,59,20,16,33.89830508474576,27.11864406779661,6.779661016949151,0.0783398791518643,HIGH,3.7
Tough,Survival,Yellow,Earth,74,22,17,29.72972972972973,22.97297297297297,6.756756756756757,-0.4317022769608107,HIGH,4.0
Moderate,Survival,Green,Wood,178,55,43,30.89887640449438,24.15730337078652,6.741573033707862,-0.2140193124353699,HIGH,5.3
Calm,Open,Purple,Metal,476,100,132,21.00840336134453,27.73109243697479,-6.722689075630253,0.2907337210345798,HIGH,-6.1
Moderate,Survival,Red,Earth,45,8,11,17.77777777777778,24.444444444444443,-6.666666666666665,0.5468926703013334,HIGH,-3.2
Calm,Positioning,Orange,Metal,317,65,86,20.50473186119874,27.12933753943217,-6.624605678233436,0.3962498495467192,HIGH,-5.7
Calm,Positioning,Yellow,Earth,789,162,214,20.53231939163498,27.122940430925222,-6.590621039290243,0.1999472290131812,HIGH,-6.2
Moderate,Positioning,Blue,Metal,214,57,71,26.635514018691588,33.177570093457945,-6.542056074766355,0.5082543694539252,HIGH,-5.3
Calm,Survival,Green,Fire,450,101,130,22.444444444444443,28.88888888888889,-6.444444444444441,0.0868243104871111,HIGH,-5.8
Calm,Closing,Purple,Fire,266,81,64,30.45112781954888,24.06015037593985,6.3909774436090245,-0.2905832417724435,HIGH,5.4
Calm,Closing,Green,Water,220,43,57,19.545454545454547,25.90909090909091,-6.363636363636363,0.3389026840428636,HIGH,-5.2
Calm,Closing,Blue,Wood,287,62,80,21.602787456445995,27.874564459930312,-6.271777003484319,0.3390709841309408,HIGH,-5.3
Tough,Positioning,Green,Fire,48,14,11,29.166666666666668,22.916666666666664,6.250000000000003,-0.0647878347380416,HIGH,3.1
Tough,Open,Purple,Earth,16,1,2,6.25,12.5,-6.25,0.290971846230625,EXPLORATORY,-1.5
Calm,Open,Pink,Wood,32,10,8,31.25,25.0,6.25,0.0920897032749999,HIGH,2.4
Tough,Positioning,Yellow,Water,83,17,22,20.48192771084337,26.506024096385545,-6.024096385542172,-0.2910638162807711,HIGH,-3.8
Moderate,Survival,Blue,Fire,550,141,174,25.63636363636364,31.63636363636364,-6.0,0.3402090124502705,HIGH,-5.5
Moderate,Closing,Blue,Earth,269,89,73,33.08550185873606,27.137546468401485,5.947955390334575,0.0662064886881041,HIGH,5.0
Calm,Open,Yellow,Fire,1665,368,466,22.1021021021021,27.98798798798799,-5.885885885885886,0.3417238465928528,HIGH,-5.7
Moderate,Closing,Red,Wood,17,5,4,29.411764705882355,23.52941176470588,5.882352941176472,-0.4901549284776471,EXPLORATORY,1.5
Calm,Survival,Green,Wood,294,70,87,23.809523809523807,29.59183673469388,-5.782312925170069,0.037048781207347,HIGH,-4.9
Moderate,Survival,Blue,Wood,312,72,90,23.07692307692308,28.846153846153843,-5.769230769230766,0.2765416378645864,HIGH,-5.0
Calm,Survival,Red,Water,87,25,20,28.735632183908045,22.988505747126435,5.747126436781608,0.1695571040643678,HIGH,3.6
Moderate,Open,Red,Metal,53,15,12,28.30188679245283,22.641509433962263,5.660377358490565,0.3606085840626414,HIGH,2.9
Tough,Positioning,Green,Metal,18,5,4,27.77777777777778,22.22222222222222,5.555555555555558,-0.7540531938830557,EXPLORATORY,1.5
Tough,Open,Green,Earth,18,3,2,16.666666666666664,11.11111111111111,5.555555555555555,-0.712957667865,EXPLORATORY,1.5
Tough,Survival,Orange,Water,18,0,1,0.0,5.555555555555555,-5.555555555555555,0.5734283819933332,EXPLORATORY,-1.5
Calm,Survival,Purple,Metal,397,86,108,21.662468513853906,27.20403022670025,-5.541561712846349,0.2373186966866498,HIGH,-4.9
Moderate,Open,Yellow,Metal,690,154,192,22.318840579710145,27.82608695652174,-5.507246376811595,0.4823799314211674,HIGH,-5.1
Calm,Survival,Orange,Wood,315,60,77,19.047619047619047,24.444444444444443,-5.396825396825397,0.3406810574501587,HIGH,-4.7
Moderate,Open,Orange,Metal,371,84,104,22.641509433962263,28.03234501347709,-5.390835579514825,0.3895676692095957,HIGH,-4.8
Calm,Open,Blue,Wood,542,124,153,22.878228782287824,28.22878228782288,-5.350553505535055,0.3326355669954244,HIGH,-4.9
Calm,Positioning,Green,Earth,262,48,62,18.3206106870229,23.66412213740458,-5.34351145038168,0.1627928251988549,HIGH,-4.5
Moderate,Closing,Blue,Fire,284,87,72,30.633802816901408,25.352112676056336,5.281690140845069,0.0175290813683605,HIGH,4.5
Moderate,Closing,Blue,Water,209,62,51,29.66507177033493,24.401913875598087,5.263157894736842,-0.1707230166303827,HIGH,4.2
Tough,Open,Purple,Wood,19,6,5,31.57894736842105,26.31578947368421,5.263157894736842,0.1037922060226314,EXPLORATORY,1.4
Moderate,Positioning,Green,Metal,134,37,44,27.611940298507463,32.83582089552239,-5.223880597014924,0.3634585104055224,HIGH,-3.8
Calm,Positioning,Blue,Water,422,92,114,21.80094786729858,27.014218009478675,-5.213270142180096,0.0805133295061611,HIGH,-4.7
Calm,Positioning,Yellow,Metal,619,170,138,27.46365105008077,22.294022617124394,5.169628432956378,-0.102201648825945,HIGH,4.8
Calm,Positioning,Red,Water,78,21,25,26.923076923076923,32.05128205128205,-5.128205128205132,0.1306842784576923,HIGH,-3.1
Calm,Closing,Red,Water,59,13,10,22.033898305084744,16.94915254237288,5.084745762711865,-0.4353353479118644,HIGH,2.8
Calm,Positioning,Green,Metal,257,70,57,27.237354085603112,22.17898832684825,5.058365758754863,0.1227956839115175,HIGH,4.2
Calm,Positioning,Orange,Fire,376,87,106,23.138297872340424,28.191489361702125,-5.053191489361702,0.3067680008253458,HIGH,-4.5
Calm,Survival,Blue,Water,506,119,144,23.517786561264824,28.458498023715418,-4.940711462450595,0.3698867451834782,HIGH,-4.5
Calm,Positioning,Yellow,Water,842,173,214,20.54631828978622,25.415676959619955,-4.869358669833732,0.1117950343206768,HIGH,-4.6
Calm,Open,Pink,Fire,21,5,6,23.809523809523807,28.57142857142857,-4.761904761904762,0.6422771977142859,EXPLORATORY,-1.4
Calm,Survival,Green,Water,403,80,99,19.851116625310176,24.56575682382134,-4.714640198511163,-0.0114136835078412,HIGH,-4.2
Moderate,Positioning,Yellow,Metal,297,85,71,28.619528619528616,23.905723905723907,4.713804713804712,-0.1237927187109764,HIGH,4.0
Calm,Open,Yellow,Metal,1087,241,292,22.171113155473783,26.86292548298068,-4.6918123275069,0.2816772777147838,HIGH,-4.5
Calm,Positioning,Purple,Metal,279,72,85,25.806451612903224,30.46594982078853,-4.659498207885305,0.1328170949354122,HIGH,-4.0
Moderate,Positioning,Blue,Earth,172,40,48,23.25581395348837,27.906976744186046,-4.651162790697675,0.174416656013372,HIGH,-3.6
Calm,Survival,Purple,Earth,390,82,100,21.025641025641026,25.64102564102564,-4.615384615384613,0.0406813838679487,HIGH,-4.1
Tough,Open,Green,Metal,22,3,4,13.636363636363637,18.181818181818183,-4.545454545454547,-0.2264884949194545,EXPLORATORY,-1.4
Calm,Positioning,Purple,Earth,352,76,92,21.59090909090909,26.13636363636364,-4.545454545454544,0.2201423006375,HIGH,-4.0
Calm,Closing,Blue,Earth,428,99,118,23.13084112149533,27.570093457943923,-4.439252336448596,0.2189693931191121,HIGH,-4.0
