player_id,player_name,resid_n,resid_mean,resid_sd,adj_sd,reliability
PLY_0431,K.H. Lee,275,0.22553232551127272,3.2478707323579408,3.289107393426593,STRONG
PLY_0555,Hayden Buckley,274,1.6324404304116786,3.552397518303507,3.563717840828415,STRONG
PLY_0016,Matt Fitzpatrick,271,0.06557163358671586,2.9757057136495777,3.044616451813,STRONG
PLY_0021,Jordan Spieth,269,0.0036882361695166743,2.941849469293898,3.014618096443933,STRONG
PLY_0318,Kevin Streelman,269,0.01849322929405209,2.8105174853302013,2.896463234617062,STRONG
PLY_0212,Brice Garnett,268,1.2395833205126865,2.9912322533563485,3.0592736493160353,STRONG
PLY_0241,Russell Henley,268,-0.049539805134328305,3.006529559621555,3.073030958306221,STRONG
PLY_0154,Matti Schmid,266,2.010649629581955,3.8197982777601664,3.8043231266246,STRONG
PLY_0355,Brendon Todd,265,0.07414123123547176,3.288762842656744,3.3272388369515746,STRONG
PLY_0151,Nico Echavarria,263,0.4044899362547529,3.5160683553175947,3.5315333824068422,STRONG
PLY_0029,Collin Morikawa,263,0.1019462342479087,3.2574928877286142,3.2994332186665623,STRONG
PLY_0383,Justin Thomas,263,0.12360660376159696,3.675171531078519,3.6743461306154535,STRONG
PLY_0522,Carson Young,262,1.7562069782244276,3.432503825304058,3.4566072117340427,STRONG
PLY_0037,Max McGreevy,262,1.709335001589313,3.641580726395561,3.644203609288747,STRONG
PLY_0155,Erik van Rooyen,261,1.6463075352819923,3.8255122888983424,3.8091821683819407,STRONG
PLY_0225,Patrick Cantlay,259,0.08060809429343636,3.2165322832315475,3.263305069043765,STRONG
PLY_0403,Joseph Bramlett,258,2.2488209629573643,3.225530032101529,3.2715279579127494,STRONG
PLY_0425,Matt NeSmith,256,2.0902972102275,3.4607516994101504,3.482397687572293,STRONG
PLY_0405,Lanto Griffin,256,1.758268633421875,3.335064420762627,3.3698943892024817,STRONG
PLY_0226,Alex Noren,256,0.752601718671875,3.063340748276505,3.1266731998442747,STRONG
