ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
-19.0,278,154,18,106,0.5923076923076923,0.0647482014388489,0.4076923076923077
-18.75,304,168,29,107,0.610909090909091,0.0953947368421052,0.3890909090909091
-18.5,230,124,21,85,0.5933014354066986,0.0913043478260869,0.4066985645933014
-18.25,231,152,19,60,0.7169811320754716,0.0822510822510822,0.2830188679245283
-18.0,278,163,23,92,0.6392156862745098,0.0827338129496402,0.3607843137254902
-17.75,280,149,25,106,0.5843137254901961,0.0892857142857142,0.4156862745098039
-17.5,321,172,31,118,0.593103448275862,0.0965732087227414,0.4068965517241379
-17.25,289,161,26,102,0.6121673003802282,0.0899653979238754,0.3878326996197718
-17.0,283,156,27,100,0.609375,0.0954063604240282,0.390625
-16.75,291,158,28,105,0.6007604562737643,0.0962199312714776,0.3992395437262357
-16.5,266,148,22,96,0.6065573770491803,0.0827067669172932,0.3934426229508196
-16.25,269,154,24,91,0.6285714285714286,0.0892193308550185,0.3714285714285714
-16.0,250,117,20,113,0.508695652173913,0.08,0.4913043478260869
-15.75,273,125,19,129,0.4921259842519685,0.0695970695970696,0.5078740157480315
-15.5,267,131,28,108,0.5481171548117155,0.1048689138576779,0.4518828451882845
-15.25,288,122,27,139,0.4674329501915709,0.09375,0.5325670498084292
-15.0,333,166,23,144,0.535483870967742,0.069069069069069,0.4645161290322581
-14.75,306,148,33,125,0.5421245421245421,0.1078431372549019,0.4578754578754578
-14.5,264,128,23,113,0.5311203319502075,0.0871212121212121,0.4688796680497925
-14.25,360,153,34,173,0.4693251533742331,0.0944444444444444,0.5306748466257669
-14.0,493,238,34,221,0.5185185185185185,0.0689655172413793,0.4814814814814814
-13.75,391,182,46,163,0.527536231884058,0.1176470588235294,0.472463768115942
-13.5,432,196,39,197,0.4987277353689567,0.0902777777777777,0.5012722646310432
-13.25,490,251,50,189,0.5704545454545454,0.1020408163265306,0.4295454545454545
-13.0,512,265,59,188,0.5849889624724062,0.115234375,0.4150110375275938
-12.75,511,285,38,188,0.6025369978858351,0.0743639921722113,0.3974630021141649
-12.5,407,219,27,161,0.5763157894736842,0.0663390663390663,0.4236842105263158
-12.25,490,264,50,176,0.6,0.1020408163265306,0.4
-12.0,424,205,47,172,0.5437665782493368,0.1108490566037735,0.4562334217506631
-11.75,407,192,37,178,0.518918918918919,0.0909090909090909,0.4810810810810811
-11.5,525,266,46,213,0.5553235908141962,0.0876190476190476,0.4446764091858037
-11.25,564,274,49,241,0.5320388349514563,0.0868794326241134,0.4679611650485437
-11.0,434,190,35,209,0.4761904761904761,0.0806451612903225,0.5238095238095238
-10.75,476,208,44,224,0.4814814814814814,0.0924369747899159,0.5185185185185185
-10.5,573,242,60,271,0.4717348927875243,0.1047120418848167,0.5282651072124757
-10.25,640,296,64,280,0.5138888888888888,0.1,0.4861111111111111
-10.0,715,357,66,292,0.5500770416024653,0.0923076923076923,0.4499229583975346
-9.75,702,349,63,290,0.5461658841940532,0.0897435897435897,0.4538341158059468
-9.5,499,245,43,211,0.5372807017543859,0.0861723446893787,0.462719298245614
-9.25,492,228,56,208,0.5229357798165137,0.1138211382113821,0.4770642201834862
-9.0,525,252,46,227,0.5260960334029228,0.0876190476190476,0.4739039665970772
-8.75,620,283,59,278,0.5044563279857398,0.0951612903225806,0.4955436720142602
-8.5,615,260,61,294,0.4693140794223827,0.0991869918699187,0.5306859205776173
-8.25,873,384,77,412,0.4824120603015075,0.0882016036655212,0.5175879396984925
-8.0,907,373,87,447,0.4548780487804878,0.0959206174200661,0.5451219512195122
-7.75,981,403,82,496,0.4482758620689655,0.0835881753312946,0.5517241379310345
-7.5,1265,573,140,552,0.5093333333333333,0.1106719367588932,0.4906666666666666
-7.25,1394,635,125,634,0.5003940110323088,0.0896700143472023,0.4996059889676911
-7.0,1503,662,135,706,0.4839181286549707,0.0898203592814371,0.5160818713450293
-6.75,2149,985,191,973,0.5030643513789581,0.0888785481619357,0.4969356486210419
-6.5,2979,1376,263,1340,0.5066273932253313,0.0882846592816381,0.4933726067746686
-6.25,3029,1340,299,1390,0.4908424908424908,0.0987124463519313,0.5091575091575091
-6.0,3083,1301,241,1541,0.4577762139338494,0.0781706130392474,0.5422237860661506
-5.75,4501,2008,406,2087,0.4903540903540903,0.0902021772939346,0.5096459096459096
-5.5,5618,2330,500,2788,0.4552559593591246,0.0889996440014239,0.5447440406408753
-5.25,7277,3194,665,3418,0.4830611010284331,0.0913838120104438,0.5169388989715669
-5.0,8992,3853,812,4327,0.4710268948655257,0.0903024911032028,0.5289731051344744
-4.75,11196,4851,1043,5302,0.4777898158179848,0.0931582708110039,0.5222101841820151
-4.5,13750,6005,1220,6525,0.4792498004788507,0.0887272727272727,0.5207501995211492
-4.25,15465,6632,1456,7377,0.473409950745949,0.0941480763013255,0.526590049254051
-4.0,19703,8462,1845,9396,0.4738492552357486,0.093640562350911,0.5261507447642513
-3.75,24347,10548,2301,11498,0.4784541413408328,0.0945085636834106,0.5215458586591672
-3.5,30077,13045,2840,14192,0.4789440834159415,0.0944243109352661,0.5210559165840585
-3.25,35788,15984,3471,16333,0.4946003651329022,0.0969878171454118,0.5053996348670978
-3.0,40802,18056,3906,18840,0.4893755420641804,0.0957306014411058,0.5106244579358196
-2.75,44118,19114,4115,20889,0.4778141639377046,0.0932725871526361,0.5221858360622953
-2.5,54077,23071,5068,25938,0.4707502703585056,0.093718216617046,0.5292497296414944
-2.25,66303,28000,6261,32042,0.466340228506712,0.094430116284331,0.533659771493288
-2.0,83106,35000,7825,40281,0.4649247486085466,0.0941568599138449,0.5350752513914534
