ev_bucket,total_matchups,p_a_win,p_tie,p_a_loss,fair_decimal,fair_american
6.0,3299,0.4680067001675042,0.0951803576841467,0.5319932998324958,2.137,114.0
6.25,2916,0.4782772950510011,0.0922496570644718,0.5217227049489989,2.091,109.0
6.5,2130,0.4643962848297213,0.0901408450704225,0.5356037151702786,2.153,115.0
6.75,2225,0.475074775672981,0.0984269662921348,0.5249252243270189,2.105,110.0
7.0,2095,0.4582010582010582,0.0978520286396181,0.5417989417989418,2.182,118.0
7.25,1683,0.440499671268902,0.0962566844919786,0.559500328731098,2.27,127.0
7.5,1504,0.4289876183539694,0.0871010638297872,0.5710123816460306,2.331,133.0
7.75,1350,0.475020475020475,0.0955555555555555,0.5249795249795249,2.105,111.0
8.0,1276,0.4443485763589301,0.091692789968652,0.5556514236410699,2.25,125.0
8.25,1069,0.4537987679671458,0.088868101028999,0.5462012320328542,2.204,120.0
8.5,932,0.4744351961950059,0.0976394849785407,0.525564803804994,2.108,111.0
8.75,1027,0.4413938753959873,0.0778967867575462,0.5586061246040127,2.266,127.0
9.0,987,0.4534501642935378,0.0749746707193515,0.5465498357064622,2.205,121.0
9.25,862,0.4546632124352331,0.1044083526682134,0.5453367875647669,2.199,120.0
9.5,878,0.4556650246305418,0.0751708428246013,0.5443349753694581,2.195,119.0
9.75,761,0.4891146589259796,0.0946123521681997,0.5108853410740203,2.045,104.0
10.0,836,0.4471968709256845,0.0825358851674641,0.5528031290743155,2.236,124.0
10.25,806,0.4931318681318681,0.0967741935483871,0.5068681318681318,2.028,103.0
10.5,771,0.4401709401709401,0.0894941634241245,0.5598290598290598,2.272,127.0
10.75,746,0.4645441389290883,0.0737265415549597,0.5354558610709117,2.153,115.0
11.0,770,0.4639769452449567,0.0987012987012987,0.5360230547550432,2.155,116.0
11.25,708,0.4347826086956521,0.0903954802259887,0.5652173913043478,2.3,130.0
11.5,645,0.4514480408858603,0.089922480620155,0.5485519591141397,2.215,122.0
11.75,666,0.4750830564784053,0.0960960960960961,0.5249169435215947,2.105,110.0
12.0,663,0.4486754966887417,0.0889894419306184,0.5513245033112583,2.229,123.0
12.25,647,0.4502529510961214,0.0834621329211746,0.5497470489038786,2.221,122.0
12.5,679,0.4311774461028192,0.1119293078055964,0.5688225538971807,2.319,132.0
12.75,743,0.4321533923303834,0.0874831763122476,0.5678466076696165,2.314,131.0
13.0,701,0.419047619047619,0.101283880171184,0.580952380952381,2.386,139.0
13.25,656,0.4249146757679181,0.1067073170731707,0.5750853242320819,2.353,135.0
13.5,614,0.4550359712230216,0.0944625407166123,0.5449640287769785,2.198,120.0
13.75,588,0.440453686200378,0.1003401360544217,0.5595463137996219,2.27,127.0
14.0,451,0.4658536585365854,0.0909090909090909,0.5341463414634147,2.147,115.0
14.25,456,0.4571428571428571,0.0789473684210526,0.5428571428571428,2.188,119.0
14.5,424,0.4379746835443038,0.0683962264150943,0.5620253164556962,2.283,128.0
14.75,415,0.4804177545691906,0.0771084337349397,0.5195822454308094,2.082,108.0
15.0,379,0.5100864553314121,0.0844327176781002,0.4899135446685879,1.96,-104.0
15.25,379,0.4364161849710982,0.0870712401055409,0.5635838150289018,2.291,129.0
15.5,315,0.4843205574912892,0.0888888888888888,0.5156794425087108,2.065,106.0
15.75,308,0.5017667844522968,0.0811688311688311,0.4982332155477031,1.993,-101.0
16.0,258,0.3526970954356846,0.065891472868217,0.6473029045643154,2.835,184.0
16.25,251,0.4151785714285714,0.1075697211155378,0.5848214285714286,2.409,141.0
16.5,367,0.4464831804281345,0.108991825613079,0.5535168195718655,2.24,124.0
16.75,355,0.4130434782608695,0.0929577464788732,0.5869565217391305,2.421,142.0
17.0,368,0.4084084084084084,0.0951086956521739,0.5915915915915916,2.449,145.0
17.25,322,0.3873239436619718,0.1180124223602484,0.6126760563380281,2.582,158.0
17.5,239,0.4401913875598086,0.1255230125523012,0.5598086124401914,2.272,127.0
17.75,267,0.326271186440678,0.1161048689138576,0.673728813559322,3.065,206.0
18.0,254,0.445414847161572,0.0984251968503937,0.5545851528384279,2.245,125.0
18.25,163,0.4966442953020134,0.0858895705521472,0.5033557046979866,2.014,101.0
18.5,192,0.3390804597701149,0.09375,0.6609195402298851,2.949,195.0
18.75,166,0.3741496598639456,0.1144578313253012,0.6258503401360545,2.673,167.0
19.0,190,0.4573170731707317,0.1368421052631579,0.5426829268292683,2.187,119.0
19.25,139,0.3888888888888889,0.0935251798561151,0.6111111111111112,2.571,157.0
19.5,208,0.3770491803278688,0.1201923076923077,0.6229508196721312,2.652,165.0
19.75,173,0.4487179487179487,0.0982658959537572,0.5512820512820513,2.229,123.0
20.0,113,0.3883495145631068,0.0884955752212389,0.6116504854368932,2.575,158.0
20.25,134,0.4214876033057851,0.0970149253731343,0.5785123966942148,2.373,137.0
20.5,144,0.3181818181818182,0.0833333333333333,0.6818181818181818,3.143,214.0
20.75,124,0.3539823008849557,0.0887096774193548,0.6460176991150443,2.825,183.0
21.0,109,0.3592233009708738,0.055045871559633,0.6407766990291263,2.784,178.0
