player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Jhonattan Vegas,Nick Taylor,Purple,Blue,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.5405,0.5597,0.5501,0.58135,0.5501,Jhonattan Vegas,Nick Taylor,False
Max McGreevy,Matti Schmid,Orange,Purple,Moderate,Open,0.5984,0.5743,0.58635,0.5832999999999999,0.5794,0.58135,0.58635,0.58135,Max McGreevy,Max McGreevy,True
Marco Penge,Daniel Berger,Purple,Blue,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.5405,0.5597,0.5501,0.58135,0.5501,Marco Penge,Daniel Berger,False
Aldrich Potgieter,Kurt Kitayama,Purple,Purple,Moderate,Open,0.5832999999999999,0.5794,0.58135,0.5832999999999999,0.5794,0.58135,0.58135,0.58135,TIE,Kurt Kitayama,
Max Greyserman,Billy Horschel,Green,Orange,Moderate,Open,0.4396,0.5354,0.4875,0.5984,0.5743,0.58635,0.58635,0.4875,Billy Horschel,Max Greyserman,False
Denny McCarthy,Stephan Jaeger,Green,Orange,Moderate,Open,0.4396,0.5354,0.4875,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.4875,Stephan Jaeger,Stephan Jaeger,True
Keith Mitchell,Mackenzie Hughes,Brown,Red,Moderate,Open,1.0,1.0,1.0,0.5428999999999999,0.5385,0.5407,1.0,0.5407,Keith Mitchell,Keith Mitchell,True
Michael Thorbjornsen,Nico Echavarria,Red,Orange,Moderate,Open,0.5428999999999999,0.5385,0.5407,0.5979,0.5743,0.5861000000000001,0.5861000000000001,0.5407,Nico Echavarria,Nico Echavarria,True
Brian Harman,Rickie Fowler,Green,Red,Moderate,Open,0.5718,0.5354,0.5536,0.5428999999999999,0.5385,0.5407,0.5536,0.5407,Brian Harman,Brian Harman,True
Harris English,Lucas Glover,Pink,Red,Moderate,Open,0.625,0.5556,0.5903,0.5428999999999999,0.5385,0.5407,0.5903,0.5407,Harris English,Lucas Glover,False
Andrew Novak,Patrick Cantlay,Orange,Red,Moderate,Open,0.5979,0.5743,0.5861000000000001,0.5428999999999999,0.5385,0.5407,0.5861000000000001,0.5407,Andrew Novak,Patrick Cantlay,False
