condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Tough,Positioning,11.0,Rabbit,9,55.55555555555556,8.474576271186441,WEAK,-1.9540215281333329
Moderate,Positioning,20.0,Dragon,21,28.57142857142857,8.450704225352112,EXPLORATORY,-1.2167246382459336
Calm,Open,21.0,Ox,33,21.21212121212121,8.433734939759036,HIGH,-0.16333172681818192
Calm,Positioning,29.0,Dragon,45,17.77777777777778,8.421052631578947,HIGH,-0.478261349328889
Moderate,Survival,10.0,Ox,46,17.39130434782609,8.333333333333336,HIGH,-1.520217314447826
Moderate,Closing,21.0,Pig,34,20.58823529411765,8.333333333333334,HIGH,-0.21359388643647073
Moderate,Positioning,26.0,Horse,22,27.27272727272727,8.333333333333334,EXPLORATORY,-0.26990208139090915
Moderate,Survival,5.0,Snake,34,20.588235294117645,8.333333333333332,HIGH,-0.7034032982588234
Moderate,Closing,9.0,Dragon,10,50.0,8.333333333333332,WEAK,-1.6070891686000004
Moderate,Closing,27.0,Tiger,34,20.588235294117645,8.333333333333332,HIGH,-0.9163967932647059
Moderate,Positioning,24.0,Monkey,10,50.0,8.333333333333332,WEAK,-2.4099029940000003
Moderate,Survival,8.0,Ox,35,20.0,8.235294117647058,HIGH,-0.4752874113142856
Moderate,Closing,9.0,Monkey,23,26.086956521739136,8.219178082191782,EXPLORATORY,-0.6498618353739133
Moderate,Open,15.0,Tiger,60,14.999999999999996,8.18181818181818,HIGH,-0.20976832713333338
Calm,Open,24.0,Tiger,73,13.698630136986301,8.130081300813009,HIGH,-0.3307178293328769
Moderate,Closing,19.0,Rabbit,24,24.999999999999996,8.108108108108107,EXPLORATORY,-0.398502420166667
Moderate,Survival,1.0,Pig,49,16.3265306122449,8.080808080808081,HIGH,-0.4297907443530612
Tough,Survival,11.0,Ox,12,41.666666666666664,8.064516129032258,WEAK,-1.975705210607
Moderate,Positioning,1.0,Monkey,12,41.66666666666667,8.064516129032258,WEAK,-0.7092511947666668
Calm,Positioning,25.0,Pig,62,14.516129032258066,8.035714285714286,HIGH,-0.31485001635
Calm,Closing,26.0,Tiger,75,13.333333333333334,8.0,HIGH,-0.24763113596666667
Calm,Positioning,22.0,Rat,63,14.285714285714285,7.9646017699115035,HIGH,0.19395567125238097
Calm,Positioning,4.0,Rabbit,63,14.285714285714285,7.9646017699115035,HIGH,0.0354357913380955
Moderate,Survival,25.0,Monkey,38,18.42105263157895,7.954545454545455,HIGH,0.12370743221578974
Moderate,Positioning,1.0,Snake,38,18.421052631578945,7.954545454545453,HIGH,-0.8497700159578949
Moderate,Survival,20.0,Rabbit,51,15.686274509803924,7.9207920792079225,HIGH,-0.19497048552549023
Moderate,Closing,15.0,Dragon,26,23.076923076923077,7.894736842105263,EXPLORATORY,-0.8937391664576924
Moderate,Open,14.0,Goat,64,14.0625,7.894736842105263,HIGH,-0.10660471361250001
Calm,Positioning,23.0,Goat,65,13.846153846153847,7.826086956521739,HIGH,-0.4393676023199999
Calm,Open,5.0,Snake,65,13.846153846153847,7.826086956521739,HIGH,-0.13769606443076932
Moderate,Closing,2.0,Rat,27,22.22222222222222,7.792207792207792,EXPLORATORY,-0.37901461109259255
Moderate,Survival,7.0,Dog,40,17.5,7.777777777777778,HIGH,-0.8242249465999997
Calm,Survival,14.0,Monkey,66,13.636363636363635,7.758620689655172,HIGH,0.1303821164757577
Calm,Positioning,12.0,Horse,67,13.432835820895523,7.6923076923076925,HIGH,-0.28536348064179096
Moderate,Closing,27.0,Pig,15,33.33333333333333,7.692307692307692,EXPLORATORY,-1.1064748909666666
