condition,round_type,color,exec_bucket,upside_bucket,gap_bucket,n,good,bad,good_rate,bad_rate,edge,avg_off_par,consistency,confidence
Calm,Open,Green,75-100,50-75,10-20,67,26,22,38.80597014925373,32.83582089552239,5.970149253731344,-0.43283582089552236,3.080849354539116,HIGH
Calm,Open,Red,25-50,50-75,<-20,52,21,18,40.38461538461539,34.61538461538461,5.769230769230771,-0.19230769230769232,3.2056228879185884,HIGH
Calm,Open,Blue,50-75,50-75,<-20,18,4,3,22.22222222222222,16.666666666666664,5.555555555555555,-0.1111111111111111,2.7629670515778098,EXPLORATORY
Calm,Open,Purple,25-50,50-75,-10-0,44,15,13,34.090909090909086,29.545454545454547,4.545454545454541,-0.25,3.3488977707702228,HIGH
Calm,Open,Orange,50-75,50-75,<-20,31,9,8,29.03225806451613,25.806451612903224,3.2258064516129057,0.2903225806451613,3.1325553827197457,HIGH
Calm,Open,Green,50-75,75-100,-20--10,99,36,33,36.36363636363637,33.33333333333333,3.030303030303033,-0.31313131313131315,3.2752830214099076,HIGH
Calm,Open,Blue,50-75,50-75,10-20,54,20,19,37.03703703703704,35.18518518518518,1.851851851851849,-0.2037037037037037,3.338622637870179,HIGH
Calm,Open,Green,50-75,50-75,-20--10,151,48,46,31.788079470198678,30.4635761589404,1.3245033112582794,-0.026490066225165563,3.446635112429802,HIGH
Calm,Open,Purple,75-100,50-75,0-10,98,32,32,32.6530612244898,32.6530612244898,0.0,0.11224489795918367,3.242382517997366,HIGH
Calm,Open,Orange,25-50,25-50,-20--10,41,12,12,29.268292682926827,29.268292682926827,0.0,-0.0975609756097561,3.71352176544571,HIGH
Calm,Open,Blue,50-75,75-100,-10-0,157,50,51,31.84713375796178,32.48407643312102,-0.6369426751592355,0.044585987261146494,3.3037351609038113,HIGH
Calm,Open,Green,25-50,25-50,-20--10,18,5,6,27.77777777777778,33.33333333333333,-5.555555555555553,0.6666666666666666,3.2899132833198976,EXPLORATORY
Calm,Open,Red,75-100,50-75,0-10,31,8,11,25.806451612903224,35.483870967741936,-9.677419354838712,1.2903225806451613,3.2372163802367484,HIGH
Calm,Open,Purple,25-50,25-50,-10-0,41,14,20,34.146341463414636,48.78048780487805,-14.634146341463412,-0.024390243902439025,4.174253255841389,HIGH
Calm,Open,Orange,75-100,50-75,20+,50,6,20,12.0,40.0,-28.000000000000004,1.4,3.116774889895918,HIGH
Calm,Open,Orange,75-100,50-75,0-10,128,26,62,20.3125,48.4375,-28.125,1.0625,3.108915298091709,HIGH
Moderate,Open,Red,75-100,50-75,0-10,25,19,4,76.0,16.0,60.0,-2.08,4.377213725647858,EXPLORATORY
Moderate,Open,Orange,25-50,50-75,-10-0,90,57,11,63.33333333333333,12.222222222222221,51.11111111111111,-2.6444444444444444,3.724534843473703,HIGH
Moderate,Open,Orange,50-75,75-100,-10-0,38,22,3,57.89473684210527,7.894736842105263,50.0,-1.263157894736842,2.3673934865884454,HIGH
Moderate,Open,Yellow,75-100,50-75,20+,53,26,5,49.056603773584904,9.433962264150944,39.62264150943396,-1.830188679245283,2.880543812550544,HIGH
Moderate,Open,Blue,75-100,50-75,20+,43,19,2,44.18604651162791,4.651162790697675,39.53488372093024,-1.3488372093023255,2.277046133023184,HIGH
Moderate,Open,Purple,75-100,50-75,0-10,116,55,20,47.41379310344828,17.24137931034483,30.17241379310345,-1.2758620689655173,3.2825923130740855,HIGH
Moderate,Open,Red,50-75,75-100,-20--10,27,14,6,51.85185185185185,22.22222222222222,29.629629629629626,-0.9629629629629629,2.8753793258988054,EXPLORATORY
Moderate,Open,Yellow,75-100,50-75,0-10,231,112,45,48.484848484848484,19.480519480519483,29.004329004329005,-1.1082251082251082,3.1720891293843145,HIGH
Moderate,Open,Purple,25-50,75-100,<-20,115,49,16,42.608695652173914,13.91304347826087,28.695652173913043,-1.0782608695652174,3.1765252617235173,HIGH
Moderate,Open,Orange,75-100,50-75,0-10,76,35,15,46.05263157894737,19.736842105263158,26.31578947368421,-1.1973684210526316,2.8285201635819166,HIGH
Moderate,Open,Green,50-75,75-100,-20--10,36,18,9,50.0,25.0,25.0,-0.8611111111111112,2.8800077160390463,HIGH
Moderate,Open,Orange,75-100,50-75,20+,32,13,5,40.625,15.625,25.0,-0.71875,3.2650087684513984,HIGH
Moderate,Open,Purple,50-75,50-75,-10-0,346,152,68,43.93063583815029,19.653179190751445,24.277456647398843,-0.8092485549132948,3.1601735434937597,HIGH
Moderate,Open,Blue,75-100,50-75,0-10,82,37,18,45.1219512195122,21.951219512195124,23.170731707317074,-1.0609756097560976,3.0965833859375462,HIGH
Moderate,Open,Orange,25-50,75-100,<-20,172,76,37,44.18604651162791,21.511627906976745,22.674418604651166,-1.0406976744186047,3.3269369473923587,HIGH
Moderate,Open,Yellow,25-50,75-100,<-20,340,148,72,43.529411764705884,21.176470588235293,22.35294117647059,-0.9088235294117647,3.447958452604985,HIGH
