player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Patrick Cantlay,Chris Gotterup,Tough,Open,SKIP,Chris Gotterup,0.06690340178065957,0.06690340178065957,0.0,SKIP,
Robert MacIntyre,Justin Rose,Tough,Open,SKIP,Justin Rose,-5.167810831426392,-5.167810831426392,0.0,SKIP,
Scottie Scheffler,Xander Schauffele,Tough,Open,SKIP,Xander Schauffele,2.0129504504504516,2.0129504504504516,0.0,SKIP,
Zander Lombard,Daniel Van Tonder,Calm,Open,SKIP,Zander Lombard,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Alex Fitzpatrick,Jacob Olesen,Calm,Open,Jacob Olesen,Push,-13.47647287232165,-13.47647287232165,0.0,PUSH,
Niklas Norgaard,Ewen Ferguson,Calm,Open,SKIP,Niklas Norgaard,-7.076348631915785,-7.076348631915785,0.0,SKIP,
Guido Migliozzi,Freddy Schott,Calm,Open,SKIP,Freddy Schott,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Joakim Lagergren,Jacques Kruyswijk,Calm,Open,SKIP,Joakim Lagergren,-7.076348631915785,-7.076348631915785,0.0,SKIP,
Thriston Lawrence,Casey Jarvis,Calm,Open,SKIP,Casey Jarvis,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Doug Ghim,Garrick Higgo,Calm,Open,SKIP,Garrick Higgo,-7.936829431588663,-7.936829431588663,0.0,SKIP,
Johnny Keefer,Mac Meissner,Calm,Open,SKIP,Johnny Keefer,-7.076348631915785,-7.076348631915785,0.0,SKIP,
Keith Mitchell,Max McGreevy,Calm,Open,Max McGreevy,Push,-8.363221328763021,-8.363221328763021,0.0,PUSH,
Jordan Smith,Rico Hoey,Calm,Open,SKIP,Jordan Smith,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Kevin Yu,Matt Wallace,Calm,Open,SKIP,Kevin Yu,-6.2880345882637325,-6.2880345882637325,0.0,SKIP,
Shane Lowry,Nicolai Hojgaard,Calm,Open,SKIP,Push,1.9508504707498648,1.9508504707498648,0.0,PUSH,
Aaron Rai,Davis Thompson,Calm,Open,SKIP,Aaron Rai,-7.936829431588663,-7.936829431588663,0.0,SKIP,
Nico Echavarria,Chris Kirk,Calm,Open,SKIP,Nico Echavarria,1.9508504707498648,1.9508504707498648,0.0,SKIP,
Ricky Castillo,Stephan Jaeger,Calm,Open,SKIP,Ricky Castillo,-5.01811508652674,-5.01811508652674,0.0,SKIP,
Rasmus Neergaard-Petersen,Alex Smalley,Calm,Open,SKIP,Rasmus Neergaard-Petersen,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Ryan Gerard,Rasmus Hojgaard,Calm,Open,SKIP,Rasmus Hojgaard,-6.2880345882637325,-6.2880345882637325,0.0,SKIP,
Kristoffer Reitan,Michael Brennan,Calm,Open,Michael Brennan,Kristoffer Reitan,-9.789553822772817,-9.789553822772817,0.0,LOSS,False
Sami Valimaki,Max Homa,Calm,Open,SKIP,Max Homa,1.9508504707498648,1.9508504707498648,0.0,SKIP,
Daniel Berger,Michael Thorbjornsen,Calm,Open,SKIP,Daniel Berger,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Thorbjorn Olesen,Will Zalatoris,Calm,Open,Will Zalatoris,nan,-9.789553822772817,-9.789553822772817,0.0,LOSS,False
John Parry,Tom Kim,Calm,Open,SKIP,John Parry,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Seamus Power,Mackenzie Hughes,Calm,Open,Mackenzie Hughes,Seamus Power,-8.363221328763021,-8.363221328763021,0.0,LOSS,False
Christiaan Bezuidenhout,Haotong Li,Calm,Open,SKIP,Push,-6.103294108272843,-6.103294108272843,0.0,PUSH,
Ewen Ferguson,Matthew Jordan,Calm,Open,SKIP,Push,-6.103294108272843,-6.103294108272843,0.0,PUSH,
Justin Walters,Louis Albertse,Calm,Open,SKIP,Louis Albertse,-6.2880345882637325,-6.2880345882637325,0.0,SKIP,
Angel Ayora,Antoine Rozner,Calm,Open,SKIP,Angel Ayora,-7.076348631915785,-7.076348631915785,0.0,SKIP,
Jayden Schaper,Thriston Lawrence,Calm,Open,SKIP,Push,-6.103294108272843,-6.103294108272843,0.0,PUSH,
Casey Jarvis,Dan Bradbury,Calm,Open,SKIP,Casey Jarvis,-5.01811508652674,-5.01811508652674,0.0,SKIP,
Joost Luiten,Jacques Kruyswijk,Calm,Open,SKIP,Joost Luiten,-0.5713454666334234,-0.5713454666334234,0.0,SKIP,
Marcus Armitage,Alejandro Del Rey,Calm,Open,SKIP,Alejandro Del Rey,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Dean Burmester,Hennie du Plessis,Calm,Open,SKIP,Dean Burmester,-5.01811508652674,-5.01811508652674,0.0,SKIP,
Jorge Campillo,Martin Couvra,Calm,Open,SKIP,Jorge Campillo,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Jacob Olesen,Julien Guerrier,Calm,Open,SKIP,Julien Guerrier,1.9508504707498648,1.9508504707498648,0.0,SKIP,
Wenyi Ding,Alex Fitzpatrick,Calm,Open,Alex Fitzpatrick,Alex Fitzpatrick,-8.363221328763021,-8.363221328763021,0.0,WIN,True
Calum Hill,Frederic Lacroix,Calm,Open,SKIP,Frederic Lacroix,-7.936829431588663,-7.936829431588663,0.0,SKIP,
Oliver Lindell,Charl Schwartzel,Calm,Open,SKIP,Oliver Lindell,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Patrick Reed,Branden Grace,Calm,Open,SKIP,Branden Grace,-5.01811508652674,-5.01811508652674,0.0,SKIP,
Francesco Laporta,Nathan Kimsey,Calm,Open,SKIP,Push,-6.2880345882637325,-6.2880345882637325,0.0,PUSH,
JC Ritchie,Brandon Stone,Calm,Open,SKIP,nan,1.9508504707498648,1.9508504707498648,0.0,SKIP,
