condition,round_type,color,upside_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Calm,REMOVE,Green,75-100,35,7,6,20.0,17.142857142857142,2.8571428571428577,1.1764705882352944,HIGH,-0.1973591620742856
Moderate,Open,Orange,75-100,580,155,148,26.72413793103448,25.517241379310345,1.2068965517241352,1.1111111111111085,HIGH,0.12860348801355598
Tough,Open,Green,50-75,61,8,7,13.114754098360656,11.475409836065573,1.639344262295083,0.9009009009009015,HIGH,-0.3061458915476393
Calm,Positioning,Purple,75-100,429,116,112,27.03962703962704,26.107226107226104,0.9324009324009346,0.8350730688935301,HIGH,0.07117306690069934
Calm,Positioning,Yellow,50-75,2303,556,537,24.142422926617453,23.317412071211464,0.8250108554059885,0.8074798130046713,HIGH,-0.11724110899180201
Tough,Open,Blue,75-100,77,19,18,24.675324675324674,23.376623376623375,1.2987012987012996,0.7874015748031502,HIGH,-0.24167697752929868
Calm,Positioning,Green,25-50,80,17,16,21.25,20.0,1.25,0.7692307692307693,HIGH,0.58779834499875
Calm,Closing,Orange,25-50,91,23,22,25.274725274725274,24.175824175824175,1.0989010989010985,0.7092198581560282,HIGH,-0.4097403333263735
Calm,Survival,Red,75-100,106,27,26,25.471698113207548,24.528301886792452,0.9433962264150964,0.6410256410256424,HIGH,-0.04466686051518871
Calm,Positioning,Green,50-75,823,197,193,23.93681652490887,23.450789793438638,0.4860267314702327,0.4581901489118001,HIGH,0.16263777413251518
Calm,REMOVE,Green,50-75,169,40,39,23.668639053254438,23.076923076923077,0.5917159763313613,0.45662100456621035,HIGH,-0.03284816309408291
Moderate,Survival,Green,75-100,307,91,90,29.64169381107492,29.31596091205212,0.32573289902279967,0.2801120448179258,HIGH,0.20262271537944623
Tough,Positioning,Green,25-50,2,0,0,0.0,0.0,0.0,0.0,WEAK,1.2818055816
Tough,Positioning,Green,50-75,94,25,25,26.595744680851062,26.595744680851062,0.0,0.0,HIGH,0.09762657388954256
Calm,REMOVE,Green,25-50,4,0,0,0.0,0.0,0.0,0.0,WEAK,0.17759110100000008
Calm,Survival,Brown,50-75,19,3,3,15.789473684210526,15.789473684210526,0.0,0.0,EXPLORATORY,-0.1997277729157895
Calm,Survival,Pink,75-100,4,2,2,50.0,50.0,0.0,0.0,WEAK,0.10502640995750001
Moderate,Open,Pink,75-100,7,1,1,14.285714285714285,14.285714285714285,0.0,0.0,WEAK,0.6512238571857143
Tough,Open,Green,25-50,4,2,2,50.0,50.0,0.0,0.0,WEAK,0.22238203336750006
Calm,Mixed,Pink,75-100,4,2,2,50.0,50.0,0.0,0.0,WEAK,0.5230753418000003
Calm,Elimination,Purple,75-100,19,1,1,5.263157894736842,5.263157894736842,0.0,0.0,EXPLORATORY,0.38280228515631576
Calm,REMOVE,Orange,25-50,24,4,4,16.666666666666664,16.666666666666664,0.0,0.0,EXPLORATORY,-0.17458736210000003
Tough,Closing,Green,75-100,23,6,6,26.08695652173913,26.08695652173913,0.0,0.0,EXPLORATORY,0.768419924921565
Moderate,Survival,Brown,50-75,8,3,3,37.5,37.5,0.0,0.0,WEAK,0.21278402966249998
Tough,Survival,Green,25-50,9,2,2,22.22222222222222,22.22222222222222,0.0,0.0,WEAK,-0.4934931337600001
Tough,Closing,Green,25-50,4,2,2,50.0,50.0,0.0,0.0,WEAK,-0.048069025599999815
Tough,Positioning,Red,75-100,8,2,2,25.0,25.0,0.0,0.0,WEAK,-0.7139961971124997
Moderate,REMOVE,Green,50-75,33,9,9,27.27272727272727,27.27272727272727,0.0,0.0,HIGH,0.39901029777878794
Moderate,REMOVE,Green,25-50,2,0,0,0.0,0.0,0.0,0.0,WEAK,-0.47830031510000004
Calm,Survival,Green,75-100,513,109,111,21.24756335282651,21.637426900584796,-0.389863547758285,-0.3552397868561283,HIGH,-0.0495417455470176
Moderate,Closing,Yellow,75-100,684,191,197,27.923976608187136,28.801169590643276,-0.8771929824561404,-0.8174386920980927,HIGH,0.2072590268375998
Moderate,Survival,Blue,75-100,639,174,180,27.230046948356808,28.169014084507044,-0.9389671361502359,-0.8708272859216265,HIGH,0.06568028088831072
Calm,Closing,Blue,50-75,1174,306,318,26.064735945485516,27.086882453151617,-1.0221465076661005,-0.9803921568627467,HIGH,0.10961308209333052
Tough,Open,Yellow,75-100,138,35,37,25.36231884057971,26.811594202898554,-1.4492753623188435,-1.0638297872340448,HIGH,0.23250614706134065
Calm,Positioning,Blue,75-100,788,193,202,24.492385786802032,25.63451776649746,-1.142131979695428,-1.0739856801909273,HIGH,0.14394679087691623
Calm,Positioning,Pink,50-75,41,8,9,19.51219512195122,21.951219512195124,-2.4390243902439046,-1.0989010989010999,HIGH,0.8736831178195121
Calm,REMOVE,Red,50-75,35,9,10,25.71428571428571,28.57142857142857,-2.8571428571428577,-1.1764705882352944,HIGH,-0.06748386686285716
Tough,Positioning,Blue,50-75,119,32,34,26.89075630252101,28.57142857142857,-1.6806722689075606,-1.1834319526627202,HIGH,-0.15512942932147897
Moderate,Closing,Red,50-75,112,25,27,22.321428571428573,24.107142857142858,-1.7857142857142847,-1.2345679012345672,HIGH,0.08574911237830356
Moderate,Survival,Blue,25-50,189,49,52,25.925925925925924,27.513227513227513,-1.5873015873015888,-1.2552301255230138,HIGH,0.2724021663708465
Moderate,Positioning,Blue,75-100,333,92,97,27.627627627627625,29.129129129129126,-1.501501501501501,-1.3054830287206263,HIGH,0.20666267393694357
Moderate,Survival,Yellow,75-100,1007,262,277,26.01787487586892,27.507447864945384,-1.4895729890764642,-1.4191106906338689,HIGH,0.07400097892690369
Tough,Open,Yellow,25-50,19,4,5,21.052631578947366,26.31578947368421,-5.2631578947368425,-1.4492753623188408,EXPLORATORY,0.2855536586852632
Calm,REMOVE,Blue,25-50,17,4,5,23.52941176470588,29.411764705882355,-5.882352941176475,-1.4925373134328368,EXPLORATORY,-0.34178081517058845
Calm,Survival,Red,25-50,15,2,3,13.333333333333334,20.0,-6.666666666666666,-1.5384615384615383,EXPLORATORY,0.9970666588866666
Moderate,Closing,Pink,75-100,14,3,4,21.428571428571427,28.57142857142857,-7.142857142857142,-1.5625,WEAK,-0.02200251155928577
Moderate,Positioning,Yellow,75-100,632,157,168,24.841772151898734,26.582278481012654,-1.74050632911392,-1.6129032258064477,HIGH,0.22561182875708446
Tough,Survival,Red,50-75,10,3,4,30.0,40.0,-10.0,-1.6666666666666665,WEAK,-0.24286747130599995
Moderate,Closing,Pink,50-75,10,2,3,20.0,30.0,-10.0,-1.6666666666666665,WEAK,0.56683606028
Moderate,Closing,Orange,75-100,308,85,91,27.5974025974026,29.545454545454547,-1.9480519480519476,-1.6759776536312845,HIGH,0.09120035654347759
Moderate,Positioning,Pink,75-100,9,0,1,0.0,11.11111111111111,-11.11111111111111,-1.6949152542372883,WEAK,0.07253468976666674
Moderate,Positioning,Red,25-50,8,0,1,0.0,12.5,-12.5,-1.7241379310344827,WEAK,-0.44804599615
Tough,Closing,Yellow,25-50,8,1,2,12.5,25.0,-12.5,-1.7241379310344827,WEAK,-0.10789672695249997
Calm,Elimination,Blue,25-50,8,1,2,12.5,25.0,-12.5,-1.7241379310344827,WEAK,0.05465984827500009
Calm,Open,Brown,75-100,8,3,4,37.5,50.0,-12.5,-1.7241379310344827,WEAK,0.04085035189999986
Moderate,Positioning,Blue,50-75,556,152,163,27.33812949640288,29.31654676258993,-1.9784172661870514,-1.815181518151816,HIGH,0.1158613790459892
Moderate,Closing,Red,25-50,5,1,2,20.0,40.0,-20.0,-1.8181818181818183,WEAK,3.6066517455800002
Tough,Open,Red,50-75,5,0,1,0.0,20.0,-20.0,-1.8181818181818183,WEAK,0.5492187621988
Moderate,Survival,Yellow,50-75,2750,690,742,25.09090909090909,26.981818181818184,-1.8909090909090942,-1.8571428571428603,HIGH,0.15742185310285592
Calm,Open,Orange,25-50,111,27,30,24.324324324324326,27.027027027027028,-2.7027027027027017,-1.86335403726708,HIGH,0.14923562229369378
Tough,Closing,Red,50-75,3,0,1,0.0,33.33333333333333,-33.33333333333333,-1.8867924528301885,WEAK,2.2497874519466667
Tough,Open,Red,75-100,3,0,1,0.0,33.33333333333333,-33.33333333333333,-1.8867924528301885,WEAK,1.40851766442
Moderate,Closing,Brown,25-50,2,0,1,0.0,50.0,-50.0,-1.9230769230769231,WEAK,1.7164623355
Moderate,Closing,Green,75-100,197,48,53,24.36548223350254,26.903553299492383,-2.5380710659898433,-2.024291497975705,HIGH,0.2105470231773604
Moderate,Survival,Red,75-100,97,21,24,21.649484536082475,24.742268041237114,-3.092783505154639,-2.040816326530612,HIGH,0.09462278066783505
Calm,Open,Purple,75-100,567,143,156,25.220458553791886,27.513227513227513,-2.2927689594356266,-2.1069692058346843,HIGH,0.034905345502098784
Moderate,Closing,Purple,25-50,44,11,13,25.0,29.545454545454547,-4.545454545454547,-2.127659574468086,HIGH,0.9886202362815911
Calm,Closing,Yellow,50-75,2180,541,589,24.81651376146789,27.01834862385321,-2.201834862385322,-2.1524663677130054,HIGH,0.05889682434084865
Calm,Positioning,Green,75-100,392,96,106,24.489795918367346,27.040816326530614,-2.551020408163268,-2.2624434389140293,HIGH,0.12553383610706628
