condition,round_type,moon,life_path,n,good,bad,edge,roi,conf
Calm,Survival,Shukla Jaya,1.0,208,46,62,-7.6923076923076925,-6.2015503875969,HIGH
Calm,Survival,Shukla Jaya,6.0,161,22,52,-18.633540372670808,-14.218009478672986,HIGH
Calm,Survival,Shukla Jaya,9.0,220,50,61,-5.000000000000002,-4.074074074074075,HIGH
Calm,Survival,Shukla Jaya,5.0,162,28,43,-9.259259259259261,-7.075471698113209,HIGH
Calm,Survival,Shukla Jaya,8.0,176,36,60,-13.636363636363633,-10.61946902654867,HIGH
Calm,Survival,Shukla Jaya,3.0,232,37,92,-23.70689655172414,-19.50354609929078,HIGH
Calm,Survival,Shukla Bhadra,7.0,99,26,30,-4.040404040404039,-2.684563758389261,HIGH
Calm,Survival,Shukla Bhadra,2.0,122,40,36,3.2786885245901622,2.325581395348836,HIGH
Calm,Survival,Shukla Bhadra,4.0,76,13,17,-5.263157894736842,-3.174603174603174,HIGH
Calm,Survival,Shukla Bhadra,1.0,96,21,33,-12.5,-8.21917808219178,HIGH
Calm,Survival,Shukla Bhadra,6.0,91,31,20,12.08791208791209,7.801418439716313,HIGH
Calm,Survival,Shukla Bhadra,9.0,105,37,25,11.428571428571432,7.74193548387097,HIGH
Calm,Survival,Shukla Bhadra,5.0,70,13,18,-7.14285714285714,-4.166666666666665,HIGH
Calm,Survival,Shukla Bhadra,8.0,82,19,23,-4.8780487804878065,-3.030303030303031,HIGH
Calm,Survival,Shukla Bhadra,3.0,110,19,44,-22.72727272727273,-15.625000000000002,HIGH
Calm,Survival,Krishna Rikta,7.0,73,11,25,-19.17808219178082,-11.38211382113821,HIGH
Calm,Survival,Krishna Rikta,2.0,96,18,32,-14.583333333333332,-9.58904109589041,HIGH
Calm,Survival,Krishna Rikta,4.0,59,12,11,1.6949152542372892,0.917431192660551,HIGH
Calm,Survival,Krishna Rikta,1.0,73,14,21,-9.58904109589041,-5.691056910569105,HIGH
Calm,Survival,Krishna Rikta,6.0,65,16,18,-3.076923076923077,-1.7391304347826086,HIGH
Calm,Survival,Krishna Rikta,9.0,78,15,38,-29.487179487179482,-17.968749999999996,HIGH
Calm,Survival,Krishna Rikta,5.0,75,15,22,-9.333333333333332,-5.599999999999999,HIGH
Calm,Survival,Krishna Rikta,8.0,89,14,30,-17.97752808988764,-11.510791366906476,HIGH
Calm,Survival,Krishna Rikta,3.0,103,18,38,-19.41747572815534,-13.071895424836601,HIGH
Calm,Positioning,Krishna Jaya,7.0,90,21,16,5.555555555555555,3.5714285714285716,HIGH
Calm,Positioning,Krishna Jaya,2.0,114,19,35,-14.035087719298248,-9.756097560975611,HIGH
Calm,Positioning,Krishna Jaya,4.0,82,19,26,-8.536585365853657,-5.303030303030302,HIGH
Calm,Positioning,Krishna Jaya,1.0,97,17,13,4.123711340206185,2.721088435374149,HIGH
Calm,Positioning,Krishna Jaya,6.0,79,18,19,-1.2658227848101278,-0.7751937984496131,HIGH
Calm,Positioning,Krishna Jaya,9.0,76,13,18,-6.578947368421051,-3.968253968253967,HIGH
Calm,Positioning,Krishna Jaya,5.0,68,11,23,-17.647058823529413,-10.16949152542373,HIGH
Calm,Positioning,Krishna Jaya,8.0,79,14,14,0.0,0.0,HIGH
Calm,Positioning,Krishna Jaya,3.0,120,18,51,-27.500000000000004,-19.411764705882355,HIGH
Calm,Positioning,Krishna Bhadra,7.0,112,33,26,6.25,4.320987654320987,HIGH
Calm,Positioning,Krishna Bhadra,2.0,144,38,41,-2.0833333333333313,-1.546391752577318,HIGH
Calm,Positioning,Krishna Bhadra,4.0,113,28,30,-1.7699115044247815,-1.2269938650306766,HIGH
Calm,Positioning,Krishna Bhadra,1.0,123,25,29,-3.252032520325204,-2.3121387283237,HIGH
Calm,Positioning,Krishna Bhadra,6.0,102,19,31,-11.764705882352938,-7.894736842105261,HIGH
Calm,Positioning,Krishna Bhadra,9.0,121,31,40,-7.438016528925623,-5.263157894736844,HIGH
Calm,Positioning,Krishna Bhadra,5.0,92,22,22,0.0,0.0,HIGH
Calm,Positioning,Krishna Bhadra,8.0,104,21,27,-5.769230769230771,-3.8961038961038974,HIGH
Calm,Positioning,Krishna Bhadra,3.0,148,35,42,-4.729729729729729,-3.535353535353535,HIGH
Calm,Positioning,Krishna Nanda,7.0,97,26,24,2.061855670103091,1.3605442176870735,HIGH
Calm,Positioning,Krishna Nanda,2.0,134,33,40,-5.223880597014924,-3.8043478260869557,HIGH
Calm,Positioning,Krishna Nanda,4.0,99,27,29,-2.020202020202022,-1.3422818791946323,HIGH
Calm,Positioning,Krishna Nanda,1.0,109,36,25,10.091743119266056,6.918238993710692,HIGH
Calm,Positioning,Krishna Nanda,6.0,87,30,18,13.793103448275865,8.759124087591243,HIGH
Calm,Positioning,Krishna Nanda,9.0,96,19,27,-8.333333333333334,-5.47945205479452,HIGH
Calm,Positioning,Krishna Nanda,5.0,84,13,25,-14.285714285714285,-8.955223880597014,HIGH
Calm,Positioning,Krishna Nanda,8.0,115,31,21,8.695652173913043,6.0606060606060606,HIGH
Calm,Positioning,Krishna Nanda,3.0,116,26,20,5.1724137931034475,3.614457831325301,HIGH
Calm,Positioning,Krishna Purna,7.0,149,28,37,-6.040268456375839,-4.522613065326633,HIGH
Calm,Positioning,Krishna Purna,2.0,161,24,53,-18.012422360248447,-13.744075829383887,HIGH
Calm,Positioning,Krishna Purna,4.0,133,36,29,5.263157894736842,3.8251366120218577,HIGH
Calm,Positioning,Krishna Purna,1.0,179,49,37,6.703910614525138,5.240174672489082,HIGH
Calm,Positioning,Krishna Purna,6.0,122,34,28,4.918032786885243,3.488372093023254,HIGH
Calm,Positioning,Krishna Purna,9.0,136,36,32,2.941176470588236,2.1505376344086025,HIGH
Calm,Positioning,Krishna Purna,5.0,102,23,30,-6.862745098039216,-4.605263157894737,HIGH
Calm,Positioning,Krishna Purna,8.0,110,24,26,-1.8181818181818188,-1.2500000000000004,HIGH
Calm,Positioning,Krishna Purna,3.0,167,27,46,-11.377245508982037,-8.755760368663596,HIGH
Calm,Positioning,Shukla Purna,7.0,101,21,18,2.9702970297029703,1.9867549668874172,HIGH
Calm,Positioning,Shukla Purna,2.0,136,28,23,3.676470588235292,2.688172043010751,HIGH
Calm,Positioning,Shukla Purna,4.0,79,21,12,11.392405063291136,6.97674418604651,HIGH
Calm,Positioning,Shukla Purna,1.0,129,28,34,-4.651162790697677,-3.3519553072625716,HIGH
Calm,Positioning,Shukla Purna,6.0,88,33,17,18.181818181818183,11.594202898550725,HIGH
Calm,Positioning,Shukla Purna,9.0,139,35,27,5.755395683453235,4.232804232804232,HIGH
Calm,Positioning,Shukla Purna,5.0,77,12,21,-11.688311688311687,-7.086614173228346,HIGH
Calm,Positioning,Shukla Purna,8.0,126,33,21,9.523809523809526,6.81818181818182,HIGH
Calm,Positioning,Shukla Purna,3.0,132,35,20,11.363636363636362,8.24175824175824,HIGH
Calm,Positioning,Shukla Rikta,7.0,121,40,16,19.834710743801654,14.035087719298247,HIGH
Calm,Positioning,Shukla Rikta,2.0,164,47,30,10.365853658536583,7.943925233644857,HIGH
Calm,Positioning,Shukla Rikta,4.0,120,32,13,15.833333333333332,11.176470588235293,HIGH
Calm,Positioning,Shukla Rikta,1.0,148,68,22,31.081081081081084,23.232323232323235,HIGH
Calm,Positioning,Shukla Rikta,6.0,101,35,22,12.871287128712869,8.609271523178807,HIGH
Calm,Positioning,Shukla Rikta,9.0,165,43,31,7.272727272727275,5.581395348837211,HIGH
Calm,Positioning,Shukla Rikta,5.0,122,37,16,17.21311475409836,12.209302325581396,HIGH
Calm,Positioning,Shukla Rikta,8.0,138,38,23,10.869565217391305,7.9787234042553195,HIGH
Calm,Positioning,Shukla Rikta,3.0,166,52,34,10.843373493975905,8.333333333333334,HIGH
Calm,Positioning,Shukla Nanda,7.0,102,29,29,0.0,0.0,HIGH
Calm,Positioning,Shukla Nanda,2.0,119,26,39,-10.92436974789916,-7.692307692307693,HIGH
Calm,Positioning,Shukla Nanda,4.0,88,20,23,-3.4090909090909087,-2.1739130434782603,HIGH
Calm,Positioning,Shukla Nanda,1.0,105,18,37,-18.0952380952381,-12.258064516129034,HIGH
