edge_bucket,sample_n,wins,ties,losses,win_pct,tie_pct,loss_pct,fair_win_prob,fair_win_pct
2.25,786,240,91,455,30.53435114503817,11.577608142493638,57.8880407124682,0.36323155216284986,36.32315521628499
2.5,767,197,82,488,25.684485006518905,10.691003911342895,63.6245110821382,0.31029986962190353,31.029986962190353
2.75,527,97,51,379,18.40607210626186,9.67741935483871,71.91650853889944,0.23244781783681215,23.244781783681216
3.0,480,88,43,349,18.333333333333332,8.958333333333334,72.70833333333333,0.228125,22.8125
3.25,169,18,8,143,10.650887573964496,4.733727810650888,84.61538461538461,0.1301775147928994,13.017751479289942
3.5,197,23,15,159,11.6751269035533,7.614213197969543,80.71065989847716,0.1548223350253807,15.48223350253807
3.75,46,4,0,42,8.695652173913043,0.0,91.30434782608695,0.08695652173913043,8.695652173913043
4.0,32,2,1,29,6.25,3.125,90.625,0.078125,7.8125
4.25,19,3,0,16,15.789473684210526,0.0,84.21052631578948,0.15789473684210525,15.789473684210526
4.75,24,0,1,23,0.0,4.166666666666667,95.83333333333333,0.020833333333333332,2.083333333333333
