condition,round_type,color,exec_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Calm,Survival,Brown,50-75,16,3,3,18.75,18.75,0.0,0.0,EXPLORATORY,-0.10961988289999997
Calm,Closing,Yellow,0-25,10,3,3,30.0,30.0,0.0,0.0,WEAK,0.07238167054999992
Calm,Positioning,Pink,50-75,14,3,3,21.428571428571427,21.428571428571427,0.0,0.0,WEAK,1.2605855850928573
Moderate,Survival,Pink,50-75,21,3,3,14.285714285714285,14.285714285714285,0.0,0.0,EXPLORATORY,0.10342317329523805
Tough,Open,Blue,75-100,14,1,1,7.142857142857142,7.142857142857142,0.0,0.0,WEAK,-0.8550407543897142
Tough,Open,Yellow,50-75,174,42,42,24.137931034482758,24.137931034482758,0.0,0.0,HIGH,0.2837609209454196
Calm,Closing,Blue,50-75,1104,300,300,27.173913043478258,27.173913043478258,0.0,0.0,HIGH,0.07723816458236411
Tough,Open,Purple,75-100,3,0,0,0.0,0.0,0.0,0.0,WEAK,-0.8096691881633333
Tough,Positioning,Pink,25-50,12,4,4,33.33333333333333,33.33333333333333,0.0,0.0,WEAK,-0.588347148715
Calm,Open,Brown,75-100,2,0,0,0.0,0.0,0.0,0.0,WEAK,-0.9135519430000001
Tough,Positioning,Green,50-75,83,20,20,24.096385542168676,24.096385542168676,0.0,0.0,HIGH,-0.018177554484614413
Tough,Positioning,Red,25-50,8,2,2,25.0,25.0,0.0,0.0,WEAK,-0.7139961971124997
Calm,Positioning,Blue,0-25,2,0,0,0.0,0.0,0.0,0.0,WEAK,0.21397756499999998
Tough,Positioning,Purple,75-100,16,5,5,31.25,31.25,0.0,0.0,EXPLORATORY,0.727309890036875
Calm,Open,Pink,75-100,6,0,0,0.0,0.0,0.0,0.0,WEAK,-0.06491575846666664
Moderate,Open,Blue,75-100,222,51,52,22.972972972972975,23.423423423423422,-0.45045045045044674,-0.3676470588235264,HIGH,0.02943443198490991
Tough,Survival,Purple,50-75,154,35,36,22.727272727272727,23.376623376623375,-0.649350649350648,-0.49019607843137153,HIGH,-0.2310872372723246
Tough,Positioning,Yellow,25-50,106,20,21,18.867924528301888,19.81132075471698,-0.9433962264150928,-0.64102564102564,HIGH,-0.29963225457258486
Tough,Open,Blue,50-75,103,28,29,27.184466019417474,28.155339805825243,-0.9708737864077683,-0.6535947712418311,HIGH,-0.163093237713301
Tough,Positioning,Yellow,75-100,96,16,17,16.666666666666664,17.708333333333336,-1.0416666666666714,-0.6849315068493181,HIGH,-0.3615158100742917
Tough,Survival,Yellow,25-50,80,20,21,25.0,26.25,-1.25,-0.7692307692307693,HIGH,0.04645644131293758
Moderate,Positioning,Yellow,50-75,1153,301,311,26.105810928013877,26.97311361665221,-0.8673026886383326,-0.8312551953449688,HIGH,0.16077969183663096
Calm,Positioning,Blue,50-75,1195,284,295,23.765690376569037,24.686192468619247,-0.92050209205021,-0.8835341365461855,HIGH,0.1068876690504519
Moderate,Positioning,Red,25-50,56,12,13,21.428571428571427,23.214285714285715,-1.7857142857142883,-0.9433962264150957,HIGH,0.21451096868785718
Calm,Survival,Pink,25-50,29,7,8,24.137931034482758,27.586206896551722,-3.4482758620689644,-1.2658227848101262,EXPLORATORY,0.3655959585275862
Calm,Closing,Yellow,75-100,447,123,130,27.516778523489933,29.082774049217004,-1.5659955257270717,-1.4084507042253542,HIGH,0.16969627620666666
Moderate,Closing,Orange,50-75,369,96,103,26.01626016260163,27.91327913279133,-1.897018970189702,-1.6706443914081146,HIGH,0.04284580561087016
Moderate,Closing,Blue,25-50,457,132,141,28.88402625820569,30.85339168490153,-1.9693654266958411,-1.7751479289940817,HIGH,0.3013244254794602
Moderate,Open,Purple,50-75,948,245,263,25.843881856540087,27.742616033755276,-1.8987341772151893,-1.803607214428857,HIGH,0.12636950755680226
Calm,Survival,Pink,0-25,4,0,1,0.0,25.0,-25.0,-1.8518518518518516,WEAK,1.135824856375
Moderate,Open,Green,0-25,4,1,2,25.0,50.0,-25.0,-1.8518518518518516,WEAK,0.884451561625
Tough,Survival,Green,75-100,4,0,1,0.0,25.0,-25.0,-1.8518518518518516,WEAK,1.5533072884825
Calm,Closing,Purple,0-25,2,0,1,0.0,50.0,-50.0,-1.9230769230769231,WEAK,0.19938558000000006
Calm,Closing,Blue,25-50,671,161,175,23.994038748137108,26.08047690014903,-2.0864381520119224,-1.941747572815534,HIGH,0.23954500229980627
Moderate,Survival,Blue,50-75,1338,347,377,25.93423019431988,28.176382660687594,-2.2421524663677133,-2.161383285302594,HIGH,0.14147721941335145
Calm,Closing,Green,25-50,316,78,86,24.68354430379747,27.21518987341772,-2.5316455696202524,-2.1857923497267753,HIGH,0.1302185033026266
Calm,Closing,Red,25-50,86,22,25,25.581395348837212,29.069767441860467,-3.488372093023255,-2.2058823529411757,HIGH,0.39721729389104643
Calm,Survival,Green,50-75,1145,270,297,23.580786026200872,25.938864628820962,-2.3580786026200897,-2.2594142259414247,HIGH,-0.04799716358226204
Calm,Closing,Yellow,25-50,1050,267,293,25.428571428571427,27.904761904761905,-2.476190476190478,-2.3636363636363655,HIGH,0.0811127649733905
Moderate,Survival,Orange,25-50,776,192,212,24.742268041237114,27.31958762886598,-2.577319587628864,-2.421307506053267,HIGH,0.30084293899854386
Moderate,Open,Green,50-75,792,195,216,24.62121212121212,27.27272727272727,-2.6515151515151487,-2.4940617577197126,HIGH,0.23465311045292345
Calm,Positioning,Green,25-50,382,89,100,23.298429319371728,26.17801047120419,-2.879581151832461,-2.5462962962962967,HIGH,0.34078178272209425
Calm,Positioning,Red,75-100,23,4,6,17.391304347826086,26.08695652173913,-8.695652173913043,-2.73972602739726,EXPLORATORY,0.2914856250956522
Calm,Closing,Blue,75-100,241,52,60,21.57676348547718,24.896265560165975,-3.3195020746887955,-2.7491408934707895,HIGH,0.11814555644149378
Calm,Survival,Yellow,25-50,1542,377,421,24.44876783398184,27.30220492866407,-2.8534370946822314,-2.7638190954773876,HIGH,0.05588673833654344
Moderate,Closing,Pink,25-50,22,5,7,22.727272727272727,31.818181818181817,-9.09090909090909,-2.7777777777777777,EXPLORATORY,0.18656645441681816
Calm,Closing,Orange,25-50,812,202,226,24.876847290640395,27.832512315270936,-2.955665024630541,-2.7842227378190247,HIGH,0.0806130457062808
Moderate,Positioning,Blue,50-75,522,146,162,27.969348659003828,31.03448275862069,-3.065134099616863,-2.7972027972028015,HIGH,0.31421274852638353
Tough,Survival,Blue,50-75,48,7,10,14.583333333333334,20.833333333333336,-6.250000000000002,-3.061224489795919,HIGH,0.6287833131232917
Calm,Open,Orange,0-25,15,3,5,20.0,33.33333333333333,-13.333333333333329,-3.076923076923076,EXPLORATORY,0.20938624050000004
Calm,Closing,Brown,25-50,15,3,5,20.0,33.33333333333333,-13.333333333333329,-3.076923076923076,EXPLORATORY,1.1965866534933332
Calm,Open,Brown,50-75,12,2,4,16.666666666666664,33.33333333333333,-16.666666666666664,-3.2258064516129026,WEAK,0.35213887745000005
Calm,Open,Brown,25-50,11,2,4,18.181818181818183,36.36363636363637,-18.181818181818183,-3.2786885245901645,WEAK,0.9235295137545454
Moderate,Closing,Yellow,50-75,1365,342,389,25.054945054945055,28.498168498168496,-3.4432234432234416,-3.3215547703180195,HIGH,0.1971088371704741
Calm,Survival,Blue,25-50,1028,234,271,22.762645914396888,26.361867704280158,-3.59922178988327,-3.4322820037105766,HIGH,0.3244912531643773
Calm,Survival,Yellow,75-100,559,129,150,23.076923076923077,26.833631484794275,-3.756708407871198,-3.448275862068965,HIGH,0.18620163495593922
Tough,Closing,Blue,75-100,8,0,2,0.0,25.0,-25.0,-3.4482758620689653,WEAK,2.2128702656500003
Tough,Open,Red,50-75,8,0,2,0.0,25.0,-25.0,-3.4482758620689653,WEAK,0.87145585053175
