condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Tough,Survival,Pink,25-50,50-75,2,0,2,0.0,100.0,-100.0,3.5129915807,WEAK
Tough,Survival,Blue,75-100,50-75,2,0,2,0.0,100.0,-100.0,3.9988270667499997,WEAK
Tough,Survival,Yellow,75-100,50-75,2,0,2,0.0,100.0,-100.0,2.805501505785,WEAK
Tough,Survival,Yellow,50-75,25-50,4,0,4,0.0,100.0,-100.0,4.400136031534999,WEAK
Calm,Open,Orange,75-100,75-100,2,0,2,0.0,100.0,-100.0,2.7588376612,WEAK
Tough,Positioning,Purple,75-100,75-100,2,0,2,0.0,100.0,-100.0,6.6629031964,WEAK
Calm,Survival,Orange,50-75,25-50,5,0,5,0.0,100.0,-100.0,4.151851665760001,WEAK
Tough,Closing,Yellow,75-100,50-75,2,0,2,0.0,100.0,-100.0,2.8470780491,WEAK
Tough,Survival,Red,50-75,75-100,7,0,7,0.0,100.0,-100.0,3.984311963372857,WEAK
Moderate,Closing,Brown,50-75,50-75,4,4,0,100.0,0.0,100.0,-2.44971837815,WEAK
Moderate,Positioning,Brown,50-75,50-75,3,3,0,100.0,0.0,100.0,-3.0847760483,WEAK
Calm,Survival,Blue,50-75,25-50,28,0,23,0.0,82.14285714285714,-82.14285714285714,3.8635773153749997,EXPLORATORY
Moderate,Survival,Blue,75-100,75-100,4,3,0,75.0,0.0,75.0,-2.7416714541749996,WEAK
Moderate,Closing,Red,75-100,50-75,8,6,0,75.0,0.0,75.0,-3.313216545075,WEAK
Moderate,Positioning,Yellow,75-100,75-100,10,7,0,70.0,0.0,70.0,-3.2393963947400004,WEAK
Tough,Positioning,Orange,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.2832069194159996,WEAK
Calm,Positioning,Pink,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.2548844707333333,WEAK
Moderate,Open,Brown,50-75,50-75,3,2,0,66.66666666666666,0.0,66.66666666666666,-5.702922686296667,WEAK
Tough,Positioning,Red,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.4667145969566664,WEAK
Calm,Survival,Pink,50-75,50-75,6,4,0,66.66666666666666,0.0,66.66666666666666,-2.8425604331666663,WEAK
Moderate,Survival,Yellow,75-100,75-100,15,10,0,66.66666666666666,0.0,66.66666666666666,-4.21965996944,EXPLORATORY
Calm,Positioning,Brown,50-75,75-100,3,0,2,0.0,66.66666666666666,-66.66666666666666,4.723964848666666,WEAK
Calm,Positioning,Brown,25-50,25-50,6,4,0,66.66666666666666,0.0,66.66666666666666,-2.3602621654333333,WEAK
Moderate,Closing,Red,75-100,75-100,11,7,0,63.63636363636363,0.0,63.63636363636363,-2.065255408672727,WEAK
Tough,Closing,Orange,75-100,50-75,10,0,6,0.0,60.0,-60.0,2.6438007931,WEAK
Tough,Positioning,Blue,75-100,75-100,18,0,10,0.0,55.55555555555556,-55.55555555555556,2.6105069983711107,EXPLORATORY
Tough,Closing,Green,50-75,50-75,63,1,34,1.5873015873015872,53.96825396825397,-52.38095238095237,2.3870785206871425,HIGH
Moderate,Open,Red,75-100,50-75,25,17,4,68.0,16.0,52.0,-1.4269220950368,EXPLORATORY
Tough,Positioning,Green,75-100,75-100,4,0,2,0.0,50.0,-50.0,1.903501326755,WEAK
Tough,Closing,Red,50-75,75-100,4,0,2,0.0,50.0,-50.0,3.087515440276,WEAK
Tough,Closing,Purple,50-75,75-100,20,2,12,10.0,60.0,-50.0,0.993549413453,EXPLORATORY
Moderate,Closing,Brown,25-50,25-50,2,0,1,0.0,50.0,-50.0,1.7164623355,WEAK
Moderate,Closing,Pink,50-75,75-100,2,1,0,50.0,0.0,50.0,-0.4445571583,WEAK
Moderate,Closing,Red,25-50,25-50,4,0,2,0.0,50.0,-50.0,5.3040796578250005,WEAK
Calm,Positioning,Brown,50-75,50-75,6,3,0,50.0,0.0,50.0,-2.798111220333334,WEAK
Calm,Positioning,Green,75-100,75-100,2,1,0,50.0,0.0,50.0,-5.57421085575,WEAK
Tough,Open,Purple,25-50,25-50,4,0,2,0.0,50.0,-50.0,1.727948795725,WEAK
Calm,Positioning,Orange,50-75,25-50,10,0,5,0.0,50.0,-50.0,1.8508853129600003,WEAK
Moderate,Positioning,Blue,75-100,75-100,6,3,0,50.0,0.0,50.0,-1.9925366691333333,WEAK
Calm,Open,Brown,50-75,75-100,2,1,0,50.0,0.0,50.0,-3.0347205285000003,WEAK
Moderate,Closing,Brown,25-50,50-75,2,0,1,0.0,50.0,-50.0,1.0372233527999999,WEAK
Moderate,Survival,Purple,75-100,75-100,2,1,0,50.0,0.0,50.0,-1.82508320455,WEAK
Calm,Closing,Green,50-75,25-50,33,3,18,9.090909090909092,54.54545454545454,-45.454545454545446,2.6929678009878786,HIGH
Tough,Survival,Yellow,50-75,50-75,42,24,5,57.14285714285714,11.904761904761903,45.238095238095234,-1.7351347516563336,HIGH
Tough,Closing,Blue,50-75,50-75,20,2,11,10.0,55.00000000000001,-45.00000000000001,2.23366066668505,EXPLORATORY
Tough,Positioning,Blue,75-100,50-75,18,1,9,5.555555555555555,50.0,-44.44444444444444,1.7939811648285557,EXPLORATORY
Calm,Closing,Orange,75-100,75-100,9,4,0,44.44444444444444,0.0,44.44444444444444,-1.0479205170666666,WEAK
Moderate,Closing,Purple,25-50,25-50,23,2,12,8.695652173913043,52.17391304347826,-43.47826086956522,2.897251712834783,EXPLORATORY
Moderate,Positioning,Orange,50-75,25-50,21,9,0,42.857142857142854,0.0,42.857142857142854,-1.4143059591095237,EXPLORATORY
Tough,Closing,Yellow,50-75,75-100,67,2,30,2.9850746268656714,44.776119402985074,-41.791044776119406,2.1481310247784475,HIGH
Moderate,Open,Orange,50-75,25-50,24,2,12,8.333333333333332,50.0,-41.66666666666667,0.7072248346458333,EXPLORATORY
Moderate,Positioning,Pink,25-50,50-75,15,7,1,46.666666666666664,6.666666666666667,40.0,-1.2953300143266668,EXPLORATORY
Moderate,Closing,Purple,50-75,25-50,20,9,1,45.0,5.0,40.0,-1.2267182063255002,EXPLORATORY
Moderate,Open,Blue,25-50,25-50,55,10,32,18.181818181818183,58.18181818181818,-40.0,1.5419482816109091,HIGH
Moderate,Open,Pink,50-75,50-75,10,1,5,10.0,50.0,-40.0,1.8843524019700002,WEAK
Moderate,Positioning,Red,50-75,75-100,15,0,6,0.0,40.0,-40.0,2.2335299122333336,EXPLORATORY
Calm,Open,Green,75-100,75-100,5,2,0,40.0,0.0,40.0,-1.2366332396600002,WEAK
Tough,Closing,Purple,25-50,25-50,5,2,0,40.0,0.0,40.0,-1.094118007506,WEAK
Calm,Open,Pink,50-75,75-100,5,2,0,40.0,0.0,40.0,-1.4851840216399999,WEAK
Moderate,Positioning,Purple,25-50,25-50,13,5,0,38.46153846153847,0.0,38.46153846153847,-1.742149047784615,WEAK
Calm,Positioning,Yellow,75-100,75-100,13,7,2,53.84615384615385,15.384615384615385,38.46153846153846,-1.923975368007692,WEAK
Moderate,Positioning,Purple,50-75,25-50,8,3,0,37.5,0.0,37.5,-2.0902158581037504,WEAK
Calm,Open,Red,75-100,50-75,46,4,21,8.695652173913043,45.65217391304348,-36.95652173913043,1.566162970476087,HIGH
Tough,Closing,Blue,25-50,50-75,25,3,12,12.0,48.0,-36.0,1.9243183129747996,EXPLORATORY
Moderate,Open,Green,25-50,25-50,37,2,15,5.405405405405405,40.54054054054054,-35.13513513513514,1.64919901343,HIGH
Moderate,Survival,Red,25-50,50-75,37,6,19,16.216216216216218,51.35135135135135,-35.13513513513513,1.481235484532973,HIGH
Calm,Open,Orange,50-75,25-50,29,11,1,37.93103448275862,3.4482758620689653,34.48275862068965,-1.2875898568655173,EXPLORATORY
Calm,Survival,Yellow,50-75,25-50,70,10,34,14.285714285714285,48.57142857142857,-34.285714285714285,2.0918799208348573,HIGH
Calm,Closing,Blue,50-75,25-50,30,14,4,46.666666666666664,13.333333333333334,33.333333333333336,-1.60714775688,HIGH
Tough,Positioning,Green,50-75,75-100,18,8,2,44.44444444444444,11.11111111111111,33.33333333333333,-1.781278765647222,EXPLORATORY
Tough,Positioning,Orange,50-75,75-100,6,2,0,33.33333333333333,0.0,33.33333333333333,-1.8933193596966664,WEAK
Tough,Open,Red,50-75,75-100,3,0,1,0.0,33.33333333333333,-33.33333333333333,1.40851766442,WEAK
Calm,Positioning,Red,50-75,75-100,39,16,3,41.02564102564102,7.6923076923076925,33.33333333333333,-1.444796430671795,HIGH
Moderate,Open,Orange,75-100,75-100,6,0,2,0.0,33.33333333333333,-33.33333333333333,1.1680235917666666,WEAK
Moderate,Survival,Pink,25-50,25-50,3,2,1,66.66666666666666,33.33333333333333,33.33333333333333,-3.2377642551333334,WEAK
Moderate,Positioning,Green,75-100,75-100,3,1,0,33.33333333333333,0.0,33.33333333333333,-2.054224896733333,WEAK
Tough,Survival,Orange,75-100,50-75,6,0,2,0.0,33.33333333333333,-33.33333333333333,1.7018173031373334,WEAK
Tough,Closing,Purple,50-75,50-75,33,6,17,18.181818181818183,51.515151515151516,-33.33333333333333,1.5231170211239393,HIGH
Tough,Closing,Purple,25-50,50-75,3,0,1,0.0,33.33333333333333,-33.33333333333333,1.0621920629000001,WEAK
Moderate,Closing,Blue,50-75,25-50,18,2,8,11.11111111111111,44.44444444444444,-33.33333333333333,0.6916452026222222,EXPLORATORY
Tough,Positioning,Yellow,75-100,75-100,6,0,2,0.0,33.33333333333333,-33.33333333333333,2.38184701908,WEAK
Tough,Positioning,Blue,25-50,25-50,12,0,4,0.0,33.33333333333333,-33.33333333333333,0.6491394294816667,WEAK
Tough,Closing,Red,50-75,50-75,3,0,1,0.0,33.33333333333333,-33.33333333333333,2.2497874519466667,WEAK
Calm,Survival,Green,50-75,25-50,34,2,13,5.88235294117647,38.23529411764706,-32.35294117647059,1.4324645423470588,HIGH
Moderate,Closing,Green,25-50,25-50,34,7,18,20.588235294117645,52.94117647058824,-32.35294117647059,1.4358720481670588,HIGH
Calm,Open,Orange,75-100,50-75,262,28,110,10.687022900763358,41.98473282442748,-31.29770992366412,1.5986414184505726,HIGH
Moderate,Closing,Orange,50-75,25-50,16,7,2,43.75,12.5,31.25,-1.1987981512131252,EXPLORATORY
Moderate,Open,Blue,50-75,25-50,32,5,15,15.625,46.875,-31.25,1.5239243721303124,HIGH
Tough,Survival,Blue,25-50,50-75,16,3,8,18.75,50.0,-31.25,1.6104917875387499,EXPLORATORY
Moderate,Open,Yellow,25-50,25-50,119,9,46,7.563025210084033,38.655462184873954,-31.092436974789916,1.6952542197909242,HIGH
Calm,Closing,Orange,50-75,25-50,26,10,2,38.46153846153847,7.6923076923076925,30.76923076923077,-1.7818424708923075,EXPLORATORY
Moderate,Positioning,Blue,50-75,25-50,13,2,6,15.384615384615385,46.15384615384615,-30.76923076923077,0.9104764000230768,WEAK
Moderate,Positioning,Red,50-75,50-75,65,29,9,44.61538461538462,13.846153846153847,30.76923076923077,-1.0448579143615382,HIGH
Calm,Open,Pink,50-75,50-75,13,5,1,38.46153846153847,7.6923076923076925,30.76923076923077,-0.6165773565538462,WEAK
Calm,Survival,Green,25-50,25-50,89,10,37,11.235955056179774,41.57303370786517,-30.337078651685395,1.1870649460853933,HIGH
Calm,Open,Brown,50-75,50-75,10,1,4,10.0,40.0,-30.000000000000004,1.02951075864,WEAK
Tough,Survival,Blue,25-50,25-50,10,1,4,10.0,40.0,-30.000000000000004,1.3566110690509998,WEAK
Tough,Open,Orange,25-50,25-50,17,7,2,41.17647058823529,11.76470588235294,29.411764705882348,-0.7312712367929413,EXPLORATORY
Calm,Open,Yellow,50-75,25-50,74,28,7,37.83783783783784,9.45945945945946,28.37837837837838,-1.3748672965479731,HIGH
Calm,Closing,Purple,25-50,25-50,32,11,2,34.375,6.25,28.125,-1.176558891575,HIGH
Moderate,Survival,Orange,50-75,25-50,36,16,6,44.44444444444444,16.666666666666664,27.77777777777778,-1.3389043312300002,HIGH
Moderate,Survival,Orange,75-100,50-75,149,18,59,12.080536912751679,39.59731543624161,-27.516778523489933,1.3870060090978522,HIGH
Moderate,Open,Blue,75-100,75-100,22,6,0,27.27272727272727,0.0,27.27272727272727,-1.0676943081454544,EXPLORATORY
Tough,Survival,Purple,50-75,25-50,30,10,2,33.33333333333333,6.666666666666667,26.666666666666668,-1.5634678942254667,HIGH
Calm,Closing,Purple,75-100,50-75,143,58,21,40.55944055944056,14.685314685314685,25.874125874125873,-1.5862041609114685,HIGH
Moderate,Survival,Blue,75-100,50-75,143,18,55,12.587412587412588,38.46153846153847,-25.874125874125873,1.1606444677258043,HIGH
Tough,Survival,Green,25-50,50-75,51,18,5,35.294117647058826,9.803921568627452,25.490196078431378,-1.221197081185255,HIGH
Moderate,Open,Orange,25-50,25-50,123,16,47,13.008130081300814,38.21138211382114,-25.20325203252033,1.098976837137561,HIGH
Tough,Open,Purple,25-50,50-75,8,0,2,0.0,25.0,-25.0,0.9476947027125,WEAK
Tough,Positioning,Green,25-50,50-75,8,5,3,62.5,37.5,25.0,-0.67538751555125,WEAK
Tough,Survival,Purple,25-50,25-50,4,1,0,25.0,0.0,25.0,-0.2740508801250001,WEAK
Tough,Closing,Blue,75-100,50-75,8,0,2,0.0,25.0,-25.0,2.2128702656500003,WEAK
Moderate,Survival,Brown,50-75,75-100,8,4,2,50.0,25.0,25.0,0.028369186449999972,WEAK
Tough,Positioning,Pink,25-50,50-75,8,2,4,25.0,50.0,-25.0,0.5369723522850001,WEAK
Moderate,Closing,Orange,75-100,50-75,24,8,2,33.33333333333333,8.333333333333332,25.0,-0.8933460389758334,EXPLORATORY
Tough,Open,Yellow,75-100,75-100,8,3,1,37.5,12.5,25.0,-1.6816648019437501,WEAK
Tough,Survival,Green,75-100,50-75,4,0,1,0.0,25.0,-25.0,1.5533072884825,WEAK
Moderate,Positioning,Red,75-100,50-75,8,2,0,25.0,0.0,25.0,-0.7144552536,WEAK
Tough,Survival,Orange,50-75,25-50,4,0,1,0.0,25.0,-25.0,0.32211285602999995,WEAK
Calm,Positioning,Orange,75-100,50-75,139,15,49,10.79136690647482,35.25179856115108,-24.460431654676256,0.9223077705577699,HIGH
Moderate,Closing,Red,50-75,75-100,29,5,12,17.24137931034483,41.37931034482759,-24.137931034482758,1.4954600849793105,EXPLORATORY
Calm,Closing,Green,50-75,75-100,182,73,30,40.10989010989011,16.483516483516482,23.626373626373628,-0.9221766375236264,HIGH
Tough,Positioning,Yellow,25-50,25-50,17,2,6,11.76470588235294,35.294117647058826,-23.529411764705884,1.2005068481099999,EXPLORATORY
Calm,Closing,Red,75-100,75-100,17,4,0,23.52941176470588,0.0,23.52941176470588,-1.032453252947059,EXPLORATORY
Calm,Positioning,Blue,50-75,25-50,34,3,11,8.823529411764707,32.35294117647059,-23.52941176470588,0.9740856042382352,HIGH
Tough,Positioning,Yellow,50-75,75-100,80,31,13,38.75,16.25,22.5,-1.022025311441925,HIGH
Moderate,Survival,Orange,50-75,75-100,363,55,136,15.151515151515152,37.46556473829201,-22.31404958677686,1.0585880296335815,HIGH
Moderate,Positioning,Orange,25-50,50-75,193,76,33,39.37823834196891,17.098445595854923,22.27979274611399,-0.8096333795071503,HIGH
Calm,Positioning,Blue,75-100,75-100,9,5,3,55.55555555555556,33.33333333333333,22.222222222222225,-1.4936053279444446,WEAK
Tough,Positioning,Orange,50-75,50-75,36,10,2,27.77777777777778,5.555555555555555,22.222222222222225,-0.9493305322180555,HIGH
Tough,Closing,Orange,50-75,75-100,9,3,1,33.33333333333333,11.11111111111111,22.22222222222222,-1.7338053238493332,WEAK
Tough,Open,Orange,75-100,75-100,9,2,0,22.22222222222222,0.0,22.22222222222222,-0.6903680036711111,WEAK
Calm,Closing,Green,25-50,25-50,27,3,9,11.11111111111111,33.33333333333333,-22.22222222222222,1.1745451542296297,EXPLORATORY
Calm,Closing,Yellow,50-75,25-50,99,38,16,38.38383838383838,16.161616161616163,22.222222222222218,-0.9544572165454547,HIGH
Moderate,Closing,Purple,75-100,50-75,64,23,9,35.9375,14.0625,21.875,-1.0516658454146706,HIGH
Moderate,Closing,Green,50-75,25-50,23,8,3,34.78260869565217,13.043478260869565,21.73913043478261,-1.1109897536526092,EXPLORATORY
Moderate,Survival,Pink,25-50,50-75,23,8,3,34.78260869565217,13.043478260869565,21.73913043478261,-0.9208105071652176,EXPLORATORY
Tough,Open,Yellow,25-50,50-75,42,12,3,28.57142857142857,7.142857142857142,21.428571428571427,-1.3933828394102146,HIGH
Moderate,Positioning,Orange,25-50,25-50,71,13,28,18.30985915492958,39.436619718309856,-21.12676056338028,0.790437748274507,HIGH
Tough,Positioning,Red,50-75,50-75,19,6,2,31.57894736842105,10.526315789473683,21.052631578947366,-0.30259295712084205,EXPLORATORY
Tough,Open,Blue,25-50,25-50,19,7,3,36.84210526315789,15.789473684210526,21.052631578947366,-0.05635708779663158,EXPLORATORY
Calm,Open,Purple,50-75,25-50,24,6,1,25.0,4.166666666666666,20.833333333333336,-1.503676956990417,EXPLORATORY
Moderate,Positioning,Orange,75-100,50-75,29,3,9,10.344827586206897,31.03448275862069,-20.689655172413797,0.9904828427517243,EXPLORATORY
Tough,Survival,Orange,25-50,25-50,5,1,2,20.0,40.0,-20.0,0.63115476482,WEAK
Moderate,Open,Green,75-100,75-100,10,0,2,0.0,20.0,-20.0,0.04213994492000002,WEAK
Calm,Open,Green,50-75,25-50,20,8,4,40.0,20.0,20.0,-1.259187796785,EXPLORATORY
Tough,Open,Red,50-75,50-75,5,0,1,0.0,20.0,-20.0,0.5492187621988,WEAK
Calm,Positioning,Purple,75-100,75-100,5,1,0,20.0,0.0,20.0,-1.90483553368,WEAK
Moderate,Closing,Blue,25-50,25-50,61,15,27,24.59016393442623,44.26229508196721,-19.672131147540984,0.9033759742803279,HIGH
Moderate,Closing,Yellow,50-75,25-50,67,21,8,31.343283582089555,11.940298507462686,19.402985074626866,-2.441811731508956,HIGH
Tough,Positioning,Green,75-100,50-75,21,8,4,38.095238095238095,19.047619047619047,19.047619047619047,-0.7606801280666666,EXPLORATORY
Calm,Closing,Yellow,75-100,75-100,37,10,17,27.027027027027028,45.94594594594595,-18.91891891891892,0.5657169613405405,HIGH
Moderate,Open,Green,25-50,50-75,160,37,67,23.125,41.875,-18.75,1.1127361346240625,HIGH
Tough,Survival,Orange,25-50,50-75,32,3,9,9.375,28.125,-18.75,0.7145060928023126,HIGH
Calm,Survival,Purple,75-100,75-100,16,4,7,25.0,43.75,-18.75,1.889458135275,EXPLORATORY
Calm,Open,Pink,25-50,50-75,48,10,19,20.833333333333336,39.58333333333333,-18.749999999999996,0.67045923575,HIGH
Tough,Closing,Blue,50-75,75-100,27,7,12,25.925925925925924,44.44444444444444,-18.51851851851852,1.2989445114540743,EXPLORATORY
Tough,Open,Yellow,50-75,50-75,49,15,6,30.612244897959183,12.244897959183673,18.367346938775512,-0.32948238664844903,HIGH
Moderate,Open,Purple,50-75,75-100,258,51,98,19.767441860465116,37.98449612403101,-18.217054263565892,0.7597240248839695,HIGH
Tough,Positioning,Purple,50-75,75-100,22,8,4,36.36363636363637,18.181818181818183,18.181818181818183,-1.4814657655768182,EXPLORATORY
Calm,Positioning,Red,25-50,25-50,11,4,2,36.36363636363637,18.181818181818183,18.181818181818183,-1.3079666715454548,WEAK
