condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Moderate,Positioning,Orange,50-75,50-75,158,33,38,20.88607594936709,24.050632911392405,-3.1645569620253164,0.011175605696582245,HIGH
Calm,Positioning,Orange,50-75,50-75,384,98,86,25.520833333333332,22.395833333333336,3.1249999999999973,-0.036615580496276036,HIGH
Calm,Closing,Yellow,25-50,50-75,591,149,167,25.211505922165824,28.25719120135364,-3.0456852791878153,-0.011551078186835867,HIGH
Calm,Closing,Purple,50-75,50-75,565,133,150,23.53982300884956,26.548672566371685,-3.008849557522125,0.14928402462884957,HIGH
Calm,Positioning,Green,50-75,75-100,246,57,64,23.170731707317074,26.01626016260163,-2.8455284552845543,0.16362682359499997,HIGH
Moderate,Survival,Yellow,25-50,25-50,212,56,62,26.41509433962264,29.245283018867923,-2.8301886792452824,0.1645637552091038,HIGH
Moderate,Survival,Orange,50-75,50-75,451,108,120,23.946784922394677,26.607538802660752,-2.660753880266073,0.026485329363769468,HIGH
Calm,Survival,Red,50-75,50-75,232,67,61,28.879310344827587,26.29310344827586,2.5862068965517238,-0.4287047570448276,HIGH
Calm,Closing,Yellow,50-75,50-75,1179,279,309,23.66412213740458,26.208651399491096,-2.5445292620865145,0.06810776622280743,HIGH
Calm,Closing,Orange,25-50,50-75,517,121,134,23.404255319148938,25.918762088974855,-2.5145067698259194,0.0934687432266151,HIGH
Moderate,Closing,Blue,50-75,75-100,281,79,86,28.11387900355872,30.604982206405694,-2.491103202846978,0.45161477037651254,HIGH
Calm,Positioning,Yellow,50-75,50-75,1288,282,313,21.8944099378882,24.301242236024844,-2.4068322981366466,0.057928766050854036,HIGH
Calm,Positioning,Green,50-75,50-75,515,130,118,25.24271844660194,22.9126213592233,2.3300970873786406,0.047987587870796114,HIGH
Moderate,Open,Red,25-50,50-75,43,12,13,27.906976744186046,30.23255813953488,-2.325581395348836,0.3461231227302325,HIGH
Moderate,Positioning,Yellow,50-75,75-100,438,110,120,25.11415525114155,27.397260273972602,-2.28310502283105,0.3236987506069803,HIGH
Tough,Open,Green,50-75,50-75,44,6,7,13.636363636363635,15.909090909090908,-2.2727272727272734,-0.07876367039990911,HIGH
Tough,Open,Blue,50-75,50-75,48,13,12,27.083333333333332,25.0,2.0833333333333313,-0.5269927660470833,HIGH
Calm,Closing,Green,25-50,50-75,200,53,57,26.5,28.499999999999996,-1.9999999999999962,-0.0037744719504999935,HIGH
Moderate,Open,Orange,50-75,75-100,403,99,107,24.56575682382134,26.550868486352357,-1.9851116625310194,0.3409884511226157,HIGH
Calm,Survival,Green,50-75,50-75,809,201,217,24.84548825710754,26.823238566131025,-1.977750309023485,-0.08649833101998768,HIGH
Moderate,Survival,Green,75-100,50-75,102,27,25,26.47058823529412,24.509803921568626,1.9607843137254917,-0.1147150034130393,HIGH
Calm,Positioning,Yellow,25-50,50-75,570,141,130,24.736842105263158,22.807017543859647,1.9298245614035092,-0.18223721379907015,HIGH
Calm,Closing,Orange,50-75,50-75,322,68,74,21.11801242236025,22.981366459627328,-1.8633540372670787,0.2777756818045342,HIGH
Calm,Open,Purple,25-50,50-75,443,111,103,25.056433408577877,23.25056433408578,1.8058690744920973,0.04505922002142211,HIGH
Calm,Closing,Blue,50-75,50-75,558,165,155,29.56989247311828,27.77777777777778,1.792114695340502,-0.0014048581524552237,HIGH
Moderate,Survival,Blue,25-50,50-75,397,117,124,29.47103274559194,31.234256926952142,-1.7632241813602012,-0.07825319278752324,HIGH
Calm,Open,Orange,50-75,75-100,461,119,111,25.813449023861175,24.07809110629067,1.7353579175705014,0.17639084242197398,HIGH
Moderate,Positioning,Blue,25-50,50-75,174,50,47,28.735632183908045,27.011494252873565,1.7241379310344807,-0.24016336586275866,HIGH
Moderate,Closing,Orange,25-50,25-50,61,18,17,29.508196721311474,27.86885245901639,1.6393442622950838,0.34886366535721314,HIGH
Calm,Positioning,Purple,50-75,75-100,252,59,63,23.41269841269841,25.0,-1.5873015873015872,0.13576512948503963,HIGH
Moderate,Closing,Green,50-75,75-100,129,32,34,24.8062015503876,26.356589147286826,-1.5503875968992276,0.19738535729457363,HIGH
Calm,Positioning,Green,25-50,25-50,66,13,12,19.696969696969695,18.181818181818183,1.5151515151515138,0.38436362789848477,HIGH
Moderate,Survival,Yellow,50-75,75-100,801,212,224,26.4669163545568,27.965043695380775,-1.4981273408239737,0.09555889917886369,HIGH
