Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Orange,Exec,75-100,Moderate,Open,47,48,49.47%,52.08%,-2.48%,-2.48,,,,,,,
Blue,Exec,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Blue,Exec,25-50,Moderate,Open,179,170,51.29%,51.29%,-3.27%,-3.27,,,,,,,
Blue,Exec,50-75,Moderate,Open,320,272,54.05%,54.05%,-0.51%,-0.51,,,,,,,
Blue,Exec,75-100,Moderate,Open,54,39,58.06%,56.25%,1.69%,1.69,,,,,,,
Yellow,Exec,0-25,Moderate,Open,2,1,66.67%,54.92%,0.35%,0.35,,,,,,,
Yellow,Exec,25-50,Moderate,Open,262,262,50.00%,50.00%,-4.56%,-4.56,,,,,,,
Yellow,Exec,50-75,Moderate,Open,636,540,54.08%,54.08%,-0.48%,-0.48,,,,,,,
Yellow,Exec,75-100,Moderate,Open,139,90,60.70%,60.70%,6.13%,6.13,,,,,,,
Green,Exec,0-25,Moderate,Open,2,1,66.67%,54.92%,0.35%,0.35,,,,,,,
Green,Exec,25-50,Moderate,Open,80,102,43.96%,43.96%,-10.61%,-10.61,,,,,,,
Green,Exec,50-75,Moderate,Open,247,185,57.18%,57.18%,2.61%,2.61,,,,,,,
Green,Exec,75-100,Moderate,Open,26,34,43.33%,50.35%,-4.21%,-4.21,,,,,,,
Purple,Exec,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Purple,Exec,25-50,Moderate,Open,98,70,58.33%,58.33%,3.77%,3.77,,,,,,,
Purple,Exec,50-75,Moderate,Open,262,227,53.58%,53.58%,-0.99%,-0.99,,,,,,,
Purple,Exec,75-100,Moderate,Open,65,49,57.02%,57.02%,2.45%,2.45,,,,,,,
Red,Exec,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Red,Exec,25-50,Moderate,Open,19,16,54.29%,54.49%,-0.07%,-0.07,,,,,,,
Red,Exec,50-75,Moderate,Open,48,53,47.52%,47.52%,-7.04%,-7.04,,,,,,,
Red,Exec,75-100,Moderate,Open,10,2,83.33%,57.65%,3.08%,3.08,,,,,,,
Brown,Exec,0-25,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Moderate,Open,5,0,100.00%,56.73%,2.16%,2.16,,,,,,,
Brown,Exec,50-75,Moderate,Open,2,0,100.00%,55.45%,0.89%,0.89,,,,,,,
Brown,Exec,75-100,Moderate,Open,0,0,#DIV/0!,54.56%,0.00%,0.00,,,,,,,
Pink,Exec,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Pink,Exec,25-50,Moderate,Positioning,9,2,81.82%,47.85%,3.74%,3.74,,,,,,,
Pink,Exec,50-75,Moderate,Positioning,2,2,50.00%,44.35%,0.23%,0.23,,,,,,,
Pink,Exec,75-100,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Orange,Exec,0-25,Moderate,Positioning,0,8,0.00%,40.85%,-3.27%,-3.27,,,,,,,
