player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,110.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,115.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Max Homa,Denny McCarthy,Kevin Yu,Denny McCarthy,175.0,Max Homa,False,SLIGHT: B favored,4.9893851586045255,LOSS,-100.0
Kevin Yu,Max Homa,Denny McCarthy,Denny McCarthy,175.0,Max Homa,False,SLIGHT: C favored,4.9893851586045255,LOSS,-100.0
Tony Finau,Max McGreevy,Lucas Glover,Max McGreevy,160.0,Max McGreevy,False,SLIGHT: B favored,4.9893851586045255,WIN,160.0
Brian Campbell,Wyndham Clark,Marco Penge,Wyndham Clark,120.0,Marco Penge,False,SLIGHT: B favored,4.9893851586045255,LOSS,-100.0
Lucas Glover,Tony Finau,Max McGreevy,Max McGreevy,160.0,Max McGreevy,False,SLIGHT: C favored,4.9893851586045255,WIN,160.0
Sahith Theegala,Michael Kim,Pierceson Coody,Michael Kim,220.0,,True,SLIGHT: B favored,4.984091390211347,2WAY_PUSH_WIN,110.00000000000001
Pierceson Coody,Sahith Theegala,Michael Kim,Michael Kim,235.0,Pierceson Coody,False,SLIGHT: C favored,4.984091390211347,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,300.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,425.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Matthew Wolff,Elvis Smylie,Dean Burmester,Elvis Smylie,170.0,Matthew Wolff,False,SLIGHT: B favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,300.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,425.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Cameron Tringale,Luis Masaveu,Sam Horsfield,Sam Horsfield,250.0,Cameron Tringale,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Matthieu Pavon,S.H. Kim,Austin Smotherman,Matthieu Pavon,225.0,Austin Smotherman,False,SLIGHT: A favored,4.951961143419403,LOSS,-100.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,250.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,280.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,250.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,280.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Brice Garnett,Dylan Wu,Max Meissner,Dylan Wu,210.0,Dylan Wu,False,SLIGHT: B favored,4.878296857601944,WIN,210.0
Sepp Straka,Harry Hall,Patrick Cantlay,Harry Hall,220.0,,True,SLIGHT: B favored,4.870959067150574,2WAY_PUSH_WIN,110.00000000000001
Patrick Cantlay,Sepp Straka,Harry Hall,Harry Hall,240.0,,True,SLIGHT: C favored,4.870959067150574,2WAY_PUSH_WIN,120.0
Ben Griffin,Keegan Bradley,Sam Burns,Sam Burns,160.0,Sam Burns,False,SLIGHT: C favored,4.870959067150574,WIN,160.0
Ben Griffin,Sam Burns,Keegan Bradley,Sam Burns,170.0,Sam Burns,False,SLIGHT: B favored,4.870959067150574,WIN,170.0
Francesco Laporta,Joe Dean,Marcus Kinhult,Joe Dean,210.0,Francesco Laporta,False,SLIGHT: B favored,4.849148682168941,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,200.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,210.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Erik van Rooyen,Keith Mitchell,Michael Kim,Keith Mitchell,115.0,Keith Mitchell,False,SLIGHT: B favored,4.838124440726401,WIN,114.99999999999999
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,200.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,210.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Ockie Strydom,Justin Harding,Johannes Veerman,Johannes Veerman,-105.0,Johannes Veerman,False,SLIGHT: C favored,4.771438736246076,WIN,95.23809523809523
Taylor Moore,Harry Higgs,Hank Lebioda,Hank Lebioda,187.0,Taylor Moore,False,SLIGHT: C favored,4.766211352594019,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,150.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,145.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,150.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,145.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jastas Madoya Asena,Davis Bryant,Callum Tarren,Callum Tarren,-105.0,Davis Bryant,False,SLIGHT: C favored,4.648136291558098,LOSS,-100.0
Yurav Premall,Felix Mory,Dismas Indiza Anyonyi,Yurav Premall,110.0,Yurav Premall,False,SLIGHT: A favored,4.648136291558098,WIN,110.00000000000001
Collin Morikawa,Ludvig Aberg,Si Woo Kim,Si Woo Kim,170.0,,False,SLIGHT: C favored,4.640041506641476,LOSS,-100.0
Peter Uihlein,Cameron Smith,Byeong-Hun An,Byeong-Hun An,180.0,Cameron Smith,False,SLIGHT: C favored,4.608766672164808,LOSS,-100.0
JJ Senekal,MJ Daffue,Jorge Campillo,MJ Daffue,175.0,,True,SLIGHT: B favored,4.558756115038163,2WAY_PUSH_LOSS,-100.0
Patrick Reed,Martin Couvra,Charl Schwartzel,Martin Couvra,240.0,Patrick Reed,False,SLIGHT: B favored,4.446769619893317,LOSS,-100.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Xander Schauffele,240.0,,True,SLIGHT: B favored,4.370028272953805,2WAY_PUSH_WIN,120.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Xander Schauffele,250.0,,True,SLIGHT: B favored,4.370028272953805,2WAY_PUSH_WIN,125.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Xander Schauffele,240.0,,True,SLIGHT: B favored,4.370028272953805,2WAY_PUSH_WIN,120.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Xander Schauffele,250.0,,True,SLIGHT: B favored,4.370028272953805,2WAY_PUSH_WIN,125.0
Patrick Rodgers,Kevin Roy,Marco Penge,Patrick Rodgers,175.0,Patrick Rodgers,False,SLIGHT: A favored,4.150151786043117,WIN,175.0
Cameron Young,Viktor Hovland,Shane Lowry,Viktor Hovland,175.0,Viktor Hovland,False,SLIGHT: B favored,3.927393913517872,WIN,175.0
Cameron Young,Viktor Hovland,Shane Lowry,Viktor Hovland,180.0,Viktor Hovland,False,SLIGHT: B favored,3.927393913517872,WIN,180.0
Cameron Young,Viktor Hovland,Shane Lowry,Viktor Hovland,175.0,Viktor Hovland,False,SLIGHT: B favored,3.927393913517872,WIN,175.0
Cameron Young,Viktor Hovland,Shane Lowry,Viktor Hovland,180.0,Viktor Hovland,False,SLIGHT: B favored,3.927393913517872,WIN,180.0
Jon Rahm,Thomas Detry,Talor Gooch,Talor Gooch,275.0,Jon Rahm,False,SLIGHT: C favored,3.919984484474265,LOSS,-100.0
Scott Vincent,Marc Leishman,Jason Kokrak,Jason Kokrak,225.0,Marc Leishman,False,SLIGHT: C favored,3.919984484474265,LOSS,-100.0
Younghan Song,Charl Schwartzel,Richard Bland,Charl Schwartzel,162.0,,True,SLIGHT: B favored,3.919984484474265,2WAY_PUSH_WIN,81.0
Joaquin Niemann,Dustin Johnson,Bryson DeChambeau,Joaquin Niemann,162.0,Bryson DeChambeau,False,SLIGHT: A favored,3.919984484474265,LOSS,-100.0
Miguel Tabuena,Bjorn Hellgren,Yosuke Asaji,Miguel Tabuena,170.0,Bjorn Hellgren,False,SLIGHT: A favored,3.919984484474265,LOSS,-100.0
John Parry,John Vanderlaan,Marcelo Rozo,Marcelo Rozo,300.0,John Vanderlaan,False,SLIGHT: C favored,3.876094158526,LOSS,-100.0
Charles Howell III,Jason Kokrak,Caleb Surratt,Charles Howell III,187.0,Charles Howell III,False,SLIGHT: A favored,3.876094158526,WIN,187.0
Caleb Surratt,Victor Perez,Jose Luis Ballester,Jose Luis Ballester,187.0,,True,SLIGHT: C favored,3.86169498467563,2WAY_PUSH_LOSS,-100.0
Graeme McDowell,Peter Uihlein,Branden Grace,Graeme McDowell,240.0,Graeme McDowell,False,SLIGHT: A favored,3.86169498467563,WIN,240.0
Bubba Watson,Ian Poulter,Brendan Steele,Ian Poulter,250.0,Brendan Steele,False,SLIGHT: B favored,3.86169498467563,LOSS,-100.0
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Alex Noren,115.0,Alex Noren,False,SLIGHT: C favored,3.698024066195088,WIN,114.99999999999999
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Alex Noren,110.0,Alex Noren,False,SLIGHT: C favored,3.698024066195088,WIN,110.00000000000001
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Alex Noren,115.0,Alex Noren,False,SLIGHT: C favored,3.698024066195088,WIN,114.99999999999999
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Alex Noren,110.0,Alex Noren,False,SLIGHT: C favored,3.698024066195088,WIN,110.00000000000001
