player_id,player_name,chinese_zodiac,events,avg_score,win_rate,good_count,bad_count
1576,Casey Jarvis,Goat,11,0.985,0.273,3.0,5.0
1023,Chad Ramey,Monkey,368,0.18,0.242,89.0,92.0
1148,Chan Kim,Horse,208,-0.302,0.255,53.0,39.0
1406,Chandler Blanchet,Pig,29,0.45,0.241,7.0,11.0
1159,Chandler Phillips,Rat,199,-0.044,0.236,47.0,44.0
1360,Charl Schwartzel,Rat,43,0.778,0.116,5.0,12.0
1372,Charles Howell III,Goat,40,-0.413,0.25,10.0,10.0
1826,Charles Osborne,Rabbit,4,-2.635,0.5,2.0,0.0
1108,Charley Hoffman,Dragon,269,0.308,0.227,61.0,75.0
1623,Charlie Reiter,Rabbit,10,1.842,0.1,1.0,5.0
1426,Chase Johnson,Pig,24,1.816,0.042,1.0,11.0
1106,Chesson Hadley,Rabbit,271,0.296,0.214,58.0,68.0
1103,Chez Reavie,Rooster,275,0.507,0.225,62.0,90.0
1126,Chris Gotterup,Rabbit,243,-0.413,0.292,71.0,49.0
1051,Chris Kirk,Ox,338,-0.391,0.302,102.0,64.0
1522,Chris Korte,Rat,14,0.089,0.214,3.0,4.0
1261,Chris Stroud,Dog,88,0.233,0.114,10.0,13.0
1040,Christiaan Bezuidenhout,Dog,353,-0.494,0.292,103.0,59.0
1384,Christo Lamprecht,Snake,35,1.543,0.171,6.0,16.0
1641,Clément Sordet,Monkey,9,-2.136,0.444,4.0,1.0
1225,Cody Gribble,Horse,121,0.792,0.182,22.0,37.0
1068,Collin Morikawa,Rat,315,-1.153,0.39,123.0,38.0
2221,Connor McKinney,Snake,2,3.715,0.0,0.0,2.0
1468,Connor Syme,Pig,18,0.312,0.278,5.0,5.0
1969,Conor Purcell,Ox,4,0.295,0.25,1.0,1.0
1030,Corey Conners,Goat,363,-0.819,0.369,134.0,53.0
1707,Corey Pereira,Pig,7,-1.183,0.571,4.0,1.0
1917,Corey Shaun,Rat,4,0.398,0.25,1.0,1.0
1282,Cristobal Del Solar,Rooster,78,1.091,0.167,13.0,28.0
1816,Curtis Luck,Rat,4,2.35,0.25,1.0,2.0
1452,Dale Whitnell,Dragon,20,0.263,0.15,3.0,6.0
1518,Dan Bradbury,Rabbit,14,1.521,0.143,2.0,8.0
1401,Dan Brown,Dog,31,-0.411,0.387,12.0,5.0
1830,Dan Erickson,Tiger,4,1.148,0.0,0.0,1.0
1804,Daniel Bennett,Rooster,4,1.342,0.0,0.0,2.0
1132,Daniel Berger,Rooster,229,-0.436,0.275,63.0,41.0
