color,condition,exec_bucket,upside_bucket,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Yellow,Calm,50,50,10,46,26.1,23.9,26.5,22.5,-0.4,1.4,0.93,-0.12
Yellow,Calm,50,75,-40,60,15.0,21.7,26.5,22.5,-11.5,-0.8,0.59,0.29
Yellow,Calm,50,75,-30,231,34.2,19.0,26.5,22.5,7.7,-3.5,1.53,-0.51
Yellow,Calm,50,75,-20,743,26.8,24.2,26.5,22.5,0.3,1.7,0.94,-0.02
Yellow,Calm,50,75,-10,831,27.9,22.5,26.5,22.5,1.4,-0.0,1.05,-0.06
Yellow,Calm,50,75,0,434,20.7,27.0,26.5,22.5,-5.8,4.4,0.65,0.3
Yellow,Calm,75,50,0,326,27.6,23.0,26.5,22.5,1.1,0.5,1.02,0.08
Yellow,Calm,75,50,10,433,27.0,21.5,26.5,22.5,0.5,-1.0,1.07,-0.2
Yellow,Calm,75,50,20,136,20.6,28.7,26.5,22.5,-5.9,6.2,0.61,0.25
Yellow,Calm,75,75,0,64,31.3,20.3,26.5,22.5,4.8,-2.2,1.31,-0.52
Yellow,Moderate,25,25,-10,171,25.1,20.5,26.1,22.6,-0.9,-2.2,1.07,-0.07
Yellow,Moderate,25,25,0,134,23.1,17.2,26.1,22.6,-2.9,-5.5,1.17,-0.09
Yellow,Moderate,25,50,-30,77,22.1,19.5,26.1,22.6,-4.0,-3.1,0.98,-0.07
Yellow,Moderate,25,50,-20,473,21.4,26.6,26.1,22.6,-4.7,4.0,0.7,0.26
Yellow,Moderate,25,50,-10,224,29.9,20.1,26.1,22.6,3.9,-2.5,1.29,-0.32
Yellow,Moderate,25,50,0,118,29.7,25.4,26.1,22.6,3.6,2.8,1.01,-0.09
Yellow,Moderate,25,75,-40,149,23.5,24.8,26.1,22.6,-2.6,2.2,0.82,-0.05
Yellow,Moderate,25,75,-30,277,26.7,24.9,26.1,22.6,0.7,2.3,0.93,-0.1
Yellow,Moderate,25,75,-20,52,40.4,11.5,26.1,22.6,14.3,-11.1,3.04,-0.89
Yellow,Moderate,50,25,0,131,26.0,20.6,26.1,22.6,-0.1,-2.0,1.09,-0.0
Yellow,Moderate,50,25,10,51,31.4,15.7,26.1,22.6,5.3,-6.9,1.74,-0.4
Yellow,Moderate,50,50,-20,101,22.8,25.7,26.1,22.6,-3.3,3.1,0.77,0.74
Yellow,Moderate,50,50,-10,737,25.5,23.7,26.1,22.6,-0.6,1.1,0.93,-0.02
Yellow,Moderate,50,50,0,1539,24.4,21.5,26.1,22.6,-1.7,-1.1,0.98,-0.04
Yellow,Moderate,50,50,10,31,32.3,19.4,26.1,22.6,6.2,-3.3,1.45,-0.38
Yellow,Moderate,50,75,-40,39,28.2,25.6,26.1,22.6,2.1,3.0,0.96,0.48
Yellow,Moderate,50,75,-30,152,26.3,17.8,26.1,22.6,0.3,-4.9,1.29,-0.27
Yellow,Moderate,50,75,-20,498,25.5,21.5,26.1,22.6,-0.6,-1.1,1.03,-0.07
Yellow,Moderate,50,75,-10,525,24.6,25.0,26.1,22.6,-1.5,2.3,0.86,0.16
Yellow,Moderate,50,75,0,275,22.9,23.6,26.1,22.6,-3.2,1.0,0.84,0.26
Yellow,Moderate,75,50,0,330,28.2,23.0,26.1,22.6,2.1,0.4,1.06,-0.12
Yellow,Moderate,75,50,10,290,24.5,20.0,26.1,22.6,-1.6,-2.6,1.06,-0.24
Yellow,Moderate,75,50,20,83,27.7,16.9,26.1,22.6,1.7,-5.8,1.43,-0.57
Yellow,Moderate,75,75,0,31,35.5,16.1,26.1,22.6,9.4,-6.5,1.91,-0.6
Yellow,Tough,25,50,-20,31,29.0,9.7,24.0,23.9,5.0,-14.2,2.98,-0.68
Yellow,Tough,25,75,-30,34,26.5,20.6,24.0,23.9,2.5,-3.3,1.28,-0.27
Yellow,Tough,50,50,-10,61,29.5,19.7,24.0,23.9,5.5,-4.2,1.49,-0.33
Yellow,Tough,50,50,0,121,21.5,21.5,24.0,23.9,-2.5,-2.4,0.99,-0.12
Yellow,Tough,50,75,-30,31,25.8,19.4,24.0,23.9,1.8,-4.5,1.33,-0.29
Yellow,Tough,50,75,-20,79,24.1,25.3,24.0,23.9,0.0,1.4,0.95,0.22
Yellow,Tough,50,75,-10,71,22.5,23.9,24.0,23.9,-1.5,0.0,0.94,-0.14
