condition,round_type,exec_bucket,upside_bucket,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Survival,50,50,7.0,114,28.1,21.1,25.8,22.2,2.3,-1.1,1.15,-0.1
Calm,Survival,50,50,8.0,95,24.2,16.8,25.8,22.2,-1.6,-5.4,1.24,-0.14
Calm,Survival,50,50,9.0,128,32.0,25.0,25.8,22.2,6.2,2.8,1.1,-0.06
Calm,Survival,50,75,1.0,72,22.2,19.4,25.8,22.2,-3.6,-2.8,0.98,-0.16
Calm,Survival,50,75,2.0,117,28.2,22.2,25.8,22.2,2.4,0.0,1.09,-0.13
Calm,Survival,50,75,3.0,73,20.5,20.5,25.8,22.2,-5.2,-1.7,0.86,0.2
Calm,Survival,50,75,4.0,70,27.1,20.0,25.8,22.2,1.3,-2.2,1.17,-0.06
Calm,Survival,50,75,5.0,65,21.5,23.1,25.8,22.2,-4.3,0.9,0.8,0.32
Calm,Survival,50,75,6.0,65,29.2,23.1,25.8,22.2,3.4,0.9,1.09,-0.01
Calm,Survival,50,75,7.0,64,21.9,35.9,25.8,22.2,-3.9,13.7,0.52,0.94
Calm,Survival,50,75,8.0,46,26.1,15.2,25.8,22.2,0.3,-7.0,1.48,-0.0
Calm,Survival,50,75,9.0,78,26.9,24.4,25.8,22.2,1.1,2.2,0.95,0.1
Calm,Survival,75,50,1.0,44,22.7,25.0,25.8,22.2,-3.1,2.8,0.78,0.11
Calm,Survival,75,50,2.0,48,31.3,25.0,25.8,22.2,5.5,2.8,1.08,-0.06
Calm,Survival,75,50,3.0,40,17.5,17.5,25.8,22.2,-8.3,-4.7,0.86,0.09
Calm,Survival,75,50,4.0,34,20.6,17.6,25.8,22.2,-5.2,-4.6,1.0,-0.1
Calm,Survival,75,50,5.0,32,12.5,34.4,25.8,22.2,-13.3,12.2,0.31,0.62
Calm,Survival,75,50,6.0,33,24.2,33.3,25.8,22.2,-1.6,11.1,0.63,0.3
Calm,Survival,75,50,7.0,33,33.3,15.2,25.8,22.2,7.5,-7.1,1.89,-0.61
Calm,Survival,75,50,9.0,51,27.5,13.7,25.8,22.2,1.7,-8.5,1.72,-0.39
Moderate,Closing,25,50,1.0,30,30.0,23.3,21.9,23.8,8.1,-0.5,1.4,-0.69
Moderate,Closing,25,50,2.0,35,34.3,20.0,21.9,23.8,12.4,-3.8,1.87,-0.59
Moderate,Closing,25,50,3.0,30,23.3,20.0,21.9,23.8,1.5,-3.8,1.27,0.13
Moderate,Closing,25,50,9.0,35,28.6,20.0,21.9,23.8,6.7,-3.8,1.55,-0.06
Moderate,Closing,50,50,1.0,53,26.4,22.6,21.9,23.8,4.5,-1.2,1.27,-0.01
Moderate,Closing,50,50,2.0,59,22.0,18.6,21.9,23.8,0.2,-5.2,1.29,-0.06
Moderate,Closing,50,50,3.0,43,32.6,20.9,21.9,23.8,10.7,-2.9,1.69,-0.08
Moderate,Closing,50,50,4.0,40,25.0,17.5,21.9,23.8,3.1,-6.3,1.55,-0.03
Moderate,Closing,50,50,5.0,32,25.0,25.0,21.9,23.8,3.1,1.2,1.09,0.12
Moderate,Closing,50,50,6.0,30,23.3,16.7,21.9,23.8,1.5,-7.1,1.52,0.16
Moderate,Closing,50,50,7.0,39,20.5,17.9,21.9,23.8,-1.4,-5.9,1.24,0.15
Moderate,Closing,50,50,8.0,33,9.1,24.2,21.9,23.8,-12.8,0.4,0.41,0.76
Moderate,Closing,50,50,9.0,36,22.2,27.8,21.9,23.8,0.3,4.0,0.87,0.03
Moderate,Closing,50,75,1.0,34,20.6,20.6,21.9,23.8,-1.3,-3.2,1.09,0.1
Moderate,Closing,50,75,2.0,40,15.0,30.0,21.9,23.8,-6.9,6.2,0.54,0.5
Moderate,Closing,50,75,3.0,39,17.9,20.5,21.9,23.8,-3.9,-3.3,0.95,0.02
Moderate,Closing,50,75,4.0,38,26.3,21.1,21.9,23.8,4.4,-2.8,1.36,0.18
Moderate,Closing,50,75,9.0,32,21.9,34.4,21.9,23.8,-0.0,10.6,0.69,0.47
Moderate,Open,25,50,1.0,56,35.7,12.5,28.7,21.5,7.0,-9.0,2.14,-0.85
Moderate,Open,25,50,2.0,51,25.5,25.5,28.7,21.5,-3.2,4.0,0.75,0.13
Moderate,Open,25,50,3.0,56,30.4,21.4,28.7,21.5,1.7,-0.1,1.06,-0.0
Moderate,Open,25,50,4.0,43,20.9,27.9,28.7,21.5,-7.8,6.4,0.56,0.56
Moderate,Open,25,50,5.0,35,28.6,8.6,28.7,21.5,-0.1,-12.9,2.49,-0.68
Moderate,Open,25,50,6.0,49,34.7,24.5,28.7,21.5,6.0,3.0,1.06,-0.44
Moderate,Open,25,50,7.0,38,28.9,23.7,28.7,21.5,0.2,2.2,0.91,-0.55
Moderate,Open,25,50,8.0,33,30.3,21.2,28.7,21.5,1.6,-0.3,1.07,-0.43
Moderate,Open,25,50,9.0,48,33.3,12.5,28.7,21.5,4.6,-9.0,2.0,-0.72
Moderate,Open,50,50,1.0,113,33.6,18.6,28.7,21.5,4.9,-2.9,1.35,-0.34
Moderate,Open,50,50,2.0,97,28.9,19.6,28.7,21.5,0.2,-1.9,1.1,-0.08
Moderate,Open,50,50,3.0,85,28.2,18.8,28.7,21.5,-0.5,-2.7,1.12,-0.23
Moderate,Open,50,50,4.0,81,33.3,17.3,28.7,21.5,4.6,-4.2,1.44,-0.66
Moderate,Open,50,50,5.0,68,32.4,13.2,28.7,21.5,3.7,-8.2,1.83,-0.54
Moderate,Open,50,50,6.0,66,27.3,25.8,28.7,21.5,-1.4,4.3,0.79,0.12
Moderate,Open,50,50,7.0,74,24.3,25.7,28.7,21.5,-4.4,4.2,0.71,0.36
Moderate,Open,50,50,8.0,61,27.9,27.9,28.7,21.5,-0.8,6.4,0.75,-0.06
Moderate,Open,50,50,9.0,91,27.5,24.2,28.7,21.5,-1.2,2.7,0.85,-0.05
Moderate,Open,50,75,1.0,66,27.3,16.7,28.7,21.5,-1.4,-4.8,1.22,-0.33
Moderate,Open,50,75,2.0,73,27.4,30.1,28.7,21.5,-1.3,8.7,0.68,0.13
Moderate,Open,50,75,3.0,65,24.6,15.4,28.7,21.5,-4.1,-6.1,1.2,-0.35
Moderate,Open,50,75,4.0,63,33.3,20.6,28.7,21.5,4.6,-0.8,1.21,-0.12
Moderate,Open,50,75,5.0,57,29.8,21.1,28.7,21.5,1.1,-0.4,1.06,-0.14
Moderate,Open,50,75,6.0,61,27.9,21.3,28.7,21.5,-0.8,-0.2,0.98,-0.3
Moderate,Open,50,75,7.0,63,22.2,19.0,28.7,21.5,-6.5,-2.4,0.87,0.08
Moderate,Open,50,75,8.0,54,22.2,27.8,28.7,21.5,-6.5,6.3,0.6,0.22
Moderate,Open,50,75,9.0,66,36.4,21.2,28.7,21.5,7.7,-0.3,1.28,-0.62
Moderate,Positioning,25,50,1.0,33,24.2,18.2,22.7,22.6,1.6,-4.4,1.33,-0.09
Moderate,Positioning,25,50,2.0,31,16.1,6.5,22.7,22.6,-6.5,-16.1,2.49,-0.56
Moderate,Positioning,25,50,3.0,31,29.0,9.7,22.7,22.6,6.4,-12.9,2.99,-0.91
Moderate,Positioning,50,50,1.0,46,21.7,21.7,22.7,22.6,-0.9,-0.8,1.0,0.05
Moderate,Positioning,50,50,2.0,61,21.3,24.6,22.7,22.6,-1.4,2.0,0.86,0.14
Moderate,Positioning,50,50,3.0,48,22.9,16.7,22.7,22.6,0.2,-5.9,1.37,-0.06
Moderate,Positioning,50,50,4.0,42,16.7,28.6,22.7,22.6,-6.0,6.0,0.58,0.4
Moderate,Positioning,50,50,5.0,34,20.6,23.5,22.7,22.6,-2.1,0.9,0.87,0.37
Moderate,Positioning,50,50,6.0,38,31.6,28.9,22.7,22.6,8.9,6.4,1.09,-0.39
Moderate,Positioning,50,50,7.0,54,16.7,31.5,22.7,22.6,-6.0,8.9,0.53,0.62
