color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Yellow,Calm,50,25,193,32.1,16.6,26.5,22.5,5.6,-5.9,1.65,-0.59
Yellow,Calm,50,50,3343,26.4,22.3,26.5,22.5,-0.1,-0.2,1.0,-0.06
Yellow,Calm,50,75,2299,26.5,23.5,26.5,22.5,0.0,1.0,0.96,-0.01
Yellow,Calm,75,50,895,26.3,23.1,26.5,22.5,-0.2,0.6,0.96,-0.03
Yellow,Calm,75,75,64,31.3,20.3,26.5,22.5,4.8,-2.2,1.31,-0.52
Yellow,Moderate,25,25,305,24.3,19.0,26.1,22.6,-1.8,-3.6,1.11,-0.08
Yellow,Moderate,25,50,892,24.7,24.2,26.1,22.6,-1.4,1.6,0.88,0.04
Yellow,Moderate,25,75,487,27.3,23.2,26.1,22.6,1.3,0.6,1.02,-0.18
Yellow,Moderate,50,25,182,27.5,19.2,26.1,22.6,1.4,-3.4,1.24,-0.11
Yellow,Moderate,50,50,2408,24.8,22.3,26.1,22.6,-1.3,-0.3,0.96,-0.01
Yellow,Moderate,50,75,1489,24.8,22.8,26.1,22.6,-1.2,0.2,0.94,0.07
Yellow,Moderate,75,50,703,26.6,21.1,26.1,22.6,0.5,-1.6,1.1,-0.22
Yellow,Moderate,75,75,31,35.5,16.1,26.1,22.6,9.4,-6.5,1.91,-0.6
Yellow,Tough,25,25,35,28.6,34.3,24.0,23.9,4.6,10.4,0.83,-0.01
Yellow,Tough,25,50,76,23.7,19.7,24.0,23.9,-0.3,-4.2,1.19,-0.24
Yellow,Tough,25,75,44,25.0,22.7,24.0,23.9,1.0,-1.2,1.09,-0.17
Yellow,Tough,50,50,182,24.2,20.9,24.0,23.9,0.2,-3.0,1.15,-0.19
Yellow,Tough,50,75,199,22.1,25.1,24.0,23.9,-1.9,1.2,0.88,0.1
Yellow,Tough,75,50,34,5.9,20.6,24.0,23.9,-18.1,-3.3,0.28,0.92
