condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Survival,Orange,Earth,230,27.8,22.6,26.1,23.0,1.8,-0.4,1.09,-0.09
Calm,Survival,Orange,Fire,216,24.5,26.4,26.1,23.0,-1.5,3.3,0.82,0.06
Calm,Survival,Orange,Metal,210,28.1,25.7,26.1,23.0,2.0,2.7,0.97,0.04
Calm,Survival,Orange,Wood,150,25.3,20.0,26.1,23.0,-0.7,-3.0,1.12,-0.13
Calm,Survival,Purple,Earth,146,27.4,15.8,26.1,23.0,1.3,-7.3,1.54,-0.48
Calm,Survival,Purple,Fire,166,28.3,18.7,26.1,23.0,2.3,-4.4,1.34,-0.38
Calm,Survival,Purple,Metal,140,20.7,20.7,26.1,23.0,-5.3,-2.3,0.88,0.31
Calm,Survival,Purple,Wood,116,23.3,20.7,26.1,23.0,-2.8,-2.4,0.99,-0.06
Calm,Survival,Red,Earth,43,23.3,30.2,26.1,23.0,-2.8,7.2,0.68,0.23
Calm,Survival,Red,Fire,65,30.8,18.5,26.1,23.0,4.7,-4.6,1.47,-0.31
Calm,Survival,Red,Metal,33,33.3,30.3,26.1,23.0,7.3,7.3,0.97,0.16
Calm,Survival,Red,Wood,31,38.7,12.9,26.1,23.0,12.7,-10.1,2.65,-0.73
Calm,Survival,Yellow,Earth,374,25.7,21.7,26.1,23.0,-0.4,-1.4,1.05,-0.03
Calm,Survival,Yellow,Fire,552,27.2,23.2,26.1,23.0,1.1,0.1,1.04,-0.05
Calm,Survival,Yellow,Metal,342,24.3,22.2,26.1,23.0,-1.8,-0.8,0.97,0.01
Calm,Survival,Yellow,Wood,367,23.2,25.9,26.1,23.0,-2.9,2.8,0.79,0.23
