condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Open,50,75,SAGITTARIUS,68,27.9,26.5,28.3,23.0,-0.4,3.5,0.86,0.2
Calm,Open,50,75,SCORPIO,72,30.6,27.8,28.3,23.0,2.2,4.8,0.89,-0.06
Calm,Open,50,75,TAURUS,39,41.0,7.7,28.3,23.0,12.7,-15.3,4.32,-1.31
Calm,Open,50,75,VIRGO,60,41.7,21.7,28.3,23.0,13.3,-1.3,1.56,-0.59
Calm,Open,75,50,ARIES,33,27.3,12.1,28.3,23.0,-1.1,-10.8,1.82,-0.47
Calm,Open,75,50,CANCER,33,27.3,21.2,28.3,23.0,-1.1,-1.8,1.04,-0.25
Calm,Open,75,50,GEMINI,36,22.2,19.4,28.3,23.0,-6.1,-3.5,0.93,-0.23
Calm,Open,75,50,PISCES,47,23.4,21.3,28.3,23.0,-4.9,-1.7,0.89,-0.09
Calm,Open,75,50,SAGITTARIUS,35,22.9,22.9,28.3,23.0,-5.5,-0.1,0.81,-0.09
Calm,Open,75,50,SCORPIO,43,27.9,23.3,28.3,23.0,-0.4,0.3,0.97,-0.09
Calm,Open,75,50,VIRGO,39,30.8,23.1,28.3,23.0,2.4,0.1,1.08,0.11
Calm,Positioning,25,50,ARIES,31,29.0,3.2,23.1,22.9,5.9,-19.7,8.93,-1.0
Calm,Positioning,25,50,CANCER,44,29.5,25.0,23.1,22.9,6.4,2.1,1.17,-0.23
Calm,Positioning,25,50,CAPRICORN,34,14.7,38.2,23.1,22.9,-8.4,15.3,0.38,0.5
Calm,Positioning,25,50,GEMINI,39,25.6,28.2,23.1,22.9,2.5,5.3,0.9,0.11
Calm,Positioning,25,50,LEO,40,17.5,20.0,23.1,22.9,-5.6,-2.9,0.87,-0.34
Calm,Positioning,25,50,PISCES,47,19.1,34.0,23.1,22.9,-4.0,11.1,0.56,0.76
Calm,Positioning,25,50,SCORPIO,41,31.7,14.6,23.1,22.9,8.6,-8.3,2.15,-0.62
Calm,Positioning,25,50,VIRGO,30,26.7,20.0,23.1,22.9,3.5,-2.9,1.32,-0.69
Calm,Positioning,25,75,PISCES,31,22.6,12.9,23.1,22.9,-0.5,-10.0,1.74,0.1
Calm,Positioning,50,50,AQUARIUS,47,25.5,25.5,23.1,22.9,2.4,2.6,0.99,-0.19
Calm,Positioning,50,50,ARIES,56,33.9,19.6,23.1,22.9,10.8,-3.3,1.71,-0.33
Calm,Positioning,50,50,CANCER,70,30.0,18.6,23.1,22.9,6.9,-4.4,1.6,-0.34
Calm,Positioning,50,50,CAPRICORN,48,14.6,41.7,23.1,22.9,-8.5,18.7,0.35,1.13
Calm,Positioning,50,50,GEMINI,71,28.2,23.9,23.1,22.9,5.0,1.0,1.17,-0.1
Calm,Positioning,50,50,LEO,76,32.9,26.3,23.1,22.9,9.8,3.4,1.24,-0.11
Calm,Positioning,50,50,PISCES,73,28.8,23.3,23.1,22.9,5.6,0.3,1.23,-0.23
Calm,Positioning,50,50,SAGITTARIUS,59,11.9,28.8,23.1,22.9,-11.3,5.9,0.41,0.67
Calm,Positioning,50,50,SCORPIO,63,23.8,23.8,23.1,22.9,0.7,0.9,0.99,0.03
Calm,Positioning,50,50,TAURUS,35,31.4,17.1,23.1,22.9,8.3,-5.8,1.82,-0.84
Calm,Positioning,50,50,VIRGO,49,14.3,16.3,23.1,22.9,-8.8,-6.6,0.87,-0.07
Calm,Positioning,50,75,AQUARIUS,30,6.7,30.0,23.1,22.9,-16.5,7.1,0.22,0.68
Calm,Positioning,50,75,ARIES,45,15.6,37.8,23.1,22.9,-7.6,14.8,0.41,0.84
Calm,Positioning,50,75,CANCER,52,28.8,21.2,23.1,22.9,5.7,-1.8,1.35,-0.14
Calm,Positioning,50,75,CAPRICORN,38,18.4,39.5,23.1,22.9,-4.7,16.5,0.46,0.47
Calm,Positioning,50,75,GEMINI,49,12.2,30.6,23.1,22.9,-10.9,7.7,0.4,0.79
