condition,round_type,color,element,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Open,Blue,Metal,0,104,26.9,24.0,28.5,20.8,-1.6,3.2,0.82,-0.03
Calm,Open,Blue,Water,-30,34,23.5,14.7,28.5,20.8,-5.0,-6.1,1.17,-0.65
Calm,Open,Blue,Water,-20,43,27.9,14.0,28.5,20.8,-0.6,-6.9,1.46,-0.63
Calm,Open,Blue,Water,-10,52,23.1,15.4,28.5,20.8,-5.4,-5.4,1.09,-0.33
Calm,Open,Blue,Water,0,100,31.0,16.0,28.5,20.8,2.5,-4.8,1.41,-0.53
Calm,Open,Blue,Wood,-30,36,22.2,36.1,28.5,20.8,-6.3,15.3,0.45,0.92
Calm,Open,Blue,Wood,-20,50,30.0,22.0,28.5,20.8,1.5,1.2,1.0,-0.18
Calm,Open,Blue,Wood,-10,39,28.2,23.1,28.5,20.8,-0.3,2.3,0.89,-0.12
Calm,Open,Blue,Wood,0,100,32.0,18.0,28.5,20.8,3.5,-2.8,1.3,-0.4
Calm,Open,Green,Earth,-20,44,34.1,13.6,28.5,20.8,5.6,-7.2,1.82,-0.51
Calm,Open,Green,Earth,-10,36,16.7,19.4,28.5,20.8,-11.8,-1.4,0.63,0.0
Calm,Open,Green,Earth,0,89,30.3,22.5,28.5,20.8,1.8,1.7,0.99,-0.21
Calm,Open,Green,Fire,-20,43,39.5,20.9,28.5,20.8,11.0,0.1,1.38,-0.76
Calm,Open,Green,Fire,-10,61,21.3,23.0,28.5,20.8,-7.2,2.1,0.68,0.16
Calm,Open,Green,Fire,0,112,29.5,21.4,28.5,20.8,1.0,0.6,1.0,-0.08
Calm,Open,Green,Metal,-20,30,26.7,30.0,28.5,20.8,-1.8,9.2,0.65,-0.03
Calm,Open,Green,Metal,-10,36,36.1,19.4,28.5,20.8,7.6,-1.4,1.36,-0.2
Calm,Open,Green,Metal,0,94,27.7,28.7,28.5,20.8,-0.8,7.9,0.7,0.11
Calm,Open,Green,Water,-20,32,46.9,21.9,28.5,20.8,18.4,1.1,1.56,-1.1
Calm,Open,Green,Water,-10,39,28.2,15.4,28.5,20.8,-0.3,-5.4,1.34,-0.27
Calm,Open,Green,Water,0,66,33.3,15.2,28.5,20.8,4.8,-5.7,1.61,-0.76
Calm,Open,Green,Wood,-10,30,10.0,40.0,28.5,20.8,-18.5,19.2,0.18,0.83
Calm,Open,Green,Wood,0,71,25.4,22.5,28.5,20.8,-3.1,1.7,0.82,-0.26
Calm,Open,Orange,Earth,-40,36,33.3,8.3,28.5,20.8,4.8,-12.5,2.92,-0.98
Calm,Open,Orange,Earth,-30,56,32.1,16.1,28.5,20.8,3.6,-4.7,1.46,-0.99
Calm,Open,Orange,Earth,-20,71,18.3,19.7,28.5,20.8,-10.2,-1.1,0.68,0.4
Calm,Open,Orange,Earth,-10,42,31.0,21.4,28.5,20.8,2.5,0.6,1.05,-0.72
Calm,Open,Orange,Earth,0,83,25.3,19.3,28.5,20.8,-3.2,-1.5,0.96,-0.01
Calm,Open,Orange,Fire,-40,45,26.7,20.0,28.5,20.8,-1.8,-0.8,0.97,0.12
Calm,Open,Orange,Fire,-30,62,25.8,24.2,28.5,20.8,-2.7,3.4,0.78,0.01
Calm,Open,Orange,Fire,-20,61,24.6,23.0,28.5,20.8,-3.9,2.1,0.78,-0.0
Calm,Open,Orange,Fire,-10,39,20.5,28.2,28.5,20.8,-8.0,7.4,0.53,0.49
Calm,Open,Orange,Fire,0,90,32.2,15.6,28.5,20.8,3.7,-5.2,1.51,-0.65
Calm,Open,Orange,Metal,-30,49,32.7,28.6,28.5,20.8,4.2,7.8,0.83,0.0
Calm,Open,Orange,Metal,-20,73,20.5,23.3,28.5,20.8,-8.0,2.5,0.64,0.12
Calm,Open,Orange,Metal,-10,35,37.1,11.4,28.5,20.8,8.6,-9.4,2.37,-1.07
Calm,Open,Orange,Metal,0,68,27.9,16.2,28.5,20.8,-0.6,-4.6,1.26,-0.43
Calm,Open,Orange,Water,-30,55,41.8,12.7,28.5,20.8,13.3,-8.1,2.4,-1.09
Calm,Open,Orange,Water,-20,62,30.6,9.7,28.5,20.8,2.1,-11.1,2.31,-0.81
Calm,Open,Orange,Water,-10,40,35.0,17.5,28.5,20.8,6.5,-3.3,1.46,-0.7
Calm,Open,Orange,Water,0,83,30.1,21.7,28.5,20.8,1.6,0.9,1.01,-0.29
Calm,Open,Orange,Wood,-40,32,25.0,21.9,28.5,20.8,-3.5,1.1,0.83,0.08
Calm,Open,Orange,Wood,-30,46,28.3,23.9,28.5,20.8,-0.2,3.1,0.86,-0.05
Calm,Open,Orange,Wood,-20,39,25.6,25.6,28.5,20.8,-2.9,4.8,0.73,0.26
Calm,Open,Orange,Wood,-10,40,35.0,12.5,28.5,20.8,6.5,-8.3,2.04,-0.81
Calm,Open,Orange,Wood,0,50,26.0,28.0,28.5,20.8,-2.5,7.2,0.68,0.28
Calm,Open,Purple,Earth,-20,39,30.8,12.8,28.5,20.8,2.3,-8.0,1.75,-0.65
Calm,Open,Purple,Earth,-10,49,28.6,14.3,28.5,20.8,0.1,-6.5,1.46,-0.86
Calm,Open,Purple,Earth,0,107,32.7,23.4,28.5,20.8,4.2,2.6,1.02,-0.39
Calm,Open,Purple,Fire,-20,43,27.9,18.6,28.5,20.8,-0.6,-2.2,1.09,-0.14
Calm,Open,Purple,Fire,-10,61,26.2,24.6,28.5,20.8,-2.3,3.8,0.78,0.31
Calm,Open,Purple,Fire,0,165,27.9,21.2,28.5,20.8,-0.6,0.4,0.96,-0.11
Calm,Open,Purple,Metal,-20,36,33.3,30.6,28.5,20.8,4.8,9.8,0.8,0.06
Calm,Open,Purple,Metal,-10,51,19.6,27.5,28.5,20.8,-8.9,6.6,0.52,0.48
Calm,Open,Purple,Metal,0,83,27.7,25.3,28.5,20.8,-0.8,4.5,0.8,-0.07
Calm,Open,Purple,Water,-20,41,39.0,4.9,28.5,20.8,10.5,-15.9,5.84,-1.28
Calm,Open,Purple,Water,-10,54,24.1,27.8,28.5,20.8,-4.4,7.0,0.63,0.23
Calm,Open,Purple,Water,0,76,31.6,19.7,28.5,20.8,3.1,-1.1,1.17,-0.29
Calm,Open,Purple,Wood,-20,39,25.6,20.5,28.5,20.8,-2.9,-0.3,0.91,0.26
Calm,Open,Purple,Wood,-10,37,29.7,24.3,28.5,20.8,1.2,3.5,0.89,-0.12
Calm,Open,Purple,Wood,0,76,31.6,27.6,28.5,20.8,3.1,6.8,0.83,-0.06
Calm,Open,Red,Fire,0,40,20.0,30.0,28.5,20.8,-8.5,9.2,0.49,0.6
Calm,Open,Yellow,Earth,-30,53,37.7,15.1,28.5,20.8,9.2,-5.7,1.82,-0.51
Calm,Open,Yellow,Earth,-20,93,41.9,10.8,28.5,20.8,13.4,-10.1,2.85,-1.24
Calm,Open,Yellow,Earth,-10,106,34.9,21.7,28.5,20.8,6.4,0.9,1.17,-0.52
Calm,Open,Yellow,Earth,0,226,37.2,18.6,28.5,20.8,8.7,-2.2,1.46,-0.61
Calm,Open,Yellow,Fire,-40,34,17.6,17.6,28.5,20.8,-10.9,-3.2,0.73,0.47
Calm,Open,Yellow,Fire,-30,75,30.7,16.0,28.5,20.8,2.2,-4.8,1.4,-0.64
Calm,Open,Yellow,Fire,-20,151,23.8,27.2,28.5,20.8,-4.7,6.3,0.64,0.23
Calm,Open,Yellow,Fire,-10,189,26.5,22.8,28.5,20.8,-2.0,1.9,0.85,0.03
Calm,Open,Yellow,Fire,0,285,29.5,17.2,28.5,20.8,1.0,-3.6,1.25,-0.3
Calm,Open,Yellow,Fire,10,35,28.6,17.1,28.5,20.8,0.1,-3.7,1.22,-0.44
Calm,Open,Yellow,Metal,-30,33,39.4,18.2,28.5,20.8,10.9,-2.6,1.58,-0.45
Calm,Open,Yellow,Metal,-20,88,28.4,26.1,28.5,20.8,-0.1,5.3,0.79,-0.1
Calm,Open,Yellow,Metal,-10,92,23.9,22.8,28.5,20.8,-4.6,2.0,0.76,0.22
Calm,Open,Yellow,Metal,0,193,32.6,20.2,28.5,20.8,4.1,-0.6,1.18,-0.45
Calm,Open,Yellow,Metal,10,33,27.3,12.1,28.5,20.8,-1.2,-8.7,1.64,-0.27
Calm,Open,Yellow,Water,-30,48,33.3,20.8,28.5,20.8,4.8,0.0,1.17,-0.64
Calm,Open,Yellow,Water,-20,88,31.8,25.0,28.5,20.8,3.3,4.2,0.93,-0.24
Calm,Open,Yellow,Water,-10,117,30.8,18.8,28.5,20.8,2.3,-2.0,1.19,-0.4
Calm,Open,Yellow,Water,0,199,30.2,17.6,28.5,20.8,1.6,-3.2,1.25,-0.39
Calm,Open,Yellow,Wood,-30,38,31.6,31.6,28.5,20.8,3.1,10.8,0.73,0.34
Calm,Open,Yellow,Wood,-20,91,30.8,19.8,28.5,20.8,2.3,-1.0,1.14,-0.35
Calm,Open,Yellow,Wood,-10,118,29.7,22.0,28.5,20.8,1.2,1.2,0.98,-0.41
Calm,Open,Yellow,Wood,0,202,29.2,17.3,28.5,20.8,0.7,-3.5,1.23,-0.42
Calm,Positioning,Blue,Earth,-10,38,15.8,28.9,24.9,21.6,-9.1,7.3,0.47,0.34
Calm,Positioning,Blue,Earth,0,65,27.7,15.4,24.9,21.6,2.8,-6.2,1.56,-0.54
Calm,Positioning,Blue,Fire,-20,43,27.9,23.3,24.9,21.6,3.0,1.6,1.04,0.11
Calm,Positioning,Blue,Fire,-10,65,26.2,27.7,24.9,21.6,1.2,6.1,0.82,-0.13
Calm,Positioning,Blue,Fire,0,74,33.8,17.6,24.9,21.6,8.9,-4.0,1.67,-0.16
Calm,Positioning,Blue,Metal,-10,55,18.2,21.8,24.9,21.6,-6.7,0.2,0.72,0.3
Calm,Positioning,Blue,Metal,0,57,24.6,22.8,24.9,21.6,-0.4,1.2,0.93,-0.18
Calm,Positioning,Blue,Water,-20,38,18.4,26.3,24.9,21.6,-6.5,4.7,0.61,0.27
Calm,Positioning,Blue,Water,-10,37,24.3,10.8,24.9,21.6,-0.6,-10.8,1.95,-0.3
Calm,Positioning,Blue,Water,0,55,25.5,27.3,24.9,21.6,0.5,5.7,0.81,0.13
Calm,Positioning,Blue,Wood,-10,46,21.7,26.1,24.9,21.6,-3.2,4.5,0.72,0.12
Calm,Positioning,Blue,Wood,0,52,28.8,13.5,24.9,21.6,3.9,-8.1,1.86,-0.35
Calm,Positioning,Green,Earth,0,56,33.9,16.1,24.9,21.6,9.0,-5.5,1.83,-0.82
Calm,Positioning,Green,Fire,-10,45,28.9,8.9,24.9,21.6,4.0,-12.7,2.82,-0.69
Calm,Positioning,Green,Fire,0,62,21.0,22.6,24.9,21.6,-3.9,1.0,0.81,0.24
Calm,Positioning,Green,Metal,0,45,26.7,13.3,24.9,21.6,1.8,-8.3,1.73,-0.26
Calm,Positioning,Green,Water,0,38,23.7,28.9,24.9,21.6,-1.2,7.3,0.71,0.19
Calm,Positioning,Green,Wood,0,41,24.4,17.1,24.9,21.6,-0.5,-4.5,1.24,-0.25
Calm,Positioning,Orange,Earth,-30,42,14.3,26.2,24.9,21.6,-10.6,4.6,0.47,0.19
Calm,Positioning,Orange,Earth,-20,41,43.9,17.1,24.9,21.6,19.0,-4.5,2.23,-0.57
Calm,Positioning,Orange,Earth,-10,43,25.6,30.2,24.9,21.6,0.7,8.6,0.73,0.11
Calm,Positioning,Orange,Earth,0,58,17.2,19.0,24.9,21.6,-7.7,-2.6,0.79,-0.14
Calm,Positioning,Orange,Fire,-30,34,23.5,26.5,24.9,21.6,-1.4,4.9,0.77,0.44
Calm,Positioning,Orange,Fire,-20,35,22.9,25.7,24.9,21.6,-2.1,4.1,0.77,0.14
Calm,Positioning,Orange,Fire,-10,47,21.3,27.7,24.9,21.6,-3.6,6.1,0.67,0.29
Calm,Positioning,Orange,Fire,0,57,38.6,21.1,24.9,21.6,13.7,-0.6,1.59,-0.65
Calm,Positioning,Orange,Metal,-30,32,21.9,25.0,24.9,21.6,-3.0,3.4,0.76,0.15
Calm,Positioning,Orange,Metal,-20,32,21.9,21.9,24.9,21.6,-3.0,0.3,0.87,0.04
Calm,Positioning,Orange,Metal,-10,40,22.5,25.0,24.9,21.6,-2.4,3.4,0.78,0.3
Calm,Positioning,Orange,Metal,0,34,35.3,41.2,24.9,21.6,10.4,19.6,0.74,0.37
Calm,Positioning,Orange,Water,-20,34,20.6,14.7,24.9,21.6,-4.3,-6.9,1.21,0.11
Calm,Positioning,Orange,Water,-10,43,30.2,23.3,24.9,21.6,5.3,1.6,1.13,-0.27
Calm,Positioning,Orange,Water,0,46,39.1,23.9,24.9,21.6,14.2,2.3,1.42,-0.3
Calm,Positioning,Orange,Wood,-30,35,31.4,20.0,24.9,21.6,6.5,-1.6,1.36,-0.41
Calm,Positioning,Orange,Wood,0,39,25.6,17.9,24.9,21.6,0.7,-3.7,1.24,-0.33
Calm,Positioning,Purple,Earth,-10,43,25.6,16.3,24.9,21.6,0.7,-5.3,1.36,-0.36
Calm,Positioning,Purple,Earth,0,74,27.0,18.9,24.9,21.6,2.1,-2.7,1.24,-0.44
Calm,Positioning,Purple,Fire,-10,31,22.6,19.4,24.9,21.6,-2.3,-2.3,1.01,-0.42
Calm,Positioning,Purple,Fire,0,79,21.5,21.5,24.9,21.6,-3.4,-0.1,0.87,0.14
Calm,Positioning,Purple,Metal,-10,39,20.5,25.6,24.9,21.6,-4.4,4.0,0.69,0.3
Calm,Positioning,Purple,Metal,0,40,40.0,17.5,24.9,21.6,15.1,-4.1,1.98,-0.71
Calm,Positioning,Purple,Water,0,49,22.4,16.3,24.9,21.6,-2.5,-5.3,1.19,-0.09
Calm,Positioning,Purple,Wood,-10,35,28.6,5.7,24.9,21.6,3.7,-15.9,4.34,-0.75
Calm,Positioning,Purple,Wood,0,50,22.0,18.0,24.9,21.6,-2.9,-3.6,1.06,-0.1
Calm,Positioning,Yellow,Earth,-30,34,20.6,32.4,24.9,21.6,-4.3,10.7,0.55,0.37
Calm,Positioning,Yellow,Earth,-20,49,26.5,18.4,24.9,21.6,1.6,-3.2,1.25,-0.18
Calm,Positioning,Yellow,Earth,-10,106,25.5,20.8,24.9,21.6,0.6,-0.9,1.06,-0.11
Calm,Positioning,Yellow,Earth,0,108,25.0,23.1,24.9,21.6,0.1,1.5,0.94,-0.12
Calm,Positioning,Yellow,Fire,-30,35,25.7,22.9,24.9,21.6,0.8,1.2,0.98,-0.09
Calm,Positioning,Yellow,Fire,-20,61,24.6,14.8,24.9,21.6,-0.3,-6.9,1.45,-0.16
Calm,Positioning,Yellow,Fire,-10,122,23.0,18.9,24.9,21.6,-2.0,-2.8,1.06,-0.25
Calm,Positioning,Yellow,Fire,0,171,25.1,29.2,24.9,21.6,0.2,7.6,0.75,0.26
Calm,Positioning,Yellow,Fire,10,31,29.0,12.9,24.9,21.6,4.1,-8.7,1.95,-0.7
Calm,Positioning,Yellow,Metal,-20,32,21.9,31.3,24.9,21.6,-3.0,9.6,0.61,0.37
Calm,Positioning,Yellow,Metal,-10,59,23.7,23.7,24.9,21.6,-1.2,2.1,0.87,0.09
Calm,Positioning,Yellow,Metal,0,109,17.4,26.6,24.9,21.6,-7.5,5.0,0.57,0.21
Calm,Positioning,Yellow,Water,-30,37,27.0,29.7,24.9,21.6,2.1,8.1,0.79,-0.24
Calm,Positioning,Yellow,Water,-20,50,24.0,12.0,24.9,21.6,-0.9,-9.6,1.73,-0.36
Calm,Positioning,Yellow,Water,-10,82,24.4,12.2,24.9,21.6,-0.5,-9.4,1.73,-0.53
Calm,Positioning,Yellow,Water,0,135,29.6,17.0,24.9,21.6,4.7,-4.6,1.51,-0.48
Calm,Positioning,Yellow,Wood,-20,38,31.6,21.1,24.9,21.6,6.7,-0.6,1.3,0.0
Calm,Positioning,Yellow,Wood,-10,79,25.3,25.3,24.9,21.6,0.4,3.7,0.87,-0.05
Calm,Positioning,Yellow,Wood,0,112,20.5,20.5,24.9,21.6,-4.4,-1.1,0.87,-0.08
Calm,REMOVE,Blue,Earth,-10,33,18.2,36.4,25.7,29.5,-7.6,6.8,0.57,0.86
Calm,REMOVE,Blue,Earth,0,30,36.7,16.7,25.7,29.5,10.9,-12.9,2.52,-0.59
Calm,REMOVE,Blue,Fire,-10,57,14.0,36.8,25.7,29.5,-11.7,7.3,0.44,0.93
Calm,REMOVE,Blue,Fire,0,50,20.0,34.0,25.7,29.5,-5.7,4.5,0.67,0.31
Calm,REMOVE,Blue,Metal,-10,31,19.4,22.6,25.7,29.5,-6.4,-6.9,0.98,0.18
Calm,REMOVE,Blue,Metal,0,33,42.4,21.2,25.7,29.5,16.7,-8.3,2.29,-0.59
Calm,REMOVE,Blue,Water,-10,34,23.5,35.3,25.7,29.5,-2.2,5.8,0.76,0.67
Calm,REMOVE,Blue,Water,0,31,12.9,35.5,25.7,29.5,-12.8,6.0,0.42,1.58
Calm,REMOVE,Orange,Earth,-10,31,9.7,51.6,25.7,29.5,-16.1,22.1,0.22,1.72
Calm,REMOVE,Orange,Fire,-20,30,40.0,20.0,25.7,29.5,14.3,-9.5,2.29,-0.65
Calm,REMOVE,Orange,Fire,-10,34,38.2,26.5,25.7,29.5,12.5,-3.1,1.66,-0.33
Calm,REMOVE,Orange,Metal,-10,42,23.8,23.8,25.7,29.5,-1.9,-5.7,1.15,-0.12
Calm,REMOVE,Orange,Water,-20,33,15.2,24.2,25.7,29.5,-10.6,-5.3,0.72,-0.08
Calm,REMOVE,Orange,Water,-10,31,19.4,35.5,25.7,29.5,-6.4,6.0,0.63,-0.14
Calm,REMOVE,Orange,Wood,-10,32,21.9,31.3,25.7,29.5,-3.9,1.7,0.8,0.44
Calm,REMOVE,Yellow,Earth,-20,32,34.4,31.3,25.7,29.5,8.6,1.7,1.26,-0.14
Calm,REMOVE,Yellow,Earth,-10,55,30.9,32.7,25.7,29.5,5.2,3.2,1.08,0.17
Calm,REMOVE,Yellow,Earth,0,48,25.0,33.3,25.7,29.5,-0.7,3.8,0.86,0.95
Calm,REMOVE,Yellow,Fire,-20,57,24.6,19.3,25.7,29.5,-1.2,-10.2,1.46,-0.36
Calm,REMOVE,Yellow,Fire,-10,68,30.9,33.8,25.7,29.5,5.1,4.3,1.05,0.09
Calm,REMOVE,Yellow,Fire,0,62,17.7,30.6,25.7,29.5,-8.0,1.1,0.66,1.06
Calm,REMOVE,Yellow,Metal,-10,69,30.4,31.9,25.7,29.5,4.7,2.4,1.09,0.94
Calm,REMOVE,Yellow,Metal,0,51,25.5,33.3,25.7,29.5,-0.2,3.8,0.88,0.85
Calm,REMOVE,Yellow,Water,-10,53,24.5,34.0,25.7,29.5,-1.2,4.4,0.83,0.81
Calm,REMOVE,Yellow,Water,0,60,21.7,23.3,25.7,29.5,-4.1,-6.2,1.07,0.03
Calm,REMOVE,Yellow,Wood,-20,30,40.0,20.0,25.7,29.5,14.3,-9.5,2.29,-0.75
Calm,REMOVE,Yellow,Wood,-10,40,25.0,35.0,25.7,29.5,-0.7,5.5,0.82,0.61
Calm,REMOVE,Yellow,Wood,0,48,29.2,22.9,25.7,29.5,3.4,-6.6,1.46,0.04
Calm,Survival,Blue,Earth,-20,37,27.0,40.5,26.6,22.5,0.4,18.1,0.56,0.64
Calm,Survival,Blue,Earth,-10,55,29.1,18.2,26.6,22.5,2.5,-4.3,1.35,-0.52
