color,condition,exec_bucket,upside_bucket,round_type,n,good_pct,bad_pct,good_edge,ratio,combo_overall_ratio
Yellow,Moderate,75,50,Positioning,41,12.2,31.7,-7.9,0.58,0.63
Yellow,Moderate,75,50,Survival,66,13.6,28.8,-6.5,0.71,0.63
Orange,Moderate,25,75,Open,27,11.1,22.2,-6.5,0.69,0.64
Orange,Moderate,25,75,Survival,24,25.0,33.3,7.4,1.04,0.64
Orange,Moderate,50,50,Closing,22,18.2,13.6,-8.2,0.86,1.35
Orange,Moderate,50,50,Open,59,33.9,16.9,7.5,1.29,1.35
Orange,Moderate,50,50,Survival,32,21.9,21.9,-4.5,0.65,1.35
Green,Moderate,25,75,Open,24,54.2,12.5,22.4,2.82,1.34
Yellow,Moderate,50,25,Closing,25,12.0,16.0,-6.8,1.0,0.67
Yellow,Moderate,50,25,Survival,31,19.4,29.0,0.6,0.89,0.67
Purple,Moderate,25,75,Open,20,50.0,10.0,22.7,3.33,1.27
Yellow,Moderate,50,75,Closing,107,21.5,20.6,-6.5,0.74,1.27
Yellow,Moderate,50,75,Open,226,29.2,19.9,1.2,1.03,1.27
Yellow,Moderate,50,75,Positioning,76,25.0,19.7,-3.0,0.89,1.27
Yellow,Moderate,50,75,Survival,144,32.6,18.8,4.6,1.22,1.27
Orange,Calm,50,50,Closing,68,16.2,25.0,-12.4,0.41,1.24
Orange,Calm,50,50,Open,90,34.4,14.4,5.9,1.51,1.24
Orange,Calm,50,50,Positioning,39,23.1,23.1,-5.5,0.63,1.24
Orange,Calm,50,50,Survival,41,41.5,9.8,12.9,2.69,1.24
Purple,Calm,25,50,Closing,48,31.3,27.1,0.4,0.85,1.24
Purple,Calm,25,50,Open,86,32.6,17.4,1.7,1.38,1.24
Purple,Calm,25,50,Positioning,55,25.5,30.9,-5.4,0.61,1.24
Purple,Calm,25,50,Survival,83,32.5,20.5,1.6,1.17,1.24
Green,Moderate,25,50,Closing,20,30.0,10.0,-0.7,1.78,1.24
Green,Moderate,25,50,Open,34,38.2,29.4,7.6,0.77,1.24
Green,Moderate,25,50,Positioning,27,18.5,14.8,-12.2,0.74,1.24
Yellow,Tough,50,75,Survival,76,17.1,21.1,-1.8,0.93,0.76
Yellow,Calm,75,50,Closing,106,30.2,15.1,1.7,1.32,1.24
Yellow,Calm,75,50,Open,132,23.5,22.0,-5.0,0.71,1.24
Yellow,Calm,75,50,Positioning,98,31.6,17.3,3.2,1.21,1.24
Yellow,Calm,75,50,Survival,142,29.6,19.7,1.1,0.99,1.24
Orange,Calm,25,75,Closing,41,29.3,24.4,2.3,0.83,1.24
Orange,Calm,25,75,Open,73,31.5,11.0,4.5,1.98,1.24
Orange,Calm,25,75,Positioning,42,14.3,26.2,-12.7,0.38,1.24
Orange,Calm,25,75,Survival,59,28.8,18.6,1.8,1.07,1.24
Green,Moderate,50,50,Closing,50,28.0,24.0,-1.8,0.82,1.23
Green,Moderate,50,50,Open,127,34.6,23.6,4.8,1.03,1.23
Green,Moderate,50,50,Positioning,69,26.1,10.1,-3.7,1.8,1.23
Green,Moderate,50,50,Survival,66,25.8,24.2,-4.1,0.74,1.23
Yellow,Tough,50,50,Positioning,44,13.6,20.5,-12.0,0.48,1.22
Blue,Moderate,25,25,Survival,33,36.4,24.2,6.4,1.67,0.79
Green,Calm,75,50,Closing,24,12.5,25.0,-8.8,0.55,0.79
Green,Calm,75,50,Open,44,27.3,31.8,6.0,0.95,0.79
Green,Calm,75,50,Positioning,31,25.8,22.6,4.5,1.27,0.79
Green,Calm,75,50,Survival,75,18.7,18.7,-2.6,1.11,0.79
Blue,Moderate,50,50,Closing,75,25.3,20.0,-3.0,0.94,1.21
Blue,Moderate,50,50,Open,104,26.9,23.1,-1.4,0.87,1.21
Blue,Moderate,50,50,Positioning,74,27.0,21.6,-1.3,0.93,1.21
Blue,Moderate,50,50,Survival,135,31.9,20.0,3.5,1.19,1.21
Purple,Calm,25,25,Open,38,31.6,31.6,5.3,1.1,0.8
Purple,Calm,25,25,Positioning,29,17.2,20.7,-9.0,0.91,0.8
Purple,Calm,25,25,Survival,39,25.6,38.5,-0.6,0.73,0.8
Blue,Moderate,50,75,Closing,63,20.6,23.8,-2.4,0.92,0.8
Blue,Moderate,50,75,Open,133,23.3,22.6,0.2,1.09,0.8
Blue,Moderate,50,75,Positioning,24,16.7,33.3,-6.4,0.53,0.8
Blue,Moderate,50,75,Survival,79,26.6,25.3,3.5,1.11,0.8
