condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Survival,Blue,Water,104,20.2,16.3,26.3,21.7,-6.1,-5.4,1.02,-0.08
Calm,Survival,Blue,Wood,114,24.6,17.5,26.3,21.7,-1.7,-4.2,1.16,-0.05
Calm,Survival,Green,Earth,111,28.8,23.4,26.3,21.7,2.6,1.7,1.02,0.03
Calm,Survival,Green,Fire,99,27.3,22.2,26.3,21.7,1.0,0.5,1.01,0.01
Calm,Survival,Green,Metal,110,20.0,18.2,26.3,21.7,-6.3,-3.5,0.91,0.12
Calm,Survival,Green,Water,113,22.1,16.8,26.3,21.7,-4.1,-4.9,1.09,-0.04
Calm,Survival,Green,Wood,76,18.4,34.2,26.3,21.7,-7.8,12.5,0.45,0.62
Calm,Survival,Orange,Earth,48,31.3,18.8,26.3,21.7,5.0,-3.0,1.38,-0.52
Calm,Survival,Orange,Fire,79,30.4,19.0,26.3,21.7,4.1,-2.7,1.32,-0.29
Calm,Survival,Orange,Metal,48,31.3,22.9,26.3,21.7,5.0,1.2,1.13,-0.31
Calm,Survival,Orange,Water,50,30.0,10.0,26.3,21.7,3.7,-11.7,2.48,-0.6
Calm,Survival,Orange,Wood,69,24.6,18.8,26.3,21.7,-1.6,-2.9,1.08,-0.34
Calm,Survival,Purple,Earth,91,20.9,27.5,26.3,21.7,-5.4,5.8,0.63,0.25
Calm,Survival,Purple,Fire,132,32.6,20.5,26.3,21.7,6.3,-1.3,1.32,-0.21
Calm,Survival,Purple,Metal,101,23.8,24.8,26.3,21.7,-2.5,3.0,0.79,0.13
Calm,Survival,Purple,Water,106,37.7,18.9,26.3,21.7,11.5,-2.8,1.65,-0.43
Calm,Survival,Purple,Wood,97,26.8,28.9,26.3,21.7,0.5,7.2,0.77,0.19
Calm,Survival,Yellow,Earth,288,24.0,21.9,26.3,21.7,-2.3,0.2,0.91,0.01
Calm,Survival,Yellow,Fire,294,28.6,20.4,26.3,21.7,2.3,-1.3,1.16,-0.21
Calm,Survival,Yellow,Metal,239,24.3,24.7,26.3,21.7,-2.0,3.0,0.81,0.13
Calm,Survival,Yellow,Water,253,26.5,20.6,26.3,21.7,0.2,-1.2,1.07,-0.16
Calm,Survival,Yellow,Wood,170,27.1,24.1,26.3,21.7,0.8,2.4,0.93,0.3
Moderate,Closing,Blue,Earth,49,26.5,24.5,21.9,23.6,4.6,0.9,1.17,0.05
Moderate,Closing,Blue,Fire,57,21.1,21.1,21.9,23.6,-0.9,-2.6,1.08,-0.02
Moderate,Closing,Blue,Metal,52,28.8,26.9,21.9,23.6,6.9,3.3,1.15,0.23
Moderate,Closing,Blue,Water,51,27.5,23.5,21.9,23.6,5.5,-0.1,1.26,0.2
Moderate,Closing,Blue,Wood,50,22.0,28.0,21.9,23.6,0.1,4.4,0.85,0.57
Moderate,Closing,Green,Fire,35,17.1,28.6,21.9,23.6,-4.8,4.9,0.65,0.75
Moderate,Closing,Green,Water,37,18.9,16.2,21.9,23.6,-3.0,-7.4,1.26,-0.12
Moderate,Closing,Purple,Earth,39,20.5,17.9,21.9,23.6,-1.4,-5.7,1.23,-0.02
Moderate,Closing,Purple,Fire,34,17.6,29.4,21.9,23.6,-4.3,5.8,0.65,0.37
Moderate,Closing,Purple,Metal,39,23.1,28.2,21.9,23.6,1.1,4.6,0.88,0.06
