condition,round_type,color,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Moderate,Open,Yellow,PISCES,78,30.8,20.5,27.6,21.7,3.1,-1.2,1.18,-0.44
Moderate,Open,Yellow,SAGITTARIUS,49,22.4,24.5,27.6,21.7,-5.2,2.8,0.72,0.3
Moderate,Open,Yellow,SCORPIO,68,26.5,17.6,27.6,21.7,-1.2,-4.1,1.18,-0.1
Moderate,Open,Yellow,TAURUS,39,20.5,17.9,27.6,21.7,-7.1,-3.7,0.9,0.11
Moderate,Open,Yellow,VIRGO,32,28.1,21.9,27.6,21.7,0.5,0.2,1.01,-0.14
Moderate,Positioning,Yellow,PISCES,35,40.0,20.0,23.5,23.4,16.5,-3.4,1.99,-0.78
Moderate,Positioning,Yellow,SCORPIO,32,18.8,43.8,23.5,23.4,-4.8,20.4,0.43,0.61
Moderate,Survival,Blue,SCORPIO,30,26.7,30.0,27.8,22.0,-1.2,8.0,0.7,0.12
Moderate,Survival,Yellow,AQUARIUS,36,13.9,41.7,27.8,22.0,-14.0,19.7,0.26,0.85
Moderate,Survival,Yellow,ARIES,40,12.5,22.5,27.8,22.0,-15.3,0.5,0.44,0.54
Moderate,Survival,Yellow,CANCER,36,27.8,13.9,27.8,22.0,-0.1,-8.1,1.58,-0.76
Moderate,Survival,Yellow,CAPRICORN,35,28.6,11.4,27.8,22.0,0.7,-10.6,1.98,-0.32
Moderate,Survival,Yellow,GEMINI,50,26.0,18.0,27.8,22.0,-1.8,-4.0,1.14,-0.34
Moderate,Survival,Yellow,LEO,33,36.4,15.2,27.8,22.0,8.5,-6.9,1.9,-0.89
Moderate,Survival,Yellow,PISCES,64,20.3,28.1,27.8,22.0,-7.5,6.1,0.57,0.2
Moderate,Survival,Yellow,SAGITTARIUS,32,25.0,15.6,27.8,22.0,-2.8,-6.4,1.26,-0.33
Moderate,Survival,Yellow,SCORPIO,41,24.4,26.8,27.8,22.0,-3.5,4.8,0.72,-0.15
Moderate,Survival,Yellow,TAURUS,36,44.4,22.2,27.8,22.0,16.6,0.2,1.58,-0.83
