color,condition,exec_bucket,upside_bucket,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Yellow,Calm,25,75,-40,153,28.8,22.2,26.5,23.3,2.2,-1.1,1.14,-0.21
Yellow,Calm,25,75,-30,235,25.1,24.7,26.5,23.3,-1.4,1.3,0.9,-0.02
Yellow,Calm,50,25,0,39,30.8,15.4,26.5,23.3,4.2,-8.0,1.76,-0.4
Yellow,Calm,50,50,-20,54,20.4,25.9,26.5,23.3,-6.2,2.6,0.69,0.06
Yellow,Calm,50,50,-10,467,29.1,21.6,26.5,23.3,2.6,-1.7,1.18,-0.24
Yellow,Calm,50,50,0,1188,27.3,25.1,26.5,23.3,0.7,1.7,0.96,-0.04
Yellow,Calm,50,50,10,41,12.2,17.1,26.5,23.3,-14.3,-6.3,0.63,0.0
Yellow,Calm,50,75,-40,35,20.0,25.7,26.5,23.3,-6.5,2.4,0.68,0.34
Yellow,Calm,50,75,-30,92,31.5,17.4,26.5,23.3,5.0,-6.0,1.59,-0.36
Yellow,Calm,50,75,-20,400,26.5,27.0,26.5,23.3,-0.0,3.7,0.86,0.01
Yellow,Calm,50,75,-10,409,24.7,22.0,26.5,23.3,-1.8,-1.3,0.99,-0.04
Yellow,Calm,50,75,0,329,24.0,25.8,26.5,23.3,-2.5,2.5,0.82,0.1
Yellow,Calm,75,50,0,284,29.2,20.1,26.5,23.3,2.7,-3.3,1.28,-0.33
Yellow,Calm,75,50,10,183,27.3,19.7,26.5,23.3,0.8,-3.7,1.22,-0.04
Yellow,Calm,75,50,20,71,22.5,16.9,26.5,23.3,-4.0,-6.4,1.17,-0.35
Yellow,Moderate,25,25,-10,66,21.2,22.7,26.4,21.8,-5.2,1.0,0.77,0.4
Yellow,Moderate,25,50,-30,49,38.8,20.4,26.4,21.8,12.3,-1.4,1.56,-0.79
Yellow,Moderate,25,50,-20,123,22.0,29.3,26.4,21.8,-4.5,7.5,0.62,0.32
Yellow,Moderate,25,50,-10,89,27.0,12.4,26.4,21.8,0.5,-9.4,1.8,-0.17
Yellow,Moderate,25,50,0,59,30.5,20.3,26.4,21.8,4.1,-1.4,1.23,-0.04
Yellow,Moderate,25,75,-40,57,15.8,14.0,26.4,21.8,-10.6,-7.7,0.93,-0.07
Yellow,Moderate,25,75,-30,85,27.1,21.2,26.4,21.8,0.6,-0.6,1.05,-0.21
Yellow,Moderate,25,75,-20,46,19.6,32.6,26.4,21.8,-6.9,10.8,0.49,0.56
Yellow,Moderate,50,25,0,68,19.1,25.0,26.4,21.8,-7.3,3.2,0.63,0.2
Yellow,Moderate,50,50,-10,228,20.2,26.3,26.4,21.8,-6.3,4.6,0.63,0.33
Yellow,Moderate,50,50,0,633,24.5,21.0,26.4,21.8,-2.0,-0.8,0.96,-0.1
Yellow,Moderate,50,75,-30,53,11.3,18.9,26.4,21.8,-15.1,-2.9,0.49,0.06
Yellow,Moderate,50,75,-20,236,31.4,19.5,26.4,21.8,4.9,-2.3,1.32,-0.28
Yellow,Moderate,50,75,-10,156,33.3,18.6,26.4,21.8,6.9,-3.2,1.48,-0.72
Yellow,Moderate,50,75,0,122,25.4,23.8,26.4,21.8,-1.0,2.0,0.88,0.15
Yellow,Moderate,75,50,0,134,23.1,29.9,26.4,21.8,-3.3,8.1,0.64,0.22
Yellow,Moderate,75,50,10,93,14.0,29.0,26.4,21.8,-12.5,7.3,0.4,1.18
Yellow,Tough,50,50,0,57,26.3,24.6,17.7,24.4,8.6,0.1,1.48,-0.19
Yellow,Tough,50,75,-10,53,20.8,17.0,17.7,24.4,3.1,-7.5,1.69,-0.53
