condition,round_type,exec_bucket,upside_bucket,moon_paksha,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Open,0,0,Shukla,194,12.9,38.1,27.6,23.8,-14.7,14.3,0.29,1.38
Calm,Open,25,25,Krishna,88,33.0,21.6,27.6,23.8,5.4,-2.2,1.32,-0.25
Calm,Open,25,25,Shukla,103,28.2,20.4,27.6,23.8,0.6,-3.4,1.19,-0.04
Calm,Open,25,50,Krishna,267,39.0,16.5,27.6,23.8,11.4,-7.4,2.04,-0.82
Calm,Open,25,50,Shukla,515,25.8,25.4,27.6,23.8,-1.7,1.6,0.88,-0.03
Calm,Open,25,75,Krishna,214,29.4,19.6,27.6,23.8,1.9,-4.2,1.3,-0.36
Calm,Open,25,75,Shukla,144,30.6,25.0,27.6,23.8,3.0,1.2,1.06,-0.09
Calm,Open,50,50,Krishna,502,27.7,21.5,27.6,23.8,0.1,-2.3,1.11,-0.16
Calm,Open,50,50,Shukla,1043,26.4,24.8,27.6,23.8,-1.2,1.0,0.92,-0.03
Calm,Open,50,75,Krishna,281,35.2,22.8,27.6,23.8,7.7,-1.1,1.34,-0.19
Calm,Open,50,75,Shukla,535,30.1,21.1,27.6,23.8,2.5,-2.7,1.23,-0.27
Calm,Open,75,50,Krishna,63,34.9,14.3,27.6,23.8,7.4,-9.6,2.11,-0.29
Calm,Open,75,50,Shukla,299,22.7,23.4,27.6,23.8,-4.8,-0.4,0.84,0.04
Calm,Positioning,0,0,Krishna,36,13.9,44.4,22.8,23.4,-8.9,21.1,0.32,1.09
Calm,Positioning,0,0,Shukla,55,16.4,27.3,22.8,23.4,-6.5,3.9,0.61,0.74
Calm,Positioning,25,25,Krishna,59,13.6,23.7,22.8,23.4,-9.3,0.4,0.58,0.38
Calm,Positioning,25,25,Shukla,59,18.6,20.3,22.8,23.4,-4.2,-3.0,0.94,-0.13
Calm,Positioning,25,50,Krishna,153,17.0,29.4,22.8,23.4,-5.8,6.1,0.59,0.28
Calm,Positioning,25,50,Shukla,242,27.3,21.1,22.8,23.4,4.4,-2.3,1.32,-0.27
Calm,Positioning,25,75,Krishna,163,20.2,21.5,22.8,23.4,-2.6,-1.9,0.96,0.15
Calm,Positioning,25,75,Shukla,103,27.2,19.4,22.8,23.4,4.4,-3.9,1.43,-0.01
Calm,Positioning,50,50,Krishna,338,21.3,24.9,22.8,23.4,-1.5,1.5,0.88,0.14
Calm,Positioning,50,50,Shukla,329,30.1,23.4,22.8,23.4,7.3,0.0,1.32,-0.21
Calm,Positioning,50,75,Krishna,254,13.4,26.0,22.8,23.4,-9.4,2.6,0.53,0.38
Calm,Positioning,50,75,Shukla,262,26.0,21.4,22.8,23.4,3.1,-2.0,1.24,0.05
Calm,Positioning,75,50,Krishna,108,27.8,20.4,22.8,23.4,4.9,-3.0,1.39,0.09
Calm,Positioning,75,50,Shukla,112,27.7,18.8,22.8,23.4,4.8,-4.6,1.51,-0.56
Calm,REMOVE,0,0,Krishna,356,27.2,23.0,26.6,27.8,0.6,-4.7,1.23,-0.22
Calm,REMOVE,25,50,Krishna,176,30.7,29.0,26.6,27.8,4.0,1.2,1.1,0.11
Calm,REMOVE,25,50,Shukla,102,21.6,20.6,26.6,27.8,-5.1,-7.2,1.09,-0.05
Calm,REMOVE,25,75,Krishna,76,30.3,27.6,26.6,27.8,3.6,-0.1,1.14,0.09
Calm,REMOVE,50,25,Krishna,38,15.8,31.6,26.6,27.8,-10.9,3.8,0.52,0.22
Calm,REMOVE,50,50,Krishna,351,27.4,33.9,26.6,27.8,0.7,6.1,0.84,0.32
Calm,REMOVE,50,50,Shukla,51,23.5,13.7,26.6,27.8,-3.1,-14.0,1.79,-0.15
Calm,REMOVE,50,75,Krishna,198,33.8,27.8,26.6,27.8,7.2,0.0,1.27,-0.6
Calm,REMOVE,50,75,Shukla,48,10.4,39.6,26.6,27.8,-16.2,11.8,0.27,0.94
Calm,REMOVE,75,50,Krishna,41,14.6,17.1,26.6,27.8,-12.0,-10.7,0.89,-0.05
Calm,REMOVE,75,50,Shukla,65,20.0,30.8,26.6,27.8,-6.6,3.0,0.68,0.4
Calm,Survival,0,0,Krishna,135,11.1,53.3,25.3,23.5,-14.1,29.8,0.19,2.66
Calm,Survival,0,0,Shukla,191,18.3,31.9,25.3,23.5,-6.9,8.4,0.53,1.05
Calm,Survival,25,25,Krishna,131,20.6,26.7,25.3,23.5,-4.6,3.2,0.72,0.27
Calm,Survival,25,25,Shukla,46,15.2,17.4,25.3,23.5,-10.0,-6.1,0.81,0.13
Calm,Survival,25,50,Krishna,119,31.1,22.7,25.3,23.5,5.8,-0.8,1.27,-0.12
Calm,Survival,25,50,Shukla,501,26.3,20.6,25.3,23.5,1.1,-2.9,1.19,-0.1
Calm,Survival,25,75,Krishna,93,29.0,29.0,25.3,23.5,3.8,5.5,0.93,0.27
Calm,Survival,25,75,Shukla,359,27.0,19.5,25.3,23.5,1.8,-4.0,1.29,-0.2
Calm,Survival,50,50,Krishna,593,25.5,23.1,25.3,23.5,0.2,-0.4,1.03,0.11
Calm,Survival,50,50,Shukla,434,31.3,18.0,25.3,23.5,6.1,-5.5,1.62,-0.45
Calm,Survival,50,75,Krishna,197,21.3,29.9,25.3,23.5,-3.9,6.5,0.66,0.52
Calm,Survival,50,75,Shukla,453,26.7,19.6,25.3,23.5,1.5,-3.8,1.26,-0.07
Calm,Survival,75,50,Krishna,139,20.9,27.3,25.3,23.5,-4.4,3.8,0.71,0.42
Calm,Survival,75,50,Shukla,204,26.0,20.6,25.3,23.5,0.7,-2.9,1.17,-0.16
Moderate,Closing,0,0,Krishna,31,6.5,45.2,21.4,24.5,-15.0,20.6,0.16,1.54
Moderate,Closing,25,25,Krishna,32,21.9,9.4,21.4,24.5,0.4,-15.2,2.67,-0.49
Moderate,Closing,25,50,Krishna,133,27.1,20.3,21.4,24.5,5.6,-4.2,1.53,-0.15
Moderate,Closing,25,50,Shukla,105,28.6,19.0,21.4,24.5,7.1,-5.5,1.72,-0.35
Moderate,Closing,25,75,Krishna,69,14.5,29.0,21.4,24.5,-7.0,4.5,0.57,0.64
Moderate,Closing,50,50,Krishna,194,21.6,27.8,21.4,24.5,0.2,3.3,0.89,0.49
Moderate,Closing,50,50,Shukla,171,25.1,13.5,21.4,24.5,3.7,-11.1,2.14,-0.37
Moderate,Closing,50,75,Krishna,159,25.2,19.5,21.4,24.5,3.7,-5.0,1.48,-0.13
Moderate,Closing,50,75,Shukla,136,16.2,30.1,21.4,24.5,-5.3,5.6,0.61,0.58
Moderate,Closing,75,50,Krishna,82,13.4,37.8,21.4,24.5,-8.0,13.3,0.41,1.13
Moderate,Closing,75,50,Shukla,39,20.5,41.0,21.4,24.5,-0.9,16.5,0.57,0.77
Moderate,Open,0,0,Krishna,108,8.3,45.4,27.9,22.4,-19.5,22.9,0.15,2.13
Moderate,Open,0,0,Shukla,53,20.8,32.1,27.9,22.4,-7.1,9.6,0.52,0.67
Moderate,Open,25,25,Krishna,43,18.6,37.2,27.9,22.4,-9.2,14.8,0.4,1.19
Moderate,Open,25,50,Krishna,313,30.4,21.4,27.9,22.4,2.5,-1.0,1.14,-0.13
Moderate,Open,25,50,Shukla,96,29.2,14.6,27.9,22.4,1.3,-7.8,1.61,-0.96
Moderate,Open,25,75,Krishna,172,30.2,21.5,27.9,22.4,2.4,-0.9,1.13,-0.31
Moderate,Open,50,50,Krishna,505,29.7,20.4,27.9,22.4,1.9,-2.0,1.17,-0.08
Moderate,Open,50,50,Shukla,231,29.0,22.1,27.9,22.4,1.2,-0.3,1.06,-0.39
Moderate,Open,50,75,Krishna,385,29.4,20.8,27.9,22.4,1.5,-1.6,1.14,-0.16
Moderate,Open,50,75,Shukla,183,25.1,23.0,27.9,22.4,-2.7,0.5,0.88,-0.18
Moderate,Open,75,50,Krishna,116,30.2,18.1,27.9,22.4,2.3,-4.3,1.34,-0.23
Moderate,Positioning,25,50,Krishna,67,35.8,17.9,22.4,22.9,13.4,-5.0,2.05,-0.19
Moderate,Positioning,25,50,Shukla,157,23.6,15.9,22.4,22.9,1.2,-7.0,1.52,-0.31
Moderate,Positioning,25,75,Krishna,62,17.7,22.6,22.4,22.9,-4.7,-0.4,0.8,0.42
Moderate,Positioning,25,75,Shukla,52,13.5,28.8,22.4,22.9,-8.9,5.9,0.48,-0.11
Moderate,Positioning,50,50,Krishna,224,23.2,26.8,22.4,22.9,0.8,3.8,0.89,0.15
Moderate,Positioning,50,50,Shukla,198,22.2,18.2,22.4,22.9,-0.2,-4.8,1.25,-0.13
Moderate,Positioning,50,75,Krishna,110,29.1,22.7,22.4,22.9,6.7,-0.2,1.31,-0.43
Moderate,Positioning,50,75,Shukla,62,12.9,24.2,22.4,22.9,-9.5,1.2,0.55,0.21
Moderate,Positioning,75,50,Krishna,51,17.6,27.5,22.4,22.9,-4.8,4.5,0.66,0.11
Moderate,Positioning,75,50,Shukla,53,17.0,30.2,22.4,22.9,-5.4,7.2,0.58,0.72
Moderate,REMOVE,0,0,Krishna,97,14.4,37.1,25.5,25.5,-11.0,11.6,0.39,0.76
Moderate,REMOVE,25,50,Krishna,39,20.5,25.6,25.5,25.5,-5.0,0.2,0.8,-0.27
Moderate,REMOVE,25,75,Krishna,31,29.0,19.4,25.5,25.5,3.6,-6.1,1.5,-0.41
Moderate,REMOVE,25,75,Shukla,38,18.4,31.6,25.5,25.5,-7.1,6.1,0.58,0.9
Moderate,REMOVE,50,50,Shukla,35,20.0,17.1,25.5,25.5,-5.5,-8.3,1.17,0.19
Moderate,REMOVE,50,75,Krishna,80,40.0,21.3,25.5,25.5,14.5,-4.2,1.88,-0.79
Moderate,REMOVE,50,75,Shukla,31,25.8,29.0,25.5,25.5,0.3,3.6,0.89,0.08
Moderate,REMOVE,75,50,Krishna,51,25.5,33.3,25.5,25.5,0.0,7.9,0.76,0.51
Moderate,Survival,0,0,Krishna,70,18.6,38.6,27.7,22.3,-9.2,16.3,0.39,1.08
Moderate,Survival,0,0,Shukla,32,9.4,59.4,27.7,22.3,-18.3,37.1,0.13,2.36
Moderate,Survival,25,25,Krishna,50,36.0,20.0,27.7,22.3,8.3,-2.3,1.45,-0.75
Moderate,Survival,25,25,Shukla,47,31.9,21.3,27.7,22.3,4.2,-1.0,1.21,-0.22
Moderate,Survival,25,50,Krishna,149,39.6,10.7,27.7,22.3,11.9,-11.6,2.97,-1.16
Moderate,Survival,25,75,Krishna,57,22.8,21.1,27.7,22.3,-4.9,-1.3,0.87,0.17
Moderate,Survival,50,25,Shukla,44,25.0,27.3,27.7,22.3,-2.7,5.0,0.74,-0.29
Moderate,Survival,50,50,Krishna,358,33.2,17.3,27.7,22.3,5.5,-5.0,1.54,-0.64
Moderate,Survival,50,50,Shukla,241,16.2,29.0,27.7,22.3,-11.5,6.7,0.45,0.39
Moderate,Survival,50,75,Krishna,228,32.9,19.3,27.7,22.3,5.2,-3.0,1.37,-0.58
Moderate,Survival,50,75,Shukla,138,26.8,21.7,27.7,22.3,-0.9,-0.6,0.99,-0.19
Moderate,Survival,75,50,Krishna,54,18.5,18.5,27.7,22.3,-9.2,-3.8,0.8,0.55
Moderate,Survival,75,50,Shukla,47,17.0,34.0,27.7,22.3,-10.7,11.7,0.4,0.48
Tough,Closing,25,50,Krishna,30,16.7,26.7,20.4,27.5,-3.8,-0.8,0.84,-0.03
Tough,Closing,50,50,Krishna,48,25.0,22.9,20.4,27.5,4.6,-4.5,1.47,0.15
Tough,Closing,50,75,Krishna,47,21.3,29.8,20.4,27.5,0.9,2.3,0.96,0.32
Tough,Positioning,50,50,Krishna,75,20.0,24.0,15.7,20.6,4.3,3.4,1.09,0.42
Tough,Survival,25,50,Krishna,56,16.1,28.6,17.0,27.7,-1.0,0.9,0.91,0.09
Tough,Survival,50,50,Krishna,78,16.7,28.2,17.0,27.7,-0.4,0.6,0.96,-0.03
Tough,Survival,50,75,Krishna,113,17.7,22.1,17.0,27.7,0.7,-5.5,1.3,-0.28
